#CLUSTER             ddG_298.15K_[kcal/mol]  ddH_298.15K_[kcal/mol]  ddS_298.15K_[cal/mol/K]  ddE_[kcal/mol]
4ma                  15.7637259659532        -15.240312182024354     -103.9880534899082       -19.95771178259747
4dma                 12.9536986250896        -18.930237171123736     -106.93924466235242      -23.283729829534423
3ma                  10.494901333382586      -9.3437740400841        -66.53924324496155       -12.540115909127053
3dma                 9.549339942954248       -11.202312970970524     -69.60138492023496       -14.195036593358964
2tma                 6.165985443862155       -3.3149283654929604     -31.79914073283362       -4.703060593252303
2ma                  5.981211247795727       -2.4365031092893332     -28.23315229620475       -3.898459941628971
1dma1ma              5.906698442500783       -3.2473368979772204     -30.702784975617995      -4.7043144728959305
2dma                 5.485221394512337       -4.176770335849142      -32.40647905540074       -5.640366979932878
1ma1tma              5.314264618209563       -3.6717590145708527     -30.13927094685912       -5.151484615314985
1dma1tma             4.497016790497582       -4.321600908995606      -29.577788695402347      -5.733898103630054
1fa2tma              2.8244026981992647      -18.183738891617395     -70.46165215430524       -20.575885651545832
2nta                 2.147195534547791       -8.813582042581402      -36.76262813100402       -10.17830802447861
1fa1ma1tma           1.7497503705671988      -19.435597755014896     -71.05600578769764       -22.02505284291692
2fa2tma              1.398621619824553       -31.637738843652187     -110.8044959369503       -36.502698310127016
1fa2ma               1.3874992183991708      -19.09008260606788      -68.68214598162221       -21.769001834531082
2dma1fa              1.0765636885189451      -20.49363194689795      -72.34679066024975       -22.862293912738096
1dma1fa1ma           0.47639716307458        -20.698924588003138     -71.02237716301488       -23.020963708288036
1dma1fa1tma          0.445608579335385       -20.92318256550061      -71.67127668913366       -23.232462895364733
1msa                 0.00022205407731235027  0.0009286164422519505   0.002369821598136923     0.002182211959734559
1dma                 -0.000624567866907455   -0.0018240960198454559  -0.0040232371274981915   -0.002623073596623726
1sa                  -0.0016562197706662118  -0.0007593457121402025  0.003008130001589393     -0.000944492407143116
1tma                 -0.00398374798533041    -0.00578228963422589    -0.006032338231861445    -0.004580145017825998
1nta                 -0.004602933331625536   -0.003703410882735625   0.003017013222418541     -0.0002571576042100787
1fa                  -0.0062132443563314155  -0.005313337474945001   0.003018302509836701     0.0006331975746434182
2fa2ma               -0.7478338224173058     -34.04803732280561      -111.68942981900793      -38.646855705592316
1msa1nta             -0.9703757577808574     -12.72356551035773      -39.42039159037781       -14.014322162547614
1fa1nta              -1.1362377947370987     -12.279823993565515     -37.375771252209226      -13.663105952349724
1dma2fa1tma          -1.198394336810452      -34.48629192591761      -111.64815558960659      -38.824005098605994
2fa1ma1tma           -1.2281096887600143     -34.63397619794705      -112.04382528645141      -39.04215664268122
