#CLUSTER             dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]       dE_[Eh]
1ma                  -95.66400581007355   -95.63671607758468   9.153021126570281e-05   -95.705547647915
1dma                 -134.86973225698588  -134.8389596479192   0.00010321183654763125  -134.937232454333
1tma                 -174.07893034174546  -174.04642055011018  0.00010903837543289424  -174.17365999408
1fa                  -189.50529263456275  -189.47711119107146  9.452102462281888e-05   -189.515467539311
2ma                  -191.3184797648344   -191.2773149187212   0.00013806757039470222  -191.417307856724
1dma1ma              -230.5243250017502   -230.48085069396117  0.0001458135428106735   -230.650276934616
2dma                 -269.7307231670866   -269.6845754717226   0.00015478012867332233  -269.88345349833
1ma1tma              -269.73446719964437  -269.6889879628255   0.00015253810772730027  -269.887417092697
1nta                 -280.53813419217414  -280.5079943567346   0.00010108950340291773  -280.539503681077
1fa1ma               -285.171429430965    -285.1321409857125   0.00013177409106977173  -285.241769065607
3ma                  -286.97529243262204  -286.92503850107425  0.00016855251231854797  -287.136626954809
1dma1tma             -308.9414960723713   -308.89226717850437  0.00016511451909076666  -309.120030090948
1dma1fa              -324.3779962198482   -324.3356535966028   0.00014201785425268617  -324.47456193889
2tma                 -348.1480344588452   -348.09812382933166  0.0001674010716533646   -348.354814869608
1fa1tma              -363.5892034834942   -363.54479217901655  0.0001489562451036732   -363.712431082435
1ma1nta              -376.2077428878825   -376.16727032247417  0.00013574564953328685  -376.269635577823
2fa                  -379.01580020776726  -378.97732609515197  0.0001290428060215753   -379.056328964451
1fa2ma               -380.83108311948143  -380.7809570844004   0.00016812354546727625  -380.96125522018
4ma                  -382.6309017044945   -382.57115136158404  0.0002004036320994082   -382.853995368843
3dma                 -404.59397877209085  -404.53473114999565  0.00019871749822265362  -404.834318827109
1dma1nta             -415.4150776878878   -415.3715436517714   0.00014601387260263803  -415.502757115428
1dma1fa1ma           -420.0382615599835   -419.98576457976486  0.00017607573442407772  -420.194935222709
1nta1tma             -454.62488794269086  -454.57939073759906  0.00015259837360987775  -454.740602538055
2dma1fa              -459.2430316158552   -459.1876810377589   0.00018564674860427702  -459.426367217389
1fa1ma1tma           -459.2454304063052   -459.1912122217276   0.00018184868213179614  -459.429775661095
1fa1nta              -470.04522031874734  -470.00466052562325  0.00013603821272534526  -470.076745589582
2ma1nta              -471.8681262552364   -471.81859222094516  0.00016613796508911028  -471.99319391547
2fa1ma               -474.67836295024915  -474.6291795089261   0.00016496207051181386  -474.778104758536
1dma1fa1tma          -498.4532352019576   -498.3958264794957   0.0001925497986315044   -498.663384665045
1dma1ma1nta          -511.0789464496062   -511.0262283176711   0.00017681748091609252  -511.23090507805
1dma2fa              -513.8868240207278   -513.8354068881652   0.00017245390763903878  -514.015045084603
1fa2tma              -537.6586423978787   -537.5989217552691   0.0002003040168024894   -537.895578635799
4dma                 -539.4582857822139   -539.3860061560887   0.00024242705391725716  -539.786035185481
1ma1nta1tma          -550.2838413597586   -550.2277732091842   0.00018805349848875509  -550.46014786966
2dma1nta             -550.2852271232427   -550.229452564226    0.0001870687875793945   -550.463431845042
2fa1tma              -553.0935091479431   -553.0398319860243   0.00018003408324327236  -553.248782210143
2nta                 -561.0728319045207   -561.0300223917478   0.00014358380940048625  -561.095226876179
2fa2ma               -570.3397687574186   -570.2818970721139   0.0001941025836137029   -570.503620618256
1dma1nta1tma         -589.4949829219441   -589.4366586021193   0.00019562072723326742  -589.699321273768
1dma2fa1ma           -609.5487715403773   -609.4866308952027   0.0002084207451767903   -609.734800726917
1nta2tma             -628.6985768643522   -628.6378729450169   0.00020360194309972297  -628.929730295027
2fa1ma1tma           -648.7554587103627   -648.6925353529898   0.0002110459747545073   -648.972362970347
2dma2fa              -648.7614788340195   -648.6973760351832   0.00021500184080679133  -648.978632575227
1ma2nta              -656.7464979656141   -656.6954356282669   0.00017126391865642887  -656.832556616587
1msa                 -663.529616284852    -663.4936519460118   0.00012062498353195923  -663.562711534898
1dma2fa1tma          -687.9611378474236   -687.8945436167108   0.00022335814426636185  -688.203700173849
1dma2nta             -695.9587446134786   -695.9043709730728   0.0001823700835349447   -696.07126864193
1sa                  -699.4484905830732   -699.4146817006315   0.0001133955473477488   -699.460058420152
2fa2tma              -727.1661972811223   -727.0974650137803   0.00023052915425798815  -727.436428437595
2nta1tma             -735.1692246623852   -735.1122605085643   0.0001910587081034723   -735.308634581871
2ma2nta              -752.4294904102637   -752.3704537477295   0.00019800993638908232  -752.580912512522
1ma1msa              -759.199659130152    -759.1550322608812   0.0001496792529621486   -759.296665946986
1dma1ma2nta          -791.6420606762262   -791.5792924837643   0.0002105255490925746   -791.819443114773
1ma1sa               -795.1240914150928   -795.0796652664076   0.00014900603282006758  -795.19755689535
1dma1msa             -798.4091658889962   -798.361950000024    0.0001583628675908005   -798.532553801256
1ma2nta1tma          -830.8453913757918   -830.7803285477099   0.00021822179467277683  -831.050157499202
2dma2nta             -830.8538975582549   -830.7879764183381   0.00022110058667427126  -831.058319245568
1dma1sa              -834.3362273404742   -834.288237078648    0.00016096012687028972  -834.436114994328
1fa1msa              -853.0412148294698   -852.9962262627315   0.00015089239221272017  -853.105739828805
2ma1msa              -854.869273653303    -854.8166880776198   0.00017637288506913937  -855.029916134457
1dma2nta1tma         -870.0568386535768   -869.9886358504644   0.0002287533225300085   -870.288324497273
1sa1tma              -873.5477457957575   -873.4981047648955   0.00016649683334542218  -873.674958399814
1fa1sa               -888.9618818017436   -888.9179768568049   0.00014725790688915685  -889.003754380351
2ma1sa               -890.7938746063156   -890.740404713613    0.0001793388988854221   -890.929834712028
1dma1ma1msa          -894.0807057419564   -894.0245851915048   0.00018822924853823596  -894.267699024214
2nta2tma             -909.2594040313235   -909.18838309617     0.00023820538371111907  -909.517445333227
1dma1ma1sa           -930.004816200139    -929.9487543166956   0.00018803247842805063  -930.168152935372
1ma1msa1tma          -933.2842193219927   -933.2252754635707   0.00019769866987169742  -933.498061025257
2dma1msa             -933.28759225924     -933.2285306289957   0.00019809367849779093  -933.500830050426
