#CLUSTER               dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]       dE_[Eh]
1fa2ma1nta1sa          -1362.281449039477   -1362.209575469782   0.00024106513397561237  -1362.47545601
1dma1fa1ma1nta1sa      -1401.558025242336   -1401.483481084164   0.00025002233161878297  -1401.77926049
1fa1ma1nta1sa1tma      -1440.8262592945032  -1440.7505784083323  0.0002538349360085168   -1441.07585203
2dma1fa1nta1sa         -1440.8306621057764  -1440.7532502884235  0.00025964050764023004  -1441.07895485
1fa3ma1nta1sa          -1458.0930823635504  -1458.014698918495   0.0002628993629221808   -1458.35216845
1dma1fa1nta1sa1tma     -1480.0995545421852  -1480.0196663403246  0.0002679463419774583   -1480.37455662
1dma1fa2ma1nta1sa      -1497.3680827888795  -1497.2858702715287  0.00027574213433118164  -1497.65347427
1fa1nta1sa2tma         -1519.3655322061272  -1519.2848458762448  0.0002706232764798358   -1519.66942833
1fa2ma1nta1sa1tma      -1536.6365770362374  -1536.552721097992   0.00028125419502117807  -1536.95039928
2dma1fa1ma1nta1sa      -1536.6414431997525  -1536.555141081433   0.0002894587231915735   -1536.95278599
1dma1fa1ma1nta1sa1tma  -1575.9113532405495  -1575.8242868767538  0.00029202201507833546  -1576.25082075
3dma1fa1nta1sa         -1575.9129580494123  -1575.8246977871454  0.0002960263701722318   -1576.25096315
1fa1ma1nta1sa2tma      -1615.1793461657605  -1615.0894809643007  0.0003014093626020805   -1615.54498845
2dma1fa1nta1sa1tma     -1615.1827591272663  -1615.0934025562526  0.00029970340772651955  -1615.54937828
1dma1fa1nta1sa2tma     -1654.4508520823263  -1654.3585961739366  0.0003094278329351979   -1654.84406547
1fa1nta1sa3tma         -1693.713873642755   -1693.6191711964711  0.0003176335612406333   -1694.1343359
1fa3ma2sa              -1877.413891083772   -1877.3334833040622  0.00026968901462250426  -1877.68474693
1dma1fa2ma2sa          -1916.6895664503375  -1916.6055872306663  0.00028166768294846697  -1916.9876115
1fa2ma2sa1tma          -1955.9595756552637  -1955.8741749213964  0.0002864354649249695   -1956.28527793
2dma1fa1ma2sa          -1955.9668397601065  -1955.8801262268425  0.0002908386156763374   -1956.29220361
3ma1nta2sa             -1968.5355839832112  -1968.4534237586158  0.00027556674356963017  -1968.80024899
1dma1fa1ma2sa1tma      -1995.2362875326016  -1995.1480103500733  0.00029608312100747833  -1995.58920802
3dma1fa2sa             -1995.2382333400303  -1995.1492390406706  0.00029848834264534576  -1995.59131162
1dma2ma1nta2sa         -2007.8093541409248  -2007.7244172590813  0.0002848796976137817   -2008.10125362
1fa1ma2sa2tma          -2034.5031880783565  -2034.4108877134445  0.0003095769408417511   -2034.88211108
2dma1fa2sa1tma         -2034.5062676722305  -2034.414101033546   0.0003091284208765961   -2034.88491982
2ma1nta2sa1tma         -2047.0765635762357  -2046.9888251766552  0.00029427603414554734  -2047.39487939
2dma1ma1nta2sa         -2047.0840949534102  -2046.9966359276789  0.0002933390096641439   -2047.40332716
1dma1fa2sa2tma         -2073.7723455560313  -2073.677909614771   0.0003167396990117513   -2074.1785204
1dma1ma1nta2sa1tma     -2086.3510263640123  -2086.260059304812   0.000305105011573663    -2086.69587856
3dma1nta2sa            -2086.3565175159374  -2086.2634220518903  0.0003122437164085731   -2086.69963198
1fa2sa3tma             -2113.0368647607324  -2112.939151741654   0.0003277310718710885   -2113.46941189
1ma1nta2sa2tma         -2125.6162781491216  -2125.524030696822   0.0003093994710694679   -2125.98962995
2dma1nta2sa1tma        -2125.6237775949057  -2125.5315269279604  0.00030941025304464     -2125.99780001
1fa3ma1nta2sa          -2158.245850746142   -2158.1522889650064  0.00031380775158652445  -2158.54004557
1dma1nta2sa2tma        -2164.889963969581   -2164.7954929884113  0.0003168572234440942   -2165.29148977
1dma1fa2ma1nta2sa      -2197.518492730055   -2197.424646634234   0.0003147613477155255   -2197.84237203
1nta2sa3tma            -2204.1539896826926  -2204.0568308937436  0.0003258721749084871   -2204.58152451
1fa2ma1nta2sa1tma      -2236.7867509533276  -2236.6892072586948  0.0003271631548975971   -2237.13532853
2dma1fa1ma1nta2sa      -2236.7921282860943  -2236.6949767530737  0.000325847838405319    -2237.14208849
1fa4ma1nta2sa          -2254.061234680505   -2253.959297758521   0.000341898111635296    -2254.41895611
1dma1fa1ma1nta2sa1tma  -2276.060249620368   -2275.961880259424   0.00032993245327406516  -2276.43870729
3dma1fa1nta2sa         -2276.0646322963994  -2275.9641116698017  0.0003371478336334408   -2276.44136308
1dma1fa3ma1nta2sa      -2293.3367402272484  -2293.2341888547408  0.0003439589887894807   -2293.72414988
1fa1ma1nta2sa2tma      -2315.3265539212166  -2315.2272328593094  0.0003331244739461066   -2315.73358822
2dma1fa1nta2sa1tma     -2315.3336405293508  -2315.2304517802563  0.00034609676033720493  -2315.7368666
1fa3ma1nta2sa1tma      -2332.6074683035154  -2332.5036020799416  0.00034836902087406746  -2333.0231846
2dma1fa2ma1nta2sa      -2332.609374998252   -2332.5044190383114  0.00035202401455855357  -2333.02444422
1dma1fa1nta2sa2tma     -2354.598345329664   -2354.4939541084564  0.00035012987156676144  -2355.02964841
1dma1fa2ma1nta2sa1tma  -2371.877894413625   -2371.7708536101727  0.00035901661396058824  -2372.32042032
3dma1fa1ma1nta2sa      -2371.8806882423514  -2371.7713851847366  0.0003666042516004268   -2372.32112653
1fa1nta2sa3tma         -2393.8635213981524  -2393.7580732708325  0.0003536747520379251   -2394.32274628
1fa2ma1nta2sa2tma      -2411.143243272185   -2411.034019752076   0.0003663374814998895   -2411.61309149
2dma1fa1ma1nta2sa1tma  -2411.151237872643   -2411.0415139069723  0.00036801598413719027  -2411.62047733
4dma1fa1nta2sa         -2411.1532410034897  -2411.0416953445524  0.0003741259732932489   -2411.62053739
1dma1fa1ma1nta2sa2tma  -2450.415894565365   -2450.3049990887207  0.0003719452511955238   -2450.9135491
3dma1fa1nta2sa1tma     -2450.4227042733755  -2450.3098079219117  0.0003786562182249735   -2450.91834798
1fa1ma1nta2sa3tma      -2489.6784661341667  -2489.566154659043   0.0003766945333675493   -2490.20547065
2dma1fa1nta2sa2tma     -2489.687875040789   -2489.5718814352763  0.00038904445920716666  -2490.21056091
1dma1fa1nta2sa3tma     -2528.9472589126954  -2528.8306689303486  0.00039104471691096305  -2529.49810761
1fa1nta2sa4tma         -2568.2118130614417  -2568.093101591494   0.0003981602211896796   -2568.79029683
1fa3ma3sa              -2577.56712584052    -2577.4712651406676  0.0003215183627451139   -2577.87342191
1dma1fa2ma3sa          -2616.841264662696   -2616.744276136169   0.0003253011119474506   -2617.17618801
1fa2ma3sa1tma          -2656.1119832570794  -2656.0128259964304  0.00033257508183441565  -2656.47437018
2dma1fa1ma3sa          -2656.1135673799636  -2656.013492956391   0.00033565126135350694  -2656.47453207
3ma1nta3sa             -2668.6730072391824  -2668.5769499062417  0.0003221778733547521   -2668.97041327
1fa4ma3sa              -2673.383249219216   -2673.2798696668333  0.0003467367177007385   -2673.75439694
1dma1fa1ma3sa1tma      -2695.383590093423   -2695.2813256413174  0.00034299665304617815  -2695.77233088
3dma1fa3sa             -2695.38852783134    -2695.28637256515    0.00034263044169014547  -2695.77751333
1dma2ma1nta3sa         -2707.946361996643   -2707.847118165627   0.0003328654402696494   -2708.27061913
1dma1fa3ma3sa          -2712.656859743783   -2712.550116491713   0.00035801862173308725  -2713.05410723
1fa1ma3sa2tma          -2734.6519448193367  -2734.5479394952217  0.00034883556637572695  -2735.06886428
2dma1fa3sa1tma         -2734.654273335827   -2734.5498524487653  0.00035022937132849765  -2735.07095048
2ma1nta3sa1tma         -2747.2146100864975  -2747.113192285274   0.0003401569720725048   -2747.56657201
2dma1ma1nta3sa         -2747.220689963874   -2747.1178975015687  0.0003447676079333105   -2747.57265477
1fa3ma3sa1tma          -2751.927854699478   -2751.8201209339973  0.0003613408199924235   -2752.35448828
2dma1fa2ma3sa          -2751.930417498772   -2751.822328552511   0.0003625321021662894   -2752.35608477
4ma1nta3sa             -2764.4987819909206  -2764.39616618839    0.00034417508814502004  -2764.86482635
1dma1fa3sa2tma         -2773.9208204854376  -2773.8147550891103  0.0003557450824325426   -2774.36503121
1dma1ma1nta3sa1tma     -2786.4908444213006  -2786.387748296475   0.0003457860970168893   -2786.87133759
3dma1nta3sa            -2786.493864462926   -2786.39007114156    0.00034812450567169544  -2786.87396399
1dma1fa2ma3sa1tma      -2791.2028251637453  -2791.0929557806485  0.0003685037165747603   -2791.65606256
3dma1fa1ma3sa          -2791.2068034811405  -2791.096638192452   0.00036949618879360984  -2791.65988568
1dma3ma1nta3sa         -2803.7763822949105  -2803.671116223      0.00035306413520197943  -2804.16883019
1fa3sa3tma             -2813.188505480155   -2813.0806440262013  0.00036176908923006573  -2813.66074395
1ma1nta3sa2tma         -2825.7602321614495  -2825.6569936037918  0.00034626381907665836  -2826.16976025
2dma1nta3sa1tma        -2825.7646159782553  -2825.6607721159785  0.00034829402071646904  -2826.17429478
1fa2ma3sa2tma          -2830.4680731836866  -2830.3575596241812  0.0003706642948355977   -2830.9502866
2dma1fa1ma3sa1tma      -2830.4760207628733  -2830.3627414396306  0.00037994071186588384  -2830.95648186
4dma1fa3sa             -2830.4764069898047  -2830.3634607877084  0.00037882341806514893  -2830.95638509
2dma2ma1nta3sa         -2843.0491708855416  -2842.941650667495   0.00036062457838771666  -2843.46925719
3ma1nta3sa1tma         -2843.049257532129   -2842.941843029622   0.0003602700067328146   -2843.46938417
1dma1nta3sa2tma        -2865.03274557048    -2864.926643942557   0.00035586660380045986  -2865.46937565
1dma1fa1ma3sa2tma      -2869.7385526830803  -2869.6258666779613  0.0003779507131279517   -2870.24899966
3dma1fa3sa1tma         -2869.74446864429    -2869.628900915867   0.00038761606045056824  -2870.25192928
1dma2ma1nta3sa1tma     -2882.3207505694227  -2882.2116008639446  0.00036608990601481254  -2882.76930599
3dma1ma1nta3sa         -2882.3214290222695  -2882.2104792255222  0.0003721274417143542   -2882.76782018
1nta3sa3tma            -2904.2995669087795  -2904.190006595616   0.0003674670909391156   -2904.76212274
1fa1ma3sa3tma          -2909.0047464417135  -2908.889206119597   0.00038752413924627124  -2909.5420211
2dma1fa3sa2tma         -2909.008878310085   -2908.8917724041667  0.0003927751330480193   -2909.54440246
2ma1nta3sa2tma         -2921.5851488954913  -2921.4745692096894  0.0003708860835211853   -2922.06198414
2dma1ma1nta3sa1tma     -2921.592921682867   -2921.4811769524817  0.0003747936622013023   -2922.06884817
4dma1nta3sa            -2921.593457348692   -2921.4800720236026  0.0003802962438008238   -2922.06753454
1dma1fa3sa3tma         -2948.2757872611182  -2948.156967641134   0.00039852295818933815  -2948.83962102
1dma1ma1nta3sa2tma     -2960.8605161587147  -2960.7460594427466  0.00038388970641592483  -2961.36308312
3dma1nta3sa1tma        -2960.8634063408945  -2960.748523108306   0.00038532025017068666  -2961.36623183
1fa3sa4tma             -2987.53941446285    -2987.4195558625083  0.0004020077153834295   -2988.13102155
1ma1nta3sa3tma         -3000.1265335498542  -3000.0110244683697  0.0003874193576543492   -3000.65796628
2dma1nta3sa2tma        -3000.1310852264796  -3000.0140701394257  0.00039247052508397013  -3000.66093204
1dma1nta3sa3tma        -3039.3982140971953  -3039.2808104611454  0.0003937737248024804   -3039.95795278
1nta3sa4tma            -3078.6613280388206  -3078.540900841069   0.0004039148004423581   -3079.24724453
