#CLUSTER               dE_[Eh]
1fa2ma1nta1sa          -1361.065080229228
1dma1fa1ma1nta1sa      -1400.304554718194
1fa1ma1nta1sa1tma      -1439.537776689597
2dma1fa1nta1sa         -1439.539876445432
1fa3ma1nta1sa          -1456.804254521584
1dma1fa1nta1sa1tma     -1478.77385978751
1dma1fa2ma1nta1sa      -1496.042525673037
1fa1nta1sa2tma         -1518.004478405413
1fa2ma1nta1sa1tma      -1535.274959083186
2dma1fa1ma1nta1sa      -1535.278631071624
3dma1fa1nta1sa         -1574.512493422899
1dma1fa1ma1nta1sa1tma  -1574.512629793592
1fa1ma1nta1sa2tma      -1613.746488612877
2dma1fa1nta1sa1tma     -1613.747669242318
1dma1fa1nta1sa2tma     -1652.978732617656
1fa1nta1sa3tma         -1692.207013031248
1fa3ma2sa              -1875.741953679725
1dma1fa2ma2sa          -1914.980289971684
1fa2ma2sa1tma          -1954.215558019832
2dma1fa1ma2sa          -1954.219351984323
3ma1nta2sa             -1966.782514068934
1dma1fa1ma2sa1tma      -1993.455272336931
3dma1fa2sa             -1993.456974852249
1dma2ma1nta2sa         -2006.019229762024
1fa1ma2sa2tma          -2032.6874163023
2dma1fa2sa1tma         -2032.689812550968
2ma1nta2sa1tma         -2045.251991398735
2dma1ma1nta2sa         -2045.260728889906
1dma1fa2sa2tma         -2071.92185097767
1dma1ma1nta2sa1tma     -2084.490008466755
3dma1nta2sa            -2084.493224888499
1fa2sa3tma             -2111.148852488599
1ma1nta2sa2tma         -2123.720680030491
2dma1nta2sa1tma        -2123.729133687188
1fa3ma1nta2sa          -2156.326014800548
1dma1nta2sa2tma        -2162.959654832063
1dma1fa2ma1nta2sa      -2195.561472189547
1nta2sa3tma            -2202.187832499803
1fa2ma1nta2sa1tma      -2234.7947094315
2dma1fa1ma1nta2sa      -2234.800092759295
1fa4ma1nta2sa          -2252.066682916472
1dma1fa1ma1nta2sa1tma  -2274.030808128755
3dma1fa1nta2sa         -2274.03716742192
1dma1fa3ma1nta2sa      -2291.30737781022
1fa1ma1nta2sa2tma      -2313.267022302076
2dma1fa1nta2sa1tma     -2313.268447350682
2dma1fa2ma1nta2sa      -2330.545107135524
1fa3ma1nta2sa1tma      -2330.545832001768
1dma1fa1nta2sa2tma     -2352.497439355622
3dma1fa1ma1nta2sa      -2369.779409845237
1dma1fa2ma1nta2sa1tma  -2369.781004921046
1fa1nta2sa3tma         -2391.728111207015
1fa2ma1nta2sa2tma      -2409.008000745769
2dma1fa1ma1nta2sa1tma  -2409.014774900425
4dma1fa1nta2sa         -2409.015918252197
1dma1fa1ma1nta2sa2tma  -2448.244804782507
3dma1fa1nta2sa1tma     -2448.250072326334
1fa1ma1nta2sa3tma      -2487.472090028634
2dma1fa1nta2sa2tma     -2487.479090219734
1dma1fa1nta2sa3tma     -2526.704839210106
1fa1nta2sa4tma         -2565.9313044817
1fa3ma3sa              -2575.264968937313
1dma1fa2ma3sa          -2614.502381834386
2dma1fa1ma3sa          -2653.737414954023
1fa2ma3sa1tma          -2653.738613686958
3ma1nta3sa             -2666.287930121334
1fa4ma3sa              -2671.006374086348
1dma1fa1ma3sa1tma      -2692.97316800613
3dma1fa3sa             -2692.978353538727
1dma2ma1nta3sa         -2705.523898756218
1dma1fa3ma3sa          -2710.244590800024
1fa1ma3sa2tma          -2732.205579087859
2dma1fa3sa1tma         -2732.208484726886
2ma1nta3sa1tma         -2744.760263328661
2dma1ma1nta3sa         -2744.765114425933
2dma1fa2ma3sa          -2749.482076263962
1fa3ma3sa1tma          -2749.482531075561
4ma1nta3sa             -2762.046300923299
1dma1fa3sa2tma         -2771.438526763504
1dma1ma1nta3sa1tma     -2783.999069383111
3dma1nta3sa            -2784.002907097022
1dma1fa2ma3sa1tma      -2788.719174398081
3dma1fa1ma3sa          -2788.7220516059
1dma3ma1nta3sa         -2801.282192884426
1fa3sa3tma             -2810.673114631695
1ma1nta3sa2tma         -2823.233147867908
2dma1nta3sa1tma        -2823.237066373023
1fa2ma3sa2tma          -2827.949116343014
4dma1fa3sa             -2827.955305929796
2dma1fa1ma3sa1tma      -2827.956929566626
2dma2ma1nta3sa         -2840.519961120986
3ma1nta3sa1tma         -2840.522295277251
1dma1nta3sa2tma        -2862.468637145274
1dma1fa1ma3sa2tma      -2867.184823550432
3dma1fa3sa1tma         -2867.190292215104
3dma1ma1nta3sa         -2879.755665180966
1dma2ma1nta3sa1tma     -2879.758613515443
1nta3sa3tma            -2901.700527031241
1fa1ma3sa3tma          -2906.416782233561
2dma1fa3sa2tma         -2906.418611745655
2ma1nta3sa2tma         -2918.98912633572
4dma1nta3sa            -2918.992603600273
2dma1ma1nta3sa1tma     -2918.995668943174
1dma1fa3sa3tma         -2945.651552254231
3dma1nta3sa1tma        -2958.227843554378
1dma1ma1nta3sa2tma     -2958.228041341576
1fa3sa4tma             -2984.879123448731
1ma1nta3sa3tma         -2997.459478384461
2dma1nta3sa2tma        -2997.460716610249
1dma1nta3sa3tma        -3036.69467964961
1nta3sa4tma            -3075.921887779471
