#CLUSTER               ddG_298.15K_[kcal/mol]  ddH_298.15K_[kcal/mol]  ddS_298.15K_[cal/mol/K]  ddE_[kcal/mol]
1fa1nta1sa2tma         -31.8809582577087       -79.85749572701752      -160.91409515062483      -89.17575295144343
1fa2ma1nta1sa          -31.88565841387026      -78.84460669383407      -157.50108428585045      -86.9768868725514
1fa1ma1nta1sa1tma      -33.470185754820704     -81.3138353692193       -160.46838710103657      -90.06553754360357
1dma1fa1nta1sa1tma     -35.825431641889736     -83.21329362413962      -158.93966789253287      -92.0742735996464
1dma1fa1ma1nta1sa      -36.19289268204011      -83.66035426582675      -159.20664626439293      -92.07899836765137
1fa1nta1sa3tma         -36.29344993608538      -95.87301059853053      -199.83082563328318      -107.2900908565498
2dma1fa1nta1sa         -37.784706762759015     -85.63701919268351      -160.4974423276318       -94.3585243478883
1fa3ma1nta1sa          -38.43350942095276      -98.43188077630475      -201.2355235799877       -108.29445188306272
1fa2ma1nta1sa1tma      -40.212599681923166     -99.95432275606436      -200.3747210264527       -109.9164650299208
1fa1ma1nta1sa2tma      -40.938208342762664     -100.7752324626781      -200.694362299726        -112.0561481275654
1dma1fa1nta1sa2tma     -41.42133792943787      -101.44662020052783     -201.32578323311398      -112.40439403164783
1dma1fa2ma1nta1sa      -41.75440369907301      -102.29316397500224     -203.0479969002538       -112.4247504066443
1dma1fa1ma1nta1sa1tma  -43.03651776735205      -103.04445099484292     -201.26759425550895      -113.6699849950237
2dma1fa1nta1sa1tma     -44.39212388347369      -105.14726079607499     -203.77372769582044      -115.77238036213384
2dma1fa1ma1nta1sa      -44.573742396663874     -103.97175369318575     -199.22190607531294      -114.6440265342826
3dma1fa1nta1sa         -46.04978019546252      -106.40336587571073     -202.42691826323386      -116.55979569454212
1fa2sa3tma             -47.711391163174994     -107.7059427627828      -201.22271205687795      -119.89688895992003
1fa3ma2sa              -47.834087409079075     -108.70983321918175     -204.17825191924044      -119.0514246301027
1fa2ma2sa1tma          -50.418964712298475     -111.59190452899202     -205.17504550190893      -122.31121765186253
1dma1fa2ma2sa          -51.93295886355918      -112.0594421562273      -201.6652131237384       -122.50634595740121
1dma1fa2sa2tma         -52.84769779769704      -113.80913729971508     -204.46566997121585      -125.56967003640602
1fa1ma2sa2tma          -52.88247934379615      -112.99968382582301     -201.63409183994045      -124.79478713191929
1dma1fa1ma2sa1tma      -54.84789498569444      -116.40040754721849     -206.44813872661825      -127.52894678401935
2dma1fa1ma2sa          -55.33075643109623      -116.77473801292945     -206.08412403818346      -127.80486098711845
1nta2sa3tma            -55.45513823314104      -117.02636810881086     -206.51091690683702      -130.0233270379249
2dma1fa2sa1tma         -56.781510496046394     -118.07745591222192     -205.5876083058453       -129.31807088623464
3ma1nta2sa             -56.92610916378908      -118.08757163223345     -205.13655028754442      -129.42132982856128
1ma1nta2sa2tma         -56.94258466386236      -118.03611264849314     -204.90869691083768      -130.63026245959918
1fa1nta2sa3tma         -57.39001913450193      -130.99922784115188     -246.88649574506005      -144.8681236882694
2ma1nta2sa1tma         -57.48809929250274      -118.42304406836047     -204.37680622352443      -130.2732513385563
3dma1fa2sa             -58.430589230847545     -120.22826780984178     -207.27042957967268      -131.57266397215426
1dma1nta2sa2tma        -59.6827436753083       -121.85109273652779     -208.51366446658318      -135.01535266518476
1dma2ma1nta2sa         -60.482471749186516     -120.20636732608546     -200.3149273074913       -131.5925746829016
1fa2ma1nta2sa1tma      -60.58022862125654      -133.96015361775062     -246.1174744141455       -147.37238453484315
