#CLUSTER               dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]       dE_[Eh]
1fa2ma1nta1sa          -1360.8707278976908  -1360.7988543279962  0.00024106513397561237  -1361.064734868214
1dma1fa1ma1nta1sa      -1400.0833194705297  -1400.0087753123576  0.00025002233161878297  -1400.304554718194
1fa1ma1nta1sa1tma      -1439.2881839541     -1439.2125030679294  0.0002538349360085168   -1439.537776689597
2dma1fa1nta1sa         -1439.2915837012085  -1439.2141718838554  0.00025964050764023004  -1439.539876445432
1fa3ma1nta1sa          -1456.5451684351344  -1456.466784990079   0.0002628993629221808   -1456.804254521584
1dma1fa1nta1sa1tma     -1478.4976648033548  -1478.4177766014946  0.0002679463419774583   -1478.77266688117
1dma1fa2ma1nta1sa      -1495.7561881589302  -1495.6751849229502  0.0002716861847397002   -1496.042525673037
1fa1nta1sa2tma         -1517.7005822580552  -1517.619895952006   0.0002706231965437677   -1518.004478405413
1fa2ma1nta1sa1tma      -1534.9629345504916  -1534.8789249138065  0.00028176970211382576  -1535.274959083186
2dma1fa1ma1nta1sa      -1534.9664085947857  -1534.8801064764662  0.0002894587231915735   -1535.277751385033
1dma1fa1ma1nta1sa1tma  -1574.1731622841412  -1574.086095920346   0.00029202201507833546  -1574.512629793592
3dma1fa1nta1sa         -1574.1744883223116  -1574.0862280600447  0.0002960263701722318   -1574.512493422899
1fa1ma1nta1sa2tma      -1613.3790218187353  -1613.2899468631606  0.00029875886491777487  -1613.746488612877
2dma1fa1nta1sa1tma     -1613.3810500895843  -1613.2916935185708  0.00029970340772651955  -1613.747669242318
1dma1fa1nta1sa2tma     -1652.585519229982   -1652.4932633215928  0.0003094278329351979   -1652.978732617656
1fa1nta1sa3tma         -1691.7865507740028  -1691.6918483277188  0.0003176335612406333   -1692.207013031248
1fa3ma2sa              -1875.4705157298874  -1875.389858574678   0.0002705254241481584   -1875.741953679725
1dma1fa2ma2sa          -1914.6827752520214  -1914.5974430942981  0.0002862054594097061   -1914.979148538003
1fa2ma2sa1tma          -1953.8895659618818  -1953.8041652280147  0.0002864354649249695   -1954.215268236618
2dma1fa1ma2sa          -1953.893917530274   -1953.8072039970098  0.0002908386156763374   -1954.219281380167
3ma1nta2sa             -1966.5178490621452  -1966.4356888375496  0.00027556674356963017  -1966.782514068934
1dma1fa1ma2sa1tma      -1993.102351471651   -1993.0140746673262  0.00029608185250640836  -1993.455272336931
3dma1fa2sa             -1993.1045849665456  -1993.0149541267697  0.0003006233096614431   -1993.456974852249
1dma2ma1nta2sa         -2005.7292440324454  -2005.6413119111794  0.0002949257798631269   -2006.017663237434
1fa1ma2sa2tma          -2032.3084227881527  -2032.2161224232404  0.0003095769408417511   -2032.687345789796
2dma1fa2sa1tma         -2032.3111604031988  -2032.218993764514   0.0003091284208765961   -2032.689812550968
2ma1nta2sa1tma         -2044.9336755849708  -2044.8459371853905  0.00029427603414554734  -2045.251991398735
2dma1ma1nta2sa         -2044.9414966833162  -2044.854037657585   0.0002933390096641439   -2045.260728889906
1dma1fa2sa2tma         -2071.514094846959   -2071.4196589056983  0.0003167396990117513   -2071.920269690927
1dma1ma1nta2sa1tma     -2084.145156270768   -2084.054189211567   0.000305105011573663    -2084.490008466755
3dma1nta2sa            -2084.1495543556766  -2084.0568584860903  0.0003109034700199424   -2084.493224888499
1fa2sa3tma             -2110.7151129748822  -2110.6173999558036  0.0003277310718710885   -2111.14766010415
1ma1nta2sa2tma         -2123.347737168414   -2123.25503429753    0.00031092695248845014  -2123.720680030491
2dma1nta2sa1tma        -2123.3551112720943  -2123.2628606051485  0.00030941025304464     -2123.729133687188
1fa3ma1nta2sa          -2156.03181997669    -2155.938258195554   0.00031380775158652445  -2156.326014800548
1dma1nta2sa2tma        -2162.5578314221057  -2162.4633604409364  0.0003168572234440942   -2162.959357222525
1dma1fa2ma1nta2sa      -2195.2397952677543  -2195.144350498464   0.0003201233248057689   -2195.561472189547
1nta2sa3tma            -2201.760297672496   -2201.663138883547   0.0003258721749084871   -2202.187832499803
1fa2ma1nta2sa1tma      -2234.443885990579   -2234.3478001246     0.00032227357363262836  -2234.7947094315
2dma1fa1ma1nta2sa      -2234.4505844928804  -2234.352976553458   0.0003273786329764524   -2234.800092759295
1fa4ma1nta2sa          -2251.7089614869774  -2251.6070245649926  0.000341898111635296    -2252.066682916472
1dma1fa1ma1nta2sa1tma  -2273.6548611843564  -2273.55431945857    0.00033721860065980566  -2274.030808128755
3dma1fa1nta2sa         -2273.660436638319   -2273.5599160117217  0.0003371478336334408   -2274.03716742192
1dma1fa3ma1nta2sa      -2290.9206605546096  -2290.816539445793   0.00034922391017023254  -2291.306348580823
1fa1ma1nta2sa2tma      -2312.859988003293   -2312.760666941386   0.0003331244739461066   -2313.267022302076
2dma1fa1nta2sa1tma     -2312.8652212800325  -2312.762032530938   0.00034609676033720493  -2313.268447350682
2dma1fa2ma1nta2sa      -2330.1300379137756  -2330.025081953836   0.00035202401455855357  -2330.545107135524
1fa3ma1nta2sa1tma      -2330.1301157052826  -2330.0262494817093  0.00034836902087406746  -2330.545832001768
1dma1fa1nta2sa2tma     -2352.066136275286   -2351.961745054079   0.00035012987156676144  -2352.497439355622
1dma1fa2ma1nta2sa1tma  -2369.337892671978   -2369.2314213352583  0.00035710661318190097  -2369.781004921046
3dma1fa1ma1nta2sa      -2369.338971557588   -2369.2296684999733  0.0003666042516004268   -2369.779409845237
1fa1nta2sa3tma         -2391.26866386632    -2391.1625090062807  0.00035604514519414293  -2391.726957981543
1fa2ma1nta2sa2tma      -2408.538637306277   -2408.4288659890503  0.00036817480203535466  -2409.008000745769
2dma1fa1ma1nta2sa1tma  -2408.5463220475785  -2408.4354223726577  0.0003719593322848976   -2409.014703582506
4dma1fa1nta2sa         -2408.548621865687   -2408.437076206749   0.0003741259732932489   -2409.015918252197
