#CLUSTER                      dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]       dE_[Eh]
2am1fa1msa1nta                -1247.8153447490074  -1247.7495246618957  0.00022076165390490576  -1247.976887
2am1fa1nta1sa                 -1283.735465791384   -1283.670136314424   0.00021911613939270744  -1283.87423376
1am1fa1ma1msa1nta             -1287.0884341945284  -1287.018609411465   0.0002341934699432182   -1287.27726941
3am1fa1msa1nta                -1304.3523176952624  -1304.2804193873262  0.00024114810644369287  -1304.54953841
1am1fa1ma1nta1sa              -1323.008681503886   -1322.9393919732245  0.0002323982245898695   -1323.17430104
1am1dma1fa1msa1nta            -1326.3640153574813  -1326.2909678213737  0.0002450026366179827   -1326.57947935
3am1fa1nta1sa                 -1340.2755927259054  -1340.2064166041464  0.00023201784926696328  -1340.45176218
2am1fa1ma1msa1nta             -1343.624543607085   -1343.549747428612   0.00025086761184929155  -1343.84899473
1am1dma1fa1nta1sa             -1362.2850546622117  -1362.214154853797   0.00023779912263845282  -1362.4790457
1am1fa1msa1nta1tma            -1365.630095671638   -1365.5547545035713  0.0002526955159032393   -1365.87260513
2am1fa1ma1nta1sa              -1379.5477307624367  -1379.4758928969657  0.0002409453814223086   -1379.75205066
1am1fa2ma1msa1nta             -1382.896889879678   -1382.8170190770152  0.000267887984781718    -1383.14771741
2am1dma1fa1msa1nta            -1382.9001282731933  -1382.822659339234   0.0002598320776769013   -1383.15158213
1am1fa1nta1sa1tma             -1401.5535058587436  -1401.4815893775105  0.0002412090599803108   -1401.7759992
1am1fa2ma1nta1sa              -1418.8202639450692  -1418.7442531368827  0.00025494149987119615  -1419.05150914
2am1dma1fa1nta1sa             -1418.8237466553935  -1418.7489549667082  0.0002508525530281719   -1419.05467815
2am1fa1msa1nta1tma            -1422.162802691268   -1422.0802418402125  0.0002769104513021715   -1422.439493
1am1dma1fa1ma1msa1nta         -1422.1722042311192  -1422.090721188521   0.0002732954640223193   -1422.45072455
2am1fa1nta1sa1tma             -1458.0920687273813  -1458.0154170409912  0.0002570910158979168   -1458.3511587
1am1dma1fa1ma1nta1sa          -1458.0956996722325  -1458.0167704658286  0.0002647298554552004   -1458.35369005
1am1fa1ma1msa1nta1tma         -1461.4371562856682  -1461.3542408285036  0.0002780998060188834   -1461.74437177
1am2dma1fa1msa1nta            -1461.4412954052582  -1461.358256263066   0.00027851464763383593  -1461.74832668
1am1fa1ma1nta1sa1tma          -1497.3643090788282  -1497.2842372419975  0.0002685622566854962   -1497.64911969
1am2dma1fa1nta1sa             -1497.37111929375    -1497.290784479724   0.0002694442865204512   -1497.65709474
1am1dma1fa1msa1nta1tma        -1500.7064333516391  -1500.6216357254482  0.00028441263186619435  -1501.04141178
1am1dma1fa1nta1sa1tma         -1536.6394076188308  -1536.5561435194486  0.0002792691577468576   -1536.95194428
1am1fa1msa1nta2tma            -1539.9732817256718  -1539.884602765686   0.00029743068920310025  -1540.33200498
1am1fa1nta1sa2tma             -1575.9059786739597  -1575.8207573946333  0.00028583357144537614  -1576.24660934
3am1fa1msa1sa                 -1723.6785131286483  -1723.6050835328897  0.00024628407096656985  -1723.88843122
3am1fa2sa                     -1759.5973588825195  -1759.5257434384434  0.00024019937640797263  -1759.78589599
2am1fa1ma1msa1sa              -1762.9510540763888  -1762.873859114567   0.0002589131706249877   -1763.18819725
2am1fa1ma2sa                  -1798.8700771311208  -1798.7929173726816  0.00025879509790104185  -1799.08355604
