#CLUSTER                   ddE_[kcal/mol]
10am10sa                   -545.7048213770613
10sa10tma                  -556.2660701377317
10am1nta10sa               -558.0554215302691
10am1isopoohBetaFour10sa   -564.1251777783036
10am1fa10sa                -564.227677163668
10am1homTheo10sa           -565.061549955979
10am1iepoxBetaTrans10sa    -565.5950080240145
10am1isopoohBetaOne10sa    -569.6402061125264
10am1pinic10sa             -570.660666343756
1fa10sa10tma               -573.4744382500648
10am1pionic10sa            -573.566499219276
1isopoohBetaOne10sa10tma   -574.2537190103903
1pionic10sa10tma           -576.4036757927388
1iepoxBetaTrans10sa10tma   -577.2895973762497
1isopoohBetaFour10sa10tma  -578.6344562880695
1nta10sa10tma              -580.0078284582123
1pinic10sa10tma            -581.3954901089892
1homTheo10sa10tma          -584.7352235615253
10am2pionic10sa            -596.1154800038785
10am2pinic10sa             -602.3515066597611
10ma10sa                   -609.3695411123335
10dma10sa                  -610.2864753389731
10dma1fa10sa               -620.0040143253282
10dma1iepoxBetaTrans10sa   -622.8132268013433
1fa10ma10sa                -623.5519689619541
10dma1nta10sa              -624.4431461831555
10dma1isopoohBetaFour10sa  -625.6687006251886
10dma1isopoohBetaOne10sa   -626.4778445959091
1iepoxBetaTrans10ma10sa    -626.8390259444714
10dma1pinic10sa            -627.3163862572983
10ma1nta10sa               -627.5748456744477
10dma1homTheo10sa          -628.1177645390853
10dma1pionic10sa           -628.2677714154124
1isopoohBetaOne10ma10sa    -630.3862092299387
1isopoohBetaFour10ma10sa   -633.8193727917969
1homTheo10ma10sa           -636.1835101880133
10ma1pinic10sa             -636.9619756415486
10ma1pionic10sa            -637.3765791011974
