#CLUSTER                   dE_[Eh]
1am                        -56.604280410173
1ma                        -95.939285672787
1dma                       -135.280275861016
1tma                       -174.625101793656
1fa                        -189.876176793542
1nta                       -281.038230879001
1isopoohBetaOne            -422.398810578767
1isopoohBetaFour           -422.400051242019
1iepoxBetaTrans            -422.481382768952
1pionic                    -616.856781379487
1pinic                     -652.793680986102
1msa                       -664.549561348971
1sa                        -700.46312987175
1homTheo                   -1068.154060965539
10am10sa                   -7571.543747779297
10am1fa10sa                -7761.449442926993
10am1nta10sa               -7852.601660795519
10ma10sa                   -7964.995257641076
10am1isopoohBetaFour10sa   -7993.973154030616
10am1isopoohBetaOne10sa    -7993.980702215121
10am1iepoxBetaTrans10sa    -7994.056827905309
1fa10ma10sa                -8154.894035805208
10am1pionic10sa            -8188.444930026735
10am1pinic10sa             -8224.377198846125
10ma1nta10sa               -8246.062500818922
10dma10sa                  -8358.406620766144
1isopoohBetaOne10ma10sa    -8387.427560757915
1isopoohBetaFour10ma10sa   -8387.434272572
1iepoxBetaTrans10ma10sa    -8387.504480093396
10dma1fa10sa               -8548.298283603555
10ma1pionic10sa            -8581.896671537042
10ma1pinic10sa             -8617.832910424171
10dma1nta10sa              -8639.46741196891
10am1homTheo10sa           -8639.72865597358
10sa10tma                  -8751.768792208977
10dma1isopoohBetaFour10sa  -8780.8311853974
10dma1isopoohBetaOne10sa   -8780.831234200445
10dma1iepoxBetaTrans10sa   -8780.907966390192
10am2pionic10sa            -8805.337645865156
10am1pdpe10sa              -8837.871626679793
10am2pinic10sa             -8877.22138292196
1fa10sa10tma               -8941.672392565613
10dma1pionic10sa           -8975.292057460547
10dma1pinic10sa            -9011.227440922763
1nta10sa10tma              -9032.84485837852
1homTheo10ma10sa           -9033.192049827143
1isopoohBetaOne10sa10tma   -9174.196268226591
1isopoohBetaFour10sa10tma  -9174.204490111093
1iepoxBetaTrans10sa10tma   -9174.283678446818
1pionic10sa10tma           -9368.657665236879
1pinic10sa10tma            -9404.602519888036
10dma1homTheo10sa          -9426.589097992959
1homTheo10sa10tma          -9819.968222126416
