#CLUSTER                   dG_298.15K_[Eh]  dH_298.15K_[Eh]  dS_298.15K_[Eh/K]       dE_[Eh]
1am                        -56.51557085     -56.49374429     7.320664095254067e-05   -56.531912119857
1ma                        -95.77111599     -95.74384228     9.147647157471073e-05   -95.811694032077
1dma                       -135.03146373    -135.00071668    0.00010312607747777966  -135.097502436027
1tma                       -174.29397768    -174.26136299    0.00010939020627201076  -174.386715194406
1fa                        -189.67972165    -189.6515131     9.461194029850747e-05   -189.688835092215
1nta                       -280.79738613    -280.76707982    0.00010164786181452291  -280.797384812376
1isopoohBetaOne            -421.80404076    -421.75986157    0.00014817776287103808  -421.917744583105
1isopoohBetaFour           -421.80618817    -421.76147789    0.0001499590139191682   -421.92012227349
1iepoxBetaTrans            -421.87616613    -421.83248626    0.00014650300184470904  -421.992862788384
1pinonic                   -615.89929413    -615.84424439    0.0001846377326848902   -616.104679939578
1pinic                     -651.84537378    -651.79186509    0.00017946902565822573  -652.029695283035
1msa                       -664.14032005    -664.10416268    0.00012127241321482476  -664.171689619153
1sa                        -700.05983454    -700.02555845    0.00011496256917658899  -700.069492373395
1homTheo                   -1066.79281839   -1066.7252473    0.00022663454636927724  -1067.014025237327
10am1fa10sa                -7755.84266787   -7755.64217763   0.0006724475599530437   -7756.568839240321
10am1nta10sa               -7846.95754638   -7846.74917431   0.0006988833473084017   -7847.667091290295
10am1isopoohBetaFour10sa   -7987.96567074   -7987.75439663   0.000708616837162502    -7988.801903187494
10am1isopoohBetaOne10sa    -7987.97266278   -7987.75795431   0.0007201357370451117   -7988.80575990045
10am1iepoxBetaTrans10sa    -7988.04544498   -7987.83058797   0.000720633942646319    -7988.879833513606
1fa10ma10sa                -8148.45324897   -8148.21862506   0.0007869324501090056   -8149.445835645031
10am1pinonic10sa           -8182.07201074   -8181.84933131   0.0007468704343451283   -8182.998450610058
10am1pinic10sa             -8218.01989402   -8217.798623     0.0007421466375985243   -8218.923785228291
10ma1nta10sa               -8239.56623235   -8239.32897118   0.0007957778970316955   -8240.549694732961
1isopoohBetaFour10ma10sa   -8380.58047369   -8380.33342487   0.0008286057689082677   -8381.68290166533
1isopoohBetaOne10ma10sa    -8380.58074937   -8380.33466155   0.0008253825926547041   -8381.683154588189
1iepoxBetaTrans10ma10sa    -8380.64944448   -8380.4021639    0.0008293831292973337   -8381.753274760738
10dma1fa10sa               -8541.01202435   -8540.74629381   0.0008912645983565322   -8542.267025321034
10ma1pinonic10sa           -8574.68173384   -8574.42617946   0.0008571335904745936   -8575.878032226326
10ma1pinic10sa             -8610.62561724   -8610.37197458   0.0008507216501760861   -8611.799469851188
10dma1nta10sa              -8632.13179405   -8631.86376022   0.0008989898708703674   -8633.37795991313
10am1homTheo10sa           -8632.95522513   -8632.71583758   0.0008029097769579071   -8633.892842674082
10dma1isopoohBetaFour10sa  -8773.14093719   -8772.86543945   0.0009240239476773437   -8774.509871186903
10dma1isopoohBetaOne10sa   -8773.14223379   -8772.86508467   0.0009295627033372467   -8774.507756214553
10dma1iepoxBetaTrans10sa   -8773.20493903   -8772.92756224   0.00093032631225893     -8774.572345426002
10am2pinonic10sa           -8797.97594765   -8797.72475234   0.0008425131980546706   -8799.137034168785
10am1pdpe10sa              -8830.61017078   -8830.36510936   0.0008219399966459837   -8831.702942391674
10am2pinic10sa             -8869.87126171   -8869.62514832   0.0008254683213147745   -8870.991352069155
1fa10sa10tma               -8933.53798795   -8933.2478155    0.0009732431661915145   -8935.059150834273
10dma1pinonic10sa          -8967.23447528   -8966.94808932   0.000960543216501761    -8968.692793023292
10dma1pinic10sa            -9003.18400158   -9002.89614049   0.0009654908267650511   -9004.617634446517
1nta10sa10tma              -9024.66218832   -9024.37344282   0.0009684571524400468   -9026.176453271511
1homTheo10ma10sa           -9025.57412387   -9025.30714071   0.0008954659064229416   -9026.78609829468
1isopoohBetaFour10sa10tma  -9165.66186273   -9165.35914897   0.0010153069260439376   -9167.29199447763
1isopoohBetaOne10sa10tma   -9165.66538213   -9165.36543074   0.0010060418916652692   -9167.298441931378
1iepoxBetaTrans10sa10tma   -9165.73457371   -9165.43416634   0.001007571256079155    -9167.370359905128
1pinonic10sa10tma          -9359.7577228    -9359.44557853   0.0010469370115713569   -9361.480759936956
1pinic10sa10tma            -9395.70506091   -9395.39694898   0.0010334125104813012   -9397.409313226306
10dma1homTheo10sa          -9418.12448138   -9417.82589855   0.0010014517189334228   -9419.59804087802
1homTheo10sa10tma          -9810.65009541   -9810.32833924   0.0010791754821398627   -9812.392890874129
