#CLUSTER  ddG_298.15K_[kcal/mol]  ddH_298.15K_[kcal/mol]  ddS_298.15K_[cal/mol/K]  ddE_[kcal/mol]
2gd       -2.9048305422184058     -13.931926035438664     -36.9850595112576        -15.076331857737387
3gd       -5.519985806953628      -28.930206338816788     -78.51826440350025       -31.79375411377987
2sa       -5.794632606208324      -17.86513897124678      -40.484676722967365      -19.171219399780966
3sa       -11.070337656419724     -36.07597544277087      -83.86932009465986       -38.40216830000281
4gd       -15.862582897301763     -52.26308030489599      -122.08786653575746      -56.30375962500693
4sa       -18.00286283227615      -56.826704383827746     -130.2158026210181       -60.189896998927
1gd1sa    -23.473023061815184     -33.59224795846967      -33.94004660982041       -34.60306308208965
2gd1sa    -33.30303588457173      -56.860187991231214     -79.01107532000901       -60.395227275730576
1gd2sa    -41.55654107197188      -66.545742751332        -83.81419312214926       -69.97236568515655
3gd1sa    -43.89129041344859      -80.04602584813256      -121.26357683954602      -85.17236206901725
1gd3sa    -53.17312722071074      -90.87530166655779      -126.45371271485695      -95.92992084450088
4gd1sa    -54.14995475660544      -106.10951505880803     -174.27321919281968      -112.60446205543121
1gd4sa    -61.10588283580728      -111.90946007915772     -170.39603301518477      -118.69696837523952
2gd2sa    -73.86092151037883      -109.54330070863944     -119.67928625935738      -114.88149725156836
3gd2sa    -89.18587850930635      -140.68000063102227     -172.71213188605418      -147.171593688312
2gd3sa    -89.89177137310617      -140.97365350229666     -171.32947217575082      -147.80922395945527
2gd4sa    -101.671738112811       -167.255164133152       -219.96788871499945      -175.9127389776986
4gd2sa    -102.44058212742675     -168.68815765308682     -222.1954570709576       -178.0700265216874
3gd3sa    -121.62231676233932     -184.31560654006898     -210.27432425951855      -193.75658433954231
3gd4sa    -139.1597447290551      -215.6187274272088      -256.44468454970263      -226.01704318192787
4gd3sa    -145.3920457472559      -221.3429248428438      -254.74049671493503      -232.21930228639394
4gd4sa    -183.78279718128033     -274.34505905327387     -303.7473146795595       -288.14922448899597
