#CLUSTER  ddG_298.15K_[kcal/mol]  ddH_298.15K_[kcal/mol]  ddS_298.15K_[cal/mol/K]  ddE_[kcal/mol]
2gd       -1.3953548319404945     -12.422450325189857     -36.9850595112576        -13.566856147459475
3gd       -1.4852950249332935     -24.895515556796454     -78.51826440350025       -27.75906333164312
2sa       -6.2521576450672        -18.3226640104549       -40.484676722967365      -19.628744438756257
4gd       -8.533232327143196      -44.93372973462101      -122.08786653575746      -48.97440905479016
3sa       -11.713016990339383     -36.71865477692336      -83.86932009465986       -39.0448476341553
4sa       -18.572523657698184     -57.39636520878412      -130.2158026210181       -60.75955782365054
1gd1sa    -19.272093708859757     -29.39131860563066      -33.94004660982041       -30.40213372913422
2gd1sa    -27.06147410662379      -50.85191369114909      -79.79352535481003       -54.420200478169136
3gd1sa    -35.96500181412557      -72.11973724904237      -121.26357683954602      -77.24607346969424
1gd2sa    -37.20189459831454      -62.19109627767466      -83.81419312214926       -65.61771921138279
4gd1sa    -42.361636774207        -92.45341234881198      -168.00863852050293      -99.10462039912818
1gd3sa    -48.51048462605104      -86.21265907189809      -126.45371271485695      -91.26727824960835
1gd4sa    -56.706205499358475     -107.50978274201043     -170.39603301518477      -114.29729103832506
2gd2sa    -65.16805995604955      -100.85068001272157     -119.68009410177137      -106.18887636356521
3gd2sa    -75.10365931829438      -126.5977814400103      -172.71213188605418      -133.08937449706718
2gd3sa    -80.39652730198577      -131.47840943094343     -171.32947217575082      -138.3139798878692
4gd2sa    -86.53568133478984      -151.0582210982684      -216.40965877337496      -159.92453642794862
2gd4sa    -91.64823413314298      -156.9424617458135      -218.9979125025822       -164.84076439309865
3gd3sa    -107.46746009867638     -170.3584492902737      -210.93741134273813      -179.8905587408226
3gd4sa    -125.78016754356213     -202.92189527652226     -258.73462261723955      -213.44107595994137
4gd3sa    -128.01932796440087     -203.97020706022158     -254.74049671493503      -214.84658450330608
4gd4sa    -165.2938519497402      -255.85611382173374     -303.7473146795595       -269.6602792579215
