#CLUSTER            ddG_298.15K_[kcal/mol]  ddH_298.15K_[kcal/mol]  ddS_298.15K_[cal/mol/K]  ddE_[kcal/mol]
1am1p               17.838936548883794      17.57776027743239       -0.875989506849038       17.92262767268403
2tma                5.807904728135327       -3.6020446288166568     -31.56112479277796       -4.993907952622976
1dma1ma             5.052101752793533       -3.612252721461118      -29.060387302600795      -4.989740203200199
2dma                4.975691005354747       -4.681179431499913      -32.38930215286106       -6.1441604843130335
1ma1tma             4.608191629842622       -4.280906073545339      -29.814179786578343      -5.7385382781067165
2eda                4.59126702483627        -6.6851309599296656     -37.821224164806665      -8.498704851052025
1eda1tma            4.52780655247625        -5.542755187067087      -33.77682958092558       -7.129272424004739
2ma                 4.161972292844439       -3.5355625420925207     -25.8176583429031        -4.990711075864965
1eda1ma             4.096554143790854       -6.095107310524327      -34.183000014503314      -7.853972626697214
1dma1tma            4.072073862233083       -4.743539448201773      -29.56771192503109       -6.156426912973984
1dma1eda            4.010785145350383       -6.609179325896548      -35.61953537231345       -8.317424881868646
1am1ma              3.552825901497272       -2.8223192863661097     -21.382341733615185      -4.2994943077501375
1am1tma             3.4107645532640163      -3.9053908868518192     -24.53850558486556       -5.375081386984675
1am1dma             3.3231726113444893      -3.1532130078121554     -21.72190380396671       -4.571728828770574
1am1eda             3.2721317508257926      -5.688095056408201      -30.052747969878425      -7.528089360203012
2am                 2.774020799275604       -2.742594174691476      -18.50281728655709       -4.285827668922138
2sa                 -6.117612348054536      -17.60175055055879      -38.51798826917501       -18.828433335991576
1am1sa              -8.802178331534378      -17.56515076069627      -29.39115354390232       -18.8865318307071
1ma1sa              -10.262849017046392     -20.475863044674043     -34.254616896337374      -22.73148329637479
1dma1sa             -13.6348597999895       -23.958290133799892     -34.624955002023356      -26.636375354544725
2am1sa              -14.304028299695347     -32.61684160429286      -61.42147678907547       -35.68300051416736
1eda1sa             -14.45400768215768      -26.337367293483112     -39.85698343534686       -28.55157663335558
1sa1tma             -14.597576708343695     -24.809513053434785     -34.251002331385735      -27.505909399231314
