#CLUSTER            dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]       dE_[Eh]
2am                 -113.05536239990964  -113.02045741387666  0.00011707189680691298  -113.099827248
1am1ma              -152.32051189482704  -152.28153352592955  0.00013073408987920903  -152.391174402
2ma                 -191.58593176089943  -191.54361922382353  0.00014191694474558443  -191.683601312
1am1dma             -191.59160340765067  -191.54930397639808  0.00014187298759885054  -191.688292609
1dma1ma             -230.85523876791174  -230.8109845709825   0.00014842930380430135  -230.980284134
1am1tma             -230.86424280138917  -230.8215468509139   0.00014320291958837283  -230.989581759
1am1eda             -246.9241779494653   -246.88297674108904  0.0001381895300227156   -247.042448029
2dma                -270.1260860706795   -270.07993116401707  0.00015480431548689006  -270.278808208
1ma1tma             -270.12872517284364  -270.0830943393188   0.00015304656557060765  -270.281486345
1eda1ma             -286.18925474785254  -286.14457442378375  0.00014985854123362327  -286.334292737
1dma1tma            -309.40030507293784  -309.3510747324541   0.0001651193710674212   -309.578836669
1dma1eda            -325.46011696409636  -325.41263679045653  0.0001592492827094562   -325.631715672
2tma                -348.67031780365807  -348.62029981630053  0.00016776115162683397  -348.876992971
1eda1tma            -364.7320720113613   -364.6819815082817   0.00016800437055048315  -364.929831124
2eda                -380.79168509998146  -380.74239095967533  0.00016533335672029136  -380.981448674
1am1sa              -756.6583630511105   -756.6166708171016   0.00013983643806451078  -756.702608569
1ma1sa              -795.9270814146831   -795.8822584409279   0.0001503369906261209   -796.000061327
2am1sa              -813.1970224621142   -813.1487008441234   0.00016207150089149258  -813.27587436
1dma1sa             -835.2031806445898   -835.1550512313179   0.00016142684310560505  -835.302968602
1am1ma1sa           -852.4659537735353   -852.4155094114155   0.0001691912195864154   -852.574609657
1sa1tma             -874.4774938292907   -874.4274519457812   0.00016784129971339446  -874.60436322
1eda1sa             -890.5369792554873   -890.4884757025521   0.00016268171368501392  -890.655464812
2ma1sa              -891.7320787420988   -891.6782041132593   0.00018069639054006832  -891.867598533
1am1dma1sa          -891.7405403099815   -891.6864943384628   0.0001812710767018816   -891.875617164
1dma1ma1sa          -931.0075343155065   -930.9503872843626   0.00019167208164989766  -931.169662121
1am1sa1tma          -931.0114974516064   -930.9557650411413   0.00018692742064420684  -931.173370673
1am1eda1sa          -947.0739868678826   -947.0184028376051   0.00018642975105647268  -947.22721061
1ma1sa1tma          -970.277658152594    -970.2194130284231   0.00019535510370908424  -970.467257589
2dma1sa             -970.2785059333189   -970.2186349844839   0.00020080814635260386  -970.467176267
1eda1ma1sa          -986.3430383300849   -986.2860921454688   0.00019099843909457676  -986.525423771
1dma1sa1tma         -1009.5500401082339  -1009.4877888875545  0.00020879161723773624  -1009.76519086
1dma1eda1sa         -1025.616258109938   -1025.5559225254642  0.00020236654192072284  -1025.82492381
1sa2tma             -1048.8244994488027  -1048.7608549790393  0.0002134645975628597   -1049.06320697
1eda1sa1tma         -1064.8844414991545  -1064.8214242358376  0.00021136093683355622  -1065.11842357
2eda1sa             -1080.9503521213887  -1080.8885490204464  0.00020728861627528362  -1081.17691835
2sa                 -1400.2386374920554  -1400.1893210552164  0.0001654081396577126   -1400.28202936
1am2sa              -1456.7957738569555  -1456.7422798012267  0.00017941994207249147  -1456.87752302
1ma2sa              -1496.0700929145144  -1496.0131938873922  0.000190840272084868    -1496.17943049
2am2sa              -1513.3421040242936  -1513.2827094595154  0.00019921034639668563  -1513.46039864
1dma2sa             -1535.347033533903   -1535.2855015791772  0.00020637918740806498  -1535.48172876
1am1ma2sa           -1552.6158239737074  -1552.5534987045382  0.00020903997708957922  -1552.76189207
3am2sa              -1569.8823750436668  -1569.820053185442   0.0002090285367259533   -1570.03946544
2sa1tma             -1574.6168147219732  -1574.5544363099282  0.00020921821916847235  -1574.78045011
1eda2sa             -1590.6822361389152  -1590.6250943858502  0.00019165437888664429  -1590.84104913
2ma2sa              -1591.8888760090251  -1591.8250138785502  0.0002141946351666089   -1592.06474865
1am1dma2sa          -1591.8924314978178  -1591.8272679974932  0.00021855945102991354  -1592.06568867
2am1ma2sa           -1609.1560409030185  -1609.090209271929   0.00022080037259560126  -1609.34044496
1am2sa1tma          -1631.16257127269    -1631.0972983636325  0.0002189264097185584   -1631.36586028
1dma1ma2sa          -1631.1658384647114  -1631.098026738765   0.00022744164328902564  -1631.36772263
1am1eda2sa          -1647.2255890182016  -1647.1584936295615  0.00022503903619072203  -1647.41651774
1am2ma2sa           -1648.4279844530956  -1648.3580124655484  0.000234687196200927    -1648.63927422
2am1dma2sa          -1648.431741634929   -1648.3629423581872  0.0002307539048860508   -1648.64335868
1ma2sa1tma          -1670.435592803801   -1670.3666034691528  0.00023139136222744705  -1670.66603172
2dma2sa             -1670.4419901205958  -1670.3717014553476  0.00023574933841411362  -1670.67147709
1eda1ma2sa          -1686.4990711267562  -1686.429169597062   0.00023445087940397104  -1686.71829432
3ma2sa              -1687.6966734685586  -1687.626022803925   0.00023696349030202763  -1687.93696074
2am2sa1tma          -1687.7031103046343  -1687.6317748859065  0.00023926016678809853  -1687.94152701
1am1dma1ma2sa       -1687.7048760892883  -1687.6300256200311  0.0002510497040323522   -1687.94108796
2am1eda2sa          -1703.7663917407235  -1703.6959246798335  0.00023634768032889425  -1703.99574842
1dma2sa1tma         -1709.7124001394786  -1709.6402878735273  0.00024186572514256225  -1709.96954291
1dma1eda2sa         -1725.7759726020397  -1725.7028804554493  0.0002451522609104248   -1726.02197405
1dma2ma2sa          -1726.9724280743096  -1726.8985582528644  0.00024776059515429653  -1727.23936561
1am1ma2sa1tma       -1726.9750773821895  -1726.9002080376956  0.00025111301188625     -1727.24089611
1am2dma2sa          -1726.9783907809283  -1726.900972591939   0.0002596618782129372   -1727.24145666
1am1eda1ma2sa       -1743.037051615776   -1742.9626529468826  0.0002495343581866129   -1743.29349103
2sa2tma             -1748.9831041169562  -1748.908774173448   0.0002493038521157995   -1749.26724334
1eda2sa1tma         -1765.046806921582   -1764.972875930533   0.0002479657590099858   -1765.32147343
2ma2sa1tma          -1766.2418057410107  -1766.165294154066   0.0002566211200560338   -1766.53573738
1am1dma2sa1tma      -1766.246875541386   -1766.1685082151425  0.00026284530016303207  -1766.53892223
2dma1ma2sa          -1766.2481234999266  -1766.1711107204533  0.00025830212803388885  -1766.54153061
2eda2sa             -1781.1085468611543  -1781.0360739030136  0.00024307549267369295  -1781.37522239
1eda2ma2sa          -1782.30554848437    -1782.2302027564795  0.00025271080962817793  -1782.59099513
1am1dma1eda2sa      -1782.3106629400365  -1782.2326330491976  0.0002617135362702877   -1782.59289076
1am2sa2tma          -1805.5121191215283  -1805.432606967221   0.0002666850723034226   -1805.83205388
1dma1ma2sa1tma      -1805.5173804634962  -1805.4360344387212  0.0002728359039915996   -1805.83640654
3dma2sa             -1805.5229869363761  -1805.443084422643   0.0002679943442326637   -1805.84383928
1am1eda2sa1tma      -1821.5810390719048  -1821.501449447735   0.0002669449074953371   -1821.89106666
1dma1eda1ma2sa      -1821.581638903538   -1821.5024393570634  0.0002656365804951966   -1821.89281519
1am2eda2sa          -1837.6442158062678  -1837.5655331392588  0.0002639029582721389   -1837.94544041
1ma2sa2tma          -1844.7846271754045  -1844.702350497048   0.0002759573313988476   -1845.13252472
2dma2sa1tma         -1844.7933662193443  -1844.7098859340704  0.00027999424878032456  -1845.14025734
1eda1ma2sa1tma      -1860.8505584914678  -1860.768932510353   0.00027377488215637395  -1861.18934674
2dma1eda2sa         -1860.8571167554242  -1860.7755860605241  0.0002734552906257547   -1861.19616385
2eda1ma2sa          -1876.9147160844955  -1876.8352780537052  0.00026643646080901567  -1877.24546979
1dma2sa2tma         -1884.059868670073   -1883.9748102014626  0.00028528750162786165  -1884.43486037
1dma1eda2sa1tma     -1900.1255426963855  -1900.0404888296596  0.0002852720668320791   -1900.49057377
1dma2eda2sa         -1916.1909655954084  -1916.1092998004328  0.00027390841849948334  -1916.54977312
2sa3tma             -1923.323345074658   -1923.2372039863158  0.00028891862600105946  -1923.72675063
1eda2sa2tma         -1939.392764291238   -1939.3059912631115  0.0002910381624233453   -1939.7853687
2eda2sa1tma         -1955.459070517034   -1955.3751701312415  0.00028140327282428503  -1955.84540175
3eda2sa             -1971.523711282079   -1971.4408357450318  0.00027796591328933367  -1971.9007818
2am3sa              -2213.481935389496   -2213.410802484234   0.00023858093329537198  -2213.63588755
1am1ma3sa           -2252.7559222273967  -2252.6821788678108  0.0002473364399990192   -2252.93898566
3am3sa              -2270.0335402504356  -2269.95962025472    0.00024792888048127065  -2270.22807916
2ma3sa              -2292.0300015511616  -2291.951961715106   0.00026174689269126974  -2292.2394032
1am1dma3sa          -2292.0328692176313  -2291.9560904087484  0.00025751738682810966  -2292.24268752
2am1ma3sa           -2309.307495455963   -2309.230177665668   0.0002593251393416504   -2309.52952123
4am3sa              -2326.5756782572535  -2326.4969328019424  0.0002641135512700245   -2326.80671914
1dma1ma3sa          -2331.305572228396   -2331.2256432979634  0.0002680829462785108   -2331.54343661
1am3sa1tma          -2331.306230512963   -2331.2281533105647  0.0002618722200171465   -2331.54419751
1am1eda3sa          -2347.3744904005575  -2347.298323858891   0.0002554638325230517   -2347.60658765
1am2ma3sa           -2348.5794540083225  -2348.495650315718   0.00028107896228113036  -2348.82595996
2am1dma3sa          -2348.583221866697   -2348.5005587814485  0.0002772533464648825   -2348.82999865
3am1ma3sa           -2365.8484470083704  -2365.766940152584   0.00027337533384596267  -2366.10714388
1ma3sa1tma          -2370.5790892584882  -2370.4976060241     0.0002732961072885344   -2370.84484287
