#CLUSTER            ddG_298.15K_[kcal/mol]  ddH_298.15K_[kcal/mol]  ddS_298.15K_[cal/mol/K]  ddE_[kcal/mol]
2tma                5.807904728135327       -3.6020446288166568     -31.56112479277796       -4.993907952622976
1dma1ma             5.050579672199092       -3.612873364967527      -29.057363867706037      -4.989561364847759
2dma                4.972646844165865       -4.682420718512731      -32.38325528307155       -6.143802807608154
1ma1tma             4.608191629842622       -4.280906073545339      -29.814179786578343      -5.7385382781067165
1eda1tma            4.462686933766236       -5.728017502027797      -34.17979015857438       -7.221030932676513
2ma                 4.161972292844439       -3.5355625420925207     -25.8176583429031        -4.990711075864965
1eda1ma             4.092536903524888       -6.096356805763207      -34.17371695209746       -7.8538715987160685
1dma1tma            4.070551781638642       -4.744160091708181      -29.564688490136334      -6.156248074621544
1dma1eda            3.990746355324518       -6.610419177799486      -35.55648342470896       -8.31715442809218
1am1ma              3.552825901497272       -2.8223192863661097     -21.382341733615185      -4.2994943077501375
1am1tma             3.4107645532640163      -3.9053908868518192     -24.53850558486556       -5.375081386984675
1am1dma             3.3216505307500483      -3.153833651318564      -21.718880369071954      -4.571549990418134
1am1eda             3.2654779195581796      -5.689964527962729      -30.03670114887815       -7.5279582120565465
2am                 2.774020799275604       -2.742594174691476      -18.50281728655709       -4.285827668922138
2eda                2.622619892761577       -9.099002999515506      -39.314515821779125      -10.83949560704059
2sa                 -6.11583465419244       -17.601751797948964     -38.523954867768836      -18.828065619338304
1am1sa              -8.801282054861076      -17.565151382703334     -29.394161756854004      -18.886347972380463
1ma1sa              -10.26195274037309      -20.475863666681107     -34.25762510928906       -22.731299438048154
1dma1sa             -13.635485603881534     -23.95891139935702      -34.62493978008028       -26.636012657836545
2am1sa              -14.303132023022044     -32.61684222629992      -61.424485002027154      -35.682816655840725
1eda1sa             -14.454327567189466     -26.337990823434666     -39.85800186532764       -28.551346339809243
1sa1tma             -14.596680431670393     -24.80951367544185      -34.25401054433742       -27.505725540904677
2ma1sa              -15.730735659424681     -37.38909525930649      -72.64249404588308       -41.3764173106174
1am1ma1sa           -15.897428122290876     -36.29370019806083      -68.40943174831008       -40.33256519155111
1ma1sa1tma          -17.032738771100412     -39.22240328408952      -74.42449945642588       -43.23744926751533
1am1sa1tma          -17.178882239197264     -37.53069144782785      -68.26030256157601       -41.630053019252955
1dma1sa1tma         -18.073670880447025     -39.93381340119231      -73.31927727888113       -44.0209600552771
1am1dma1sa          -18.321741301275324     -38.642308259615675     -68.15551554000866       -43.045168292184826
1dma1ma1sa          -18.710510636563413     -40.49272796657169      -73.05791490846795       -44.75165353913326
2dma1sa             -18.857992803794332     -41.118718792859        -74.66284081474956       -45.272182839689776
1am1eda1sa          -18.92864339071093      -40.06823603133671      -70.90254113902861       -44.39392700541066
1sa2tma             -19.163534021849046     -41.2138054902025       -73.95697289403421       -42.770523532206425
1eda1sa1tma         -19.337537276252988     -43.86508315084211      -82.26579196530366       -48.80700073669141
1eda1ma1sa          -20.58936002815608      -44.299635970557574     -79.52465518144652       -48.71612148510758
1dma1eda1sa         -22.15602934459457      -45.92376229329966      -79.71736692495634       -50.48278389329789
2eda1sa             -23.160236041410826     -47.80210922524566      -82.64924763968455       -52.083318145305384
1am2sa              -23.23134511744138      -45.79376896156464      -75.67474037945803       -49.572067956323735
1ma2sa              -28.195792528335005     -52.14293307217304      -80.31910294779155       -56.31181124167051
2sa1tma             -30.20599736132135      -53.89369397236442      -79.44892373287368       -58.927675342114526
1dma2sa             -32.08864401525352      -55.21800687361974      -77.57626315060976       -59.73544614890125
2am2sa              -33.58614851627499      -66.1369316886412       -109.17586172189975      -72.3979550631484
1eda2sa             -33.78849649755284      -61.467735290527344     -92.83662181066498       -65.93296070338693
1am1ma2sa           -38.12646714958828      -72.28350644186139      -114.56327114615826      -78.77973926195409
1am2sa1tma          -40.167041048393        -75.74501336515823      -119.3291038627942       -83.34474063110247
3am2sa              -40.276321473298594     -83.10524778137915      -143.64892271690593      -91.4532582181273
1am1dma2sa          -41.87204547529109      -76.32088016089983      -115.54195769091804      -83.17432838631794
1am1eda2sa          -42.30890257982537      -77.3923333621351       -117.67040342853099      -84.11146019166335
2ma2sa              -42.53378630406223      -78.2105295828078       -119.66038329255302      -85.04834701970685
1ma2sa1tma          -44.322245016213856     -80.98595725475752      -122.97069340473365      -88.89571085809439
2am1ma2sa           -44.60566452820785      -90.27225040877238      -153.16647955923563      -98.89387842931319
1dma1ma2sa          -46.2217394860927       -82.53491645795293      -121.7949923587351       -89.96217605145648
1am2sa2tma          -46.28647884199745      -93.33069323337986      -157.78706822546127      -103.22175469782087
1eda1ma2sa          -46.685446846531704     -83.48227691918146      -123.41717280733667      -90.66986766003538
2sa2tma             -46.83847698671161      -83.4221645417565       -122.70228930115496      -91.73083078183117
2am2sa1tma          -46.842641537994496     -92.32938800936972      -152.5632952243008       -101.64784339004837
2sa3tma             -47.12157578516053      -96.6945082093007       -166.26843006627593      -107.4122782148188
2am1dma2sa          -47.72913870366756      -93.71783361956477      -154.24683855760662      -102.80263590579852
1am2ma2sa           -48.09014942101203      -94.57323938468471      -155.905047672926        -103.60258902935311
1dma2sa1tma         -48.169162445454276     -85.04536415879556      -123.68338659561441      -93.1791441009118
2am1eda2sa          -49.08229626924731      -95.8194628508063       -156.7572248243342       -104.6511593433097
1eda2sa1tma         -49.344460791078745     -86.8852176710352       -125.91231554541983      -94.73958091104578
2am3sa              -49.45692631136626      -95.88862938364036      -155.7326951950076       -103.44596955156885
3ma2sa              -49.532404079684056     -99.00421231705695      -165.92925788210613      -107.59422685124446
2dma2sa             -49.63865630386863      -86.57324748777319      -123.87922583919689      -94.39828704937827
1ma2sa2tma          -50.12519156219787      -98.84924900051556      -163.42128941280788      -108.96056167242932
1am1ma2sa1tma       -50.34188999397156      -97.02567762658873      -156.57819095317856      -106.69530520976696
2ma2sa1tma          -50.55382672788983      -99.62169247759448      -164.57442813881778      -108.901540120758
1dma1eda2sa         -50.61093397065997      -88.4707271461375       -126.98236852396529      -96.11535488336813
2eda2sa             -50.61294863733929      -89.77552645234391      -131.3519296164095       -97.44659622304607
1am1dma2sa1tma      -51.0164880836237       -97.68959725961031      -156.54237523385797      -107.5370790235902
1am1eda1ma2sa       -51.76127123297192      -99.4459321788745       -159.93513649508526      -108.67799380875658
1am1dma1ma2sa       -51.96091960615013      -97.5670632465044       -152.96375529240817      -106.82110575621482
1am1eda2sa1tma      -52.06431820393482      -99.76544298625959      -159.9903564724527       -109.2316697001661
1dma2ma2sa          -52.68968425167259      -102.32577751751523     -166.4802725672178       -111.18367942643818
1dma2sa2tma         -52.96049299053266      -102.1232842845784      -164.89280997481586      -112.50657849010895
1eda2ma2sa          -53.08295315504074      -103.58792192069814     -169.39449527265197      -112.55516253330279
1eda2sa2tma         -53.21270618759445      -103.0946174635028      -167.30475021210563      -113.17451150828856
1am1dma1eda2sa      -53.57363583985716      -101.16400970658287     -159.61889608127007      -110.38171201839577
1dma1ma2sa1tma      -53.59822961092868      -101.81678670398833     -161.72583294612343      -111.40182946393907
1am2dma2sa          -53.738710232893936     -99.89435141079593      -154.80677906370747      -109.13284927268978
1eda1ma2sa1tma      -54.02765392673609      -103.8655487983342      -167.15711846923116      -113.59576820283837
