#CLUSTER    ddG_298.15K_[kcal/mol]  ddH_298.15K_[kcal/mol]  ddS_298.15K_[cal/mol/K]  ddE_[kcal/mol]
1ma1sa1tma  -17.02701012491889      -39.22740848634567      -74.4605009609439        -43.2375026052905
1am1sa1tma  -17.174449833037215     -37.53131621707871      -68.27726441097916       -41.630006583975046
1am2sa1tma  -38.47062648575229      -73.62582610906975      -117.91111730072853      -81.1406990938558
1ma2sa1tma  -44.22937149075733      -80.76952798081038      -122.55628539346824      -88.39473128788813
1am2sa2tma  -45.378353589068865     -92.14021982843406      -156.84006788335944      -101.83198615346919
2am2sa1tma  -46.99947863978741      -92.35557796292414      -152.12510254274585      -101.64772416446067
2ma2sa1tma  -48.252710707471124     -95.62772609885724      -158.89658021601429      -104.9366310401092
1ma2sa2tma  -49.61872206776752      -97.55527654718026      -160.77999154642177      -106.89790283629554
1am3sa1tma  -55.90462904841115      -104.46072516833374     -162.85794439049766      -113.5959706352296
1ma3sa1tma  -60.24667855676671      -107.77230050308572     -159.40171707731372      -116.96289157045248
2am3sa1tma  -66.85840251621266      -125.31716373130621     -196.07164586690735      -137.0394022694527
1am3sa2tma  -70.74017497940804      -132.51373297788086     -207.18952875549886      -145.17879589050426
2ma3sa1tma  -74.39828375609068      -136.180486522484       -207.21852344894685      -148.4895253127179
1ma3sa2tma  -75.1407836090948       -137.5661773599859      -209.37579658239773      -150.48299428759492
3am3sa1tma  -75.83675869599392      -146.81211230820918     -238.05250247298517      -160.2657806157804
2am3sa2tma  -76.7112253983214       -148.9825686630502      -242.39927306674346      -163.49530838857754
1am3sa3tma  -78.05554657470202      -152.0965749230818      -248.33482592128482      -168.0327594897244
2am4sa1tma  -81.38699940497463      -154.18856648645306     -244.17765246218354      -167.7787103822193
1ma3sa3tma  -83.23806169669842      -157.63025370106334     -249.5126345951868       -173.17831257800572
2ma3sa2tma  -83.76660536482814      -158.49432830835576     -250.6380108794142       -173.91579313445254
3ma3sa1tma  -86.59749021007156      -159.8046359122818      -245.53796982102293      -174.54017882530752
1am4sa2tma  -88.46117025145213      -163.73855430606636     -252.48158327970117      -177.90626568332664
2ma4sa1tma  -92.67469391039049      -167.8189141497569      -252.0349496540347       -181.75694261204626
1ma4sa2tma  -93.77261546903173      -170.32657035204466     -256.7632228165139       -184.22666126381955
3am4sa1tma  -97.93628147126583      -181.17772155404964     -279.19315808483066      -197.0483693205024
2am4sa2tma  -101.48196532737347     -187.9384169797122      -289.97635972573636      -204.9351616090571
1am4sa3tma  -107.35607698390959     -195.28274803125532     -294.90749973923664      -213.28682694514282
1ma4sa3tma  -109.72361158154672     -199.20939624105813     -300.13679241917157      -217.42731475364417
3ma4sa1tma  -111.60482629131002     -198.58595702970342     -291.73614200299727      -215.7371821093111
2ma4sa2tma  -112.82894299944746     -200.92934456162038     -295.49019474158797      -218.53687321403413
