#CLUSTER    ddG_298.15K_[kcal/mol]  ddH_298.15K_[kcal/mol]  ddS_298.15K_[cal/mol/K]  ddE_[kcal/mol]
1am1sa1tma  -13.474411457893439     -33.83127784196404      -68.27726441097916       -37.92996820899134
1ma1sa1tma  -13.860779564129189     -36.061177925701486     -74.4605009609439        -40.07127204442804
1am2sa1tma  -32.04784779949114      -67.20304742277949      -117.91111730072853      -74.71792040769651
2am2sa1tma  -37.21458123403136      -82.57068055702257      -152.12510254274585      -91.86282675880648
1ma2sa1tma  -38.657532212673686     -75.19768870269763      -122.55628539346824      -82.82289200978994
1am2sa2tma  -38.75500973267481      -85.5168759720982       -156.84006788335944      -95.20864229692961
2ma2sa1tma  -40.24100934260059      -87.61602473384119      -158.89658021601429      -96.92492967534054
1ma2sa2tma  -41.40351542877033      -89.3400699084741       -160.77999154642177      -98.6826961976185
1ma3sa1tma  -46.81461089255754      -94.34023283908027      -159.40171707731372      -103.53082390669442
1am3sa1tma  -47.48934343166184      -96.04543955178815      -162.85794439049766      -105.18068501846574
2am3sa1tma  -56.137036423548125     -114.59579763907823     -196.07164586690735      -126.3180361774721
3am3sa1tma  -60.519810526049696     -131.49516413823585     -238.05250247298517      -144.94883244605444
1am3sa2tma  -62.12960459571332      -123.90316259482643     -207.18952875549886      -136.56822550701327
2am3sa2tma  -64.17728583607823      -136.44862910121446     -242.39927306674346      -150.96136882677092
2ma3sa1tma  -65.74562377564143      -127.52782654177281     -207.21852344894685      -139.8368653322541
1ma3sa2tma  -66.84466266841628      -129.27005641994765     -209.37579658239773      -142.18687334735296
1am3sa3tma  -68.614113646443        -142.65514199493919     -248.33482592128482      -158.5913265614072
2am4sa1tma  -69.5398771740729       -142.34144425575505     -244.17765246218354      -155.93158815153583
2ma3sa2tma  -72.34302332694642      -147.07074627064867     -250.6380108794142       -162.49221109677455
1ma3sa3tma  -73.11922220315319      -147.51141420810018     -249.5126345951868       -163.0594730846351
3ma3sa1tma  -75.51524008472916      -148.72238578714314     -245.53796982102293      -163.4579287001834
1am4sa2tma  -79.18830463383347      -154.4656886893208      -252.48158327970117      -168.63340006637736
3am4sa1tma  -82.83918186684605      -166.08062195006642     -279.19315808483066      -181.95126971630089
2ma4sa1tma  -83.2484355600318       -158.39265579960193     -252.0349496540347       -172.330684261673
1ma4sa2tma  -84.9399672569707       -161.49392214015825     -256.7632228165139       -175.3940130524279
2am4sa2tma  -87.97546328883618      -174.4319149411167      -289.97635972573636      -191.42865957072354
1am4sa3tma  -97.317088442971        -185.24375949020032     -294.90749973923664      -203.24783840437885
3ma4sa1tma  -99.06903738563415      -186.05016812469694     -291.73614200299727      -203.2013932038535
1ma4sa3tma  -99.69381186517421      -189.17959652503487     -300.13679241917157      -207.3975150376791
2ma4sa2tma  -100.44571518502198     -188.54611674760235     -295.49019474158797      -206.15364539957955
