#CLUSTER    dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]       dE_[Eh]
1am1sa1tma  -931.0114933732232   -930.9557690211485   0.00018690039267016273  -931.173370565
1ma1sa1tma  -970.2776490233209   -970.219421004803    0.00019529773106780917  -970.467257674
1am2sa1tma  -1631.1598769472364  -1631.0939251718767  0.00022120333845306197  -1631.36234782
1ma2sa1tma  -1670.4354447988903  -1670.3662585635923  0.00023205177024344923  -1670.66523335
2am2sa1tma  -1687.7033602430436  -1687.6318166226847  0.00023995847847992302  -1687.94152682
2ma2sa1tma  -1766.2381386413786  -1766.1589292978363  0.0002656694400207248   -1766.52941883
1am2sa2tma  -1805.5106719168887  -1805.4307098075183  0.00026819422898012666  -1805.82983912
1ma2sa2tma  -1844.783820056563   -1844.7002883994112  0.00028016655090279597  -1845.12923763
1am3sa1tma  -2331.3021056915672  -2331.223699512745   0.00026297561235069574  -2331.54008143
1ma3sa1tma  -2370.5754158719483  -2370.489925959096   0.000286734572705765    -2370.83677239
2am3sa1tma  -2387.8494533853354  -2387.764980089516   0.0002833248224706203   -2388.12393994
3am3sa1tma  -2444.3936530187952  -2444.3072782072613  0.0002897025374269072   -2444.70745255
2ma3sa1tma  -2466.3942503001913  -2466.3041901963215  0.0003020630684885145   -2466.72483781
1am3sa2tma  -2505.665534575046   -2505.5756850543426  0.0003013567690878498   -2506.02492968
1ma3sa2tma  -2544.9389380762896  -2544.8446857807326  0.0003161237483048483   -2545.32470792
2am3sa2tma  -2562.2049417122766  -2562.109973468721   0.00031852504965869665  -2562.60061784
3ma3sa1tma  -2562.2099733508862  -2562.11083050724    0.0003325267269709755   -2562.60417661
2ma3sa2tma  -2640.7489665172407  -2640.647029700333   0.0003418977592080302   -2641.19987486
1am3sa3tma  -2680.016979174249   -2679.91417238818    0.0003448156500736771   -2680.49586746
1ma3sa3tma  -2719.291628735659   -2719.183940018307   0.00036118972782725136  -2719.79539288
2am4sa1tma  -3087.9870520232384  -3087.891625367568   0.00032006257142493577  -3088.29893896
3am4sa1tma  -3144.5433168195523  -3144.4426791510086  0.00033754039424274793  -3144.89208225
2ma4sa1tma  -3166.537821520322   -3166.435245054682   0.0003440431515674291   -3166.90386567
1am4sa2tma  -3205.8082206760896  -3205.70608078231    0.0003425788823736089   -3206.20309707
1ma4sa2tma  -3245.083075702805   -3244.977528623158   0.00035400663977029124  -3245.50449474
2am4sa2tma  -3262.358862412449   -3262.252689499521   0.00035610569488009493  -3262.79266944
3ma4sa1tma  -3262.364271094917   -3262.253268408375   0.0003723048349567248   -3262.7958412
2ma4sa2tma  -3340.909726384247   -3340.795290195361   0.00038382085824529725  -3341.39699612
1am4sa3tma  -3380.1781186295198  -3380.063629940202   0.00038399694555657396  -3380.69399746
1ma4sa3tma  -3419.4482821876363  -3419.330836577684   0.00039391450596117463  -3419.99192119
