#CLUSTER    dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]       dE_[Eh]
1am1sa1tma  -930.0125736225272   -929.9568492704524   0.00018690039267016273  -930.174450814304
1ma1sa1tma  -969.2135244639129   -969.155296445395    0.00019529773106780917  -969.403133114592
1am2sa1tma  -1629.4906658052125  -1629.4247140298528  0.00022120333845306197  -1629.693136677976
1ma2sa1tma  -1668.7015342347322  -1668.632347999434   0.00023205177024344923  -1668.931322785842
2am2sa1tma  -1685.9625702507356  -1685.8910266303765  0.00023995847847992302  -1686.200736827692
2ma2sa1tma  -1764.3680634572065  -1764.288854113664   0.0002656694400207248   -1764.659343645828
1am2sa2tma  -1803.5802911487049  -1803.5003290393342  0.00026819422898012666  -1803.899458351816
1ma2sa2tma  -1842.7848469729986  -1842.701315315847   0.00028016655090279597  -1843.130264546436
1am3sa1tma  -2328.9637668711866  -2328.885360692364   0.00026297561235069574  -2329.201742609619
1ma3sa1tma  -2368.1630267236123  -2368.0775368107597  0.000286734572705765    -2368.424383241664
2am3sa1tma  -2385.441218636097   -2385.3567453402775  0.0002833248224706203   -2385.715705190762
3am3sa1tma  -2441.911873750012   -2441.8254989384777  0.0002897025374269072   -2442.225673281217
2ma3sa1tma  -2463.8572012892214  -2463.767141185351   0.0003020630684885145   -2464.18778879903
1am3sa2tma  -2503.0660345434503  -2502.9761850227474  0.0003013567690878498   -2503.425429648404
1ma3sa2tma  -2542.2738836625595  -2542.179631367003   0.0003161237483048483   -2542.65965350627
2am3sa2tma  -2559.532968411631   -2559.438000168075   0.00031852504965869665  -2559.928644539354
3ma3sa1tma  -2559.536776089453   -2559.4376332458064  0.0003325267269709755   -2559.930979348567
2ma3sa2tma  -2637.9466517134197  -2637.8447148965115  0.0003418977592080302   -2638.397560056179
1am3sa3tma  -2677.1553050633283  -2677.0524982772586  0.0003448156500736771   -2677.634193349079
1ma3sa3tma  -2716.362819603135   -2716.2551308857837  0.00036118972782725136  -2716.866583747476
2am4sa1tma  -3084.911070865203   -3084.815644209532   0.00032006257142493577  -3085.222957801964
3am4sa1tma  -3141.395935521686   -3141.2952978531425  0.00033754039424274793  -3141.744700952134
2ma4sa1tma  -3163.3335873054707  -3163.231010839831   0.0003440431515674291   -3163.699631455149
1am4sa2tma  -3202.5417128152803  -3202.439572921501   0.0003425788823736089   -3202.936589209191
1ma4sa2tma  -3241.7512138859347  -3241.6456668062874  0.00035400663977029124  -3242.17263292313
2am4sa2tma  -3259.019386835165   -3258.913213922236   0.00035610569488009493  -3259.453193862715
3ma4sa1tma  -3259.0228050644073  -3258.9118023778656  0.0003723048349567248   -3259.45437516949
2ma4sa2tma  -3337.4399298880708  -3337.3254936991852  0.00038382085824529725  -3337.927199623824
1am4sa3tma  -3376.6495398596026  -3376.5350511702845  0.00038399694555657396  -3377.165418690083
1ma4sa3tma  -3415.8536625668053  -3415.736216956853   0.00039391450596117463  -3416.397301569169
