#CLUSTER  ddE_[kcal/mol]
1am1sa    -19.50565436069155
2am2sa    -71.1311934144469
3am3sa    -123.25173881766386
4am4sa    -175.43589471536689
4am6sa    -227.01108879689127
5am5sa    -233.10491785639897
5am6sa    -258.886813682504
6am6sa    -285.2318534110673
5am7sa    -286.98267850419506
7am6sa    -301.90041390107945
8am6sa    -312.1691194549203
6am7sa    -312.56645021401346
6am8sa    -336.8966967584565
7am7sa    -341.16616231389344
8am7sa    -356.0775974942371
7am8sa    -375.4500532229431
9am7sa    -379.2409034301527
7am9sa    -393.11956248478964
8am8sa    -404.0863948361948
9am8sa    -428.9384504854679
8am9sa    -430.9722103122622
10am8sa   -432.47386619914323
9am9sa    -464.09630496194586
10am9sa   -474.7201228206977
11am9sa   -483.50088146701455
