#CLUSTER  dE_[Eh]
1am       -56.531347627416
1sa       -700.060001071293
1am1sa    -756.622433258242
2am2sa    -1513.296053339006
3am3sa    -2269.970462270739
4am4sa    -3026.644972573293
5am5sa    -3783.328223658351
4am6sa    -4426.847165867286
5am6sa    -4483.42931121979
6am6sa    -4540.002642773543
7am6sa    -4596.560553716975
8am6sa    -4653.108265737157
5am7sa    -5183.534086363592
6am7sa    -5240.10620474702
7am7sa    -5296.683129386976
8am7sa    -5353.238240144099
9am7sa    -5409.806501229994
6am8sa    -5940.204978934209
7am8sa    -5996.797765879787
8am8sa    -6053.37474889319
9am8sa    -6109.945701200822
10am8sa   -6166.482682929929
7am9sa    -6696.885925396955
8am9sa    -6753.477595680721
9am9sa    -6810.0617304576
10am9sa   -6866.610008391101
11am9sa   -6923.155349192486
