#CLUSTER  ddE_[kcal/mol]
1sa1w     16.41430465025769
2sa       14.611950318212621
1sa2w     14.454445945768384
3w        9.98897259158548
2w        8.946741095744073
3sa       3.079904271522537
4w        2.3388666121463757
1sa3w     0.7187252777512185
2sa1w     -0.2760419947007904
4sa       -8.226740736979991
5w        -11.815367940900614
1sa4w     -12.948037019057665
3sa1w     -13.96442961799039
2sa2w     -18.442409784911433
6w        -20.696006277401466
2sa3w     -21.91890890902141
1sa5w     -23.019432059430983
3sa2w     -26.960680595395388
4sa1w     -28.214384674924077
7w        -28.44125415943563
1sa6w     -37.113859508768655
2sa4w     -37.154240928182844
4sa2w     -39.54398058008519
3sa3w     -42.5720547187957
2sa5w     -44.108910105831455
8w        -46.2775879232795
3sa4w     -50.86580066225724
9w        -54.79749272664776
4sa3w     -60.26274482574081
3sa5w     -60.6376127290423
1sa7w     -63.07644814369269
1sa8w     -68.23940672236495
4sa4w     -68.25647661002586
10w       -69.434295492596
1sa9w     -79.78599584137555
4sa5w     -84.83523399796104
1sa10w    -91.93609174562152
1sa11w    -104.81190757814329
1sa12w    -118.53151045832783
1sa13w    -131.63498292281292
1sa14w    -138.8310500868829
1sa15w    -154.739552852232
