#CLUSTER  dE_[Eh]
1w        -5.768742837352
2w        -11.523696922901
3w        -17.289583348156
4w        -23.074200773249
1sa       -23.45522190195
5w        -28.862205875407
1sa1w     -29.198850995116
6w        -34.644341089851
1sa2w     -34.978706270171
7w        -40.431409962956
1sa3w     -40.761077064883
8w        -46.218523689566
1sa4w     -46.551131322689
2sa       -46.891023808196
9w        -52.002979777093
1sa5w     -52.340968631522
2sa1w     -52.683955342687
10w       -57.789991545236
1sa6w     -58.132739885739
2sa2w     -58.475260334869
1sa7w     -63.931377490487
2sa3w     -64.255612180417
1sa8w     -69.70531474975
2sa4w     -70.039873865527
3sa       -70.367334674947
1sa9w     -75.493077782638
2sa5w     -75.828799993478
3sa1w     -76.15413855023
1sa10w    -81.282805785194
3sa2w     -81.943396636659
1sa11w    -87.06609734195
3sa3w     -87.735005895539
1sa12w    -92.854788846422
3sa4w     -93.523996462535
4sa       -93.833015551646
1sa13w    -98.63956462272
3sa5w     -99.309568415429
4sa1w     -99.625980324883
1sa14w    -104.428188137288
4sa2w     -105.423004002252
1sa15w    -110.209519356482
4sa3w     -111.215290613766
4sa4w     -116.999037142288
4sa5w     -122.798850629707
