#CLUSTER    ddG_298.15K_[kcal/mol]  ddH_298.15K_[kcal/mol]  ddS_298.15K_[cal/mol/K]  ddE_[kcal/mol]
1am1p       17.838936548883794      17.57776027743239       -0.875989506849038       17.92262767268403
2sa         -6.108852871810086      -17.596743792993948     -38.53057494928761       -18.828194884816185
1am1sa      -8.586828212428372      -17.53598484728718      -30.015618429496342      -18.91049366031075
3sa         -10.022496300982311     -34.675508581800386     -82.68660835457595       -37.15596616710536
1dma1sa     -13.574032913893461     -23.997769509034697     -34.961383850783875      -26.65284605330089
1am2sa      -23.225604402134195     -45.79251153510995      -75.68977740357069       -49.572824724949896
1am3sa      -30.83821058063768      -66.03622839576565      -118.05473022146481      -70.66434512031265
1dma2sa     -32.03025880747009      -56.06570699228905      -80.61528822698652       -60.498502974398434
2am2sa      -33.58794106962159      -66.13693044462707      -109.16984529599638      -72.39832277980167
1am1dma2sa  -41.5874640023103       -75.57338834565599      -113.98934879539033      -82.4210179373622
1dma3sa     -43.08656515693292      -80.45025789993815      -125.3184395205187       -86.38849488575943
2am3sa      -46.965285014593974     -92.94463622104377      -154.21549960193255      -100.97127906768583
2dma2sa     -49.53271392965689      -85.74655558273662      -121.46182006708972      -93.3930184582714
1am1dma3sa  -55.878002675948665     -103.73731486289762     -160.52091962727516      -112.44549533980899
2am4sa      -56.561819947790354     -116.1205924267415      -199.76110172398197      -125.40525066806003
3am3sa      -61.367468669777736     -118.07462321151979     -190.19672829713514      -129.02685147686861
2dma3sa     -64.71244329912588      -114.22823611018248     -166.07678286436035      -123.65402684174478
1am1dma4sa  -65.26200779131614      -127.97760060452856     -210.3491290064847       -138.5309167855885
2am1dma3sa  -70.7367015411146       -129.81891213264316     -198.16270532120015      -141.34830347425304
2dma4sa     -73.49650313542224      -137.94933864008635     -216.17586954406204      -147.6892391105648
3am4sa      -73.75748982327059      -145.06292832200415     -239.1596126068245       -156.74847444496118
1am2dma3sa  -76.93189651239663      -138.81289728940465     -207.54989360225449      -150.57635393296368
3dma3sa     -79.88422333355993      -142.7993721938692      -211.0184432679714       -155.29061843664385
2am1dma4sa  -81.41715801064856      -154.8161335689947      -246.18137031060962      -166.90120077389292
4am4sa      -86.84733484475873      -167.6758594289422      -271.1001998457613       -181.91859980928712
1am2dma4sa  -88.16803552373312      -163.12475803331472     -251.40607918716128      -175.3366835685447
3dma4sa     -95.19851634884253      -170.85499284882098     -253.7530655713534       -184.10777379223146
3am1dma4sa  -97.14518640819006      -181.53379121539183     -283.04076742231496      -197.5850130233448
2am2dma4sa  -103.61877708532847     -189.5802413953934      -288.3161640448917       -205.91862070560455
1am3dma4sa  -110.50257171271369     -198.65144533850253     -295.6527708404411       -216.09888814133592
4dma4sa     -111.52046547248028     -199.81328123924322     -296.1355551449857       -217.1841145453509
