#CLUSTER    ddG_298.15K_[kcal/mol]  ddH_298.15K_[kcal/mol]  ddS_298.15K_[cal/mol/K]  ddE_[kcal/mol]
1am1p       17.838936548883794      17.57776027743239       -0.875989506849038       17.92262767268403
4dma        9.805823845847044       -22.172800820553675     -107.25683268968587      -26.542127541499212
4am         7.717921461735386       -17.02642141850083      -82.99293268575066       -21.998793223523535
3dma        7.591323270520661       -13.065817410999443     -69.28438933938342       -16.04457149672089
2dma        5.039612845459487       -4.358216308115516      -31.520473431468858      -5.745532928529428
3am         4.845544375726604       -10.696698720814311     -52.12893877761449       -14.006919533552718
1am1dma     3.6986926075041993      -3.1407495392340934     -22.93960136423057       -4.57441265907255
2am         2.9671095884550596      -2.750160738520208      -19.17581863816737       -4.294729426474078
2sa         -6.117158601991832      -17.601750865462236     -38.51951119697834       -18.828433335991576
1am1sa      -8.580520865041763      -17.534738431335427     -30.03259287677608       -18.910488012770656
3sa         -10.02988006779924      -34.676134285051376     -82.66394169839452       -37.156091667944565
1dma1sa     -13.582201658806298     -23.99901062430581      -34.93814846724557       -26.652913196128793
2am1sa      -14.230862899275962     -32.59874167101225      -61.60616727052087       -35.68317998002749
4sa         -15.524065817706287     -51.61537749157287      -121.05085250376271      -55.378580496879295
3am1dma1sa  -15.67281707096845      -55.359708472911734     -133.11048600327507      -63.17114580544876
1am3dma1sa  -15.80294237320777      -59.64967463182984      -147.06266060273242      -66.99318650906207
2am2dma1sa  -15.968918900063727     -58.05925620277412      -141.17168305462326      -65.556589800457
3am1sa      -16.48109672596911      -45.38234518212266      -96.93526230475882       -51.18560381938005
2am1dma1sa  -16.86077075067442      -47.99724952195538      -104.43226151687976      -53.512972411641385
2dma1sa     -16.895238136698026     -39.24904446990695      -74.97503381932378       -43.184009731339756
1am1dma1sa  -18.117460669891443     -38.92234508093679      -69.77992423629124       -43.4426487723249
4am1sa      -18.90420564217493      -57.81019910401665      -130.49134147868872      -65.24856777937384
1am2dma1sa  -20.279461338941474     -53.689238895545714     -112.05694300409267      -59.639812683628406
3dma1sa     -21.497346141724847     -55.91817091911798      -115.44801199867673      -61.375853823905345
4dma1sa     -22.806661860493477     -70.75593651464442      -160.82265522106638      -77.98007140128175
1am2sa      -23.206286055850796     -45.784402133198455     -75.72737238724812       -49.5723478224827
1am3sa      -31.12498356611468      -66.09676531981677      -117.29593075173923      -70.69327300880104
1dma2sa     -32.02590775222052      -56.0569574625697       -80.60053567084341       -60.49854062462691
2am2sa      -32.88034277758561      -65.2753745703958       -108.65346903446326      -71.87900757195894
1am4sa      -37.628285207785666     -86.7569965554867       -164.77850527579852      -91.80375026958063
3am2sa      -40.2781140266452       -83.10524653736502      -143.64290629100256      -91.45362593478058
1am1dma2sa  -41.06300071149599      -75.45605140377302      -115.35485726092085      -82.42945157759823
1dma3sa     -43.06227678572759      -80.4433925182093       -125.37687651297222      -86.38861411134712
4am2sa      -43.907888008630835     -97.0847982877167       -178.35623102167668      -107.11319033044856
3am1dma2sa  -44.597524792305194     -99.9854797613807       -185.77211125037266      -109.37385535379872
2am1dma2sa  -45.235867588198744     -92.41666183515918      -158.24515930533232      -100.58430675277486
2am3sa      -47.030284884618595     -92.95524318818934      -154.03306491104593      -100.9712414178066
1dma4sa     -47.673303606687114     -98.58928541885689      -170.77303978655422      -106.4810932551045
2dma2sa     -49.44902431743685      -85.71035224606749      -121.62108981566524      -93.3931376838591
2am2dma2sa  -52.51143402198795      -107.7856354607502      -185.39058003939977      -118.24453657877166
1am2dma2sa  -53.72940779617056      -99.88436548423488      -154.80448662838523      -109.13348681561183
1am1dma3sa  -55.94208449451253      -103.75417544948868     -160.36253883985995      -112.44595969212241
3dma2sa     -57.369640152552165     -106.4503412481863      -164.61747810010928      -115.43490093224682
2am4sa      -57.448083555093035     -118.0270240183454      -203.18276190929842      -128.10874066804536
4dma2sa     -60.352564091212116     -122.00017093028873     -206.76708649715442      -132.3585551866563
1am3dma2sa  -60.775001599802636     -120.57119165733457     -200.5574041842987       -132.3878745115362
3am3sa      -62.32644626311958      -118.24005151540041     -187.53515093893333      -128.9819787372835
2dma3sa     -64.21129420259967      -113.93339193658903     -166.7687329661278       -123.4492914378643
1am1dma4sa  -67.63451230246574      -129.66214908403344     -208.04171316999646      -139.23664430971257
2am1dma3sa  -69.39691265206784      -127.51230072742328     -194.91996671254955      -138.8598462024238
4am3sa      -72.57922030659392      -141.68964422680438     -231.79749763519268      -153.99304464133456
2dma4sa     -73.49562337319367      -137.95433601457626     -216.19558155686852      -147.68933323584497
3am4sa      -73.608754347777        -145.0292536255438      -239.54552834992109      -156.74886349681765
1am2dma3sa  -76.94097960134968      -138.81539242365398     -207.52779749318483      -150.57631628285162
3am1dma3sa  -77.67568454099819      -148.58594834129326     -237.83419017297845      -162.00963153294288
2am1dma4sa  -83.27449606335722      -154.45944119710475     -238.7554758803552       -167.7620595896151
3dma3sa     -83.85425060987473      -146.95593247539364     -211.64407803282103      -158.99712178180926
2am2dma3sa  -86.11889958987013      -158.45509226014838     -242.61677903852006      -172.52642882755026
1am3dma3sa  -91.44763865950517      -165.53342017205432     -248.48492877025055      -180.09208578825928
1am2dma4sa  -91.48015339463018      -167.31297315028496     -254.34452374894397      -180.58084536506794
4am4sa      -91.50309029384516      -170.8643524281215      -266.17897747509744      -186.04428143333644
3dma4sa     -93.98109429120086      -170.22626667656004     -255.72756124567277      -183.4545368941035
4dma3sa     -94.37056791759096      -170.0409666527994      -253.7997609775606       -184.48861414799467
3am1dma4sa  -102.15912564797327     -184.77602165564895     -277.0984269914509       -200.7267573934514
2am2dma4sa  -104.66736444062553     -188.66176038980484     -281.7185844349401       -205.31653785216622
1am3dma4sa  -110.32244895980693     -195.82799263182096     -286.78699873284916      -213.10380377224647
4dma4sa     -114.27425794559531     -202.9510159532074      -297.4233037319681       -220.0737470353488
