#CLUSTER    dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]       dE_[Eh]
2am         -113.05505469016296  -113.02046947208804  0.00011599938982031645  -113.099841434
3am         -169.5819527474274   -169.54117660047606  0.00013676386701778895  -169.661817592
1am1dma     -191.5910049722708   -191.54928411439172  0.00013993244299545605  -191.688296886
4am         -226.10726684047378  -226.0593071431193   0.0001608576131292124   -226.221052223
2dma        -270.1259842036922   -270.07941648420933  0.00015618889647119166  -270.278172948
3dma        -405.1889254627498   -405.1295286494009   0.0001992178881397589   -405.429094062
4dma        -540.2524041054529   -540.1802772773771   0.00024191456674785015  -540.580331537
1am1sa      -756.6580098138089   -756.6166223514698   0.0001388142288752738   -756.702646746
2am1sa      -813.196905864424    -813.148671999746    0.00016177717483815832  -813.275874646
1dma1sa     -835.2030967276346   -835.1551161242196   0.0001609277323998041   -835.302994957
3am1sa      -869.7303834418086   -869.6770875622433   0.00017875525596295732  -869.847078224
1am1dma1sa  -891.7402157620072   -891.686941600208    0.00017868241421845204  -891.876250018
4am1sa      -926.2641365160267   -926.2049361958346   0.00019855884686270251  -926.415987853
2am1dma1sa  -948.2681046430097   -948.2094469135588   0.0001967389885992983   -948.438796904
2dma1sa     -970.2753841522132   -970.2156544272029   0.0002003344793234639   -970.46384759
3am1dma1sa  -1004.7961030633123  -1004.7292232431596  0.00022431601594083677  -1005.00068698
1am2dma1sa  -1026.8106688753414  -1026.7467099625999  0.0002145192444792063   -1027.03657049
2am2dma1sa  -1083.3336910823684  -1083.261717483695   0.0002414006328132256   -1083.59249821
3dma1sa     -1105.3497258642249  -1105.2784542215313  0.0002390462609206237   -1105.62734682
1am3dma1sa  -1161.8705427250945  -1161.7924441959462  0.0002619437502875861   -1162.18279734
4dma1sa     -1240.418820123577   -1240.3383355264605  0.00026994666146775396  -1240.78831598
2sa         -1400.2386367689576  -1400.1893210557182  0.00016540571269273662  -1400.28202936
1am2sa      -1456.7957618725327  -1456.7422768160418  0.00017938975848060204  -1456.87752205
2am2sa      -1513.3410701868145  -1513.2813813615815  0.00020019730079845163  -1513.45956898
1dma2sa     -1535.3469331252422  -1535.2868395368864  0.00020155488296451292  -1535.48294397
3am2sa      -1569.8827509718687  -1569.8178387477128  0.00021771666663057262  -1570.03726208
1am1dma2sa  -1591.8912263626835  -1591.8257976632121  0.00021944893332636817  -1592.0643921
