#CLUSTER   ddG_298.15K_[kcal/mol]  ddH_298.15K_[kcal/mol]  ddS_298.15K_[cal/mol/K]  ddE_[kcal/mol]
1am1p      17.838936548883794      17.57776027743239       -0.875989506849038       17.92262767268403
4dma       8.484525115403812       -22.25266091042431      -103.09302708673906      -26.54132433765335
3dma       7.591100573685253       -13.065189970482606     -69.28153796478047       -16.04457149672089
4am        7.585685717465822       -17.030750943813473     -82.56393312523458       -21.99882961867843
2dma       5.037822073587449       -4.358216295979219      -31.51446711254367       -5.745532928529428
3am        4.733151240856387       -10.712238325038925     -51.80409044407132       -14.006042284352588
2am        2.952506304194685       -2.751407581206877      -19.13102091365164       -4.294750134082278
1b2dma     2.0738910948857665      -20.478537948220037     -75.64121765238832       -23.55761346052168
1b1dma     0.3239599004155025      -11.65588037946145      -40.18058118362305       -13.293861896032467
2gd        -2.9048305422184058     -13.931926035438664     -36.9850595112576        -15.076331857737387
3gd        -5.519985806953628      -28.930206338816788     -78.51826440350025       -31.79375411377987
2sa        -6.117612145608291      -17.60175051447004      -38.51798882680724       -18.828433335991576
1dma1p1sa  -8.116679887170903      -17.657009980466682     -31.998423925364577      -18.850489438977093
1am1sa     -8.585074932547286      -17.535358757188078     -30.019399042875946      -18.910470442671794
1b1gd      -9.394097308148048      -20.294423755418393     -36.559874047487895      -21.65999544330407
3sa        -11.070337656419724     -36.07597544277087      -83.86932009465986       -38.40216830000281
1dma1sa    -13.581995310611092     -23.999010582396295     -34.9388404216687        -26.652913196128793
2am1sa     -14.230944625509437     -32.59874144842615      -61.60589241291096       -35.683181235042866
1dma1p2sa  -14.46015592792537      -36.16902490204666      -72.81190331743151       -38.55320701736491
4sa        -15.526187601033598     -51.6153751979582       -121.04372831405766      -55.378580496879295
4gd        -15.862582897301763     -52.26308030489599      -122.08786653575746      -56.30375962500693
3am1sa     -16.485631305666175     -45.38297219702508      -96.922156268133         -51.18563958705636
2dma1p     -16.78282653237693      -26.59084441466257      -32.89625316891164       -27.047615720686736
2dma1sa    -16.893673064478207     -39.249044010881335     -74.98028155726234       -43.184009731339756
1b2gd      -17.82333025589469      -42.998374077287735     -84.4375107210226        -46.589332971780095
4am1sa     -18.90434556826949      -57.81019897048827      -130.49087171616424      -65.24856777937384
3dma1sa    -21.497773860115558     -55.918797974300105     -115.44868057750647      -61.375853823905345
4dma1sa    -22.99063428567024      -70.11004905618029      -158.03929153292165      -77.19530987431062
1am2sa     -23.206272976007313     -45.78440210002009      -75.72741614644826       -49.5723478224827
1gd1sa     -23.473023061815184     -33.59224795846967      -33.94004660982041       -34.60306308208965
5dma1p     -24.715026178746484     -68.59872184047708      -147.18663646390308      -73.6531081496505
3dma1p     -24.95221395723638      -45.49261959429714      -68.89285808175396       -47.87214488469181
4dma1p     -25.75392598437611      -57.39889828421292      -106.13775716879634      -60.90417048637755
5am1p      -27.635716871154727     -59.933986912306864     -108.32892852982313      -66.01743766723666
1am3sa     -31.124985076487064     -66.09676525671966      -117.29592547408612      -70.69326673378237
1dma2sa    -32.02590304904152      -56.05695750808809      -80.6005515979916        -60.49854062462691
2am2sa     -32.88262507121544      -65.27537309005857      -108.64580921933916      -71.87900757195894
2gd1sa     -33.20662998169428      -56.018786878848914     -76.51234914347968       -59.26799971162109
1b1sa      -33.375967288797256     -47.24782359530218      -46.52643403159284       -48.20164796488825
1am4sa     -37.62800272391178      -86.75699728587642      -164.77945517982238      -91.80375654459931
4am1p1sa   -38.34250321495347      -75.48860198754119      -124.58862576756945      -81.59636817825958
2dma1p1sa  -39.44807412836235      -60.65478798659751      -71.12766680597306       -64.98157077480573
3am2sa     -39.802381131914444     -83.06470776791684      -145.10255453939723      -91.45459228940308
1b1dma1sa  -41.51632732513826      -67.08493825333426      -85.75754126472556       -71.22337009839248
1gd2sa     -41.55654107197188      -66.545742751332        -83.81419312214926       -69.97236568515655
1dma3sa    -43.06249656318687      -80.44339180993848      -125.37613699970132      -86.38861411134712
1b2dma1sa  -43.29593377717538      -80.98743142990861      -126.41790257465803      -86.200390821381
3gd1sa     -43.46470803278498      -79.26001644635107      -120.05805270359598      -84.43934443965554
4am2sa     -43.9074741123477       -97.08479878713842      -178.35762091089438      -107.11318405531347
5am1p1sa   -45.79119330353569      -93.03235768637387      -158.44764173289215      -100.6953091470059
2am3sa     -47.030175163876265     -92.95524334791116      -154.03343345260606      -100.9712414178066
1dma4sa    -47.672903769649565     -98.58928560046479      -170.7743814544461       -106.4810932551045
1b2sa      -49.0189947996987       -75.26270733808633      -88.02184315992052       -78.13018015876878
2dma2sa    -49.45083044702187      -85.71097807877231      -121.61713108063344      -93.3931376838591
1b1gd1sa   -50.077149995660875     -72.12794191105058      -73.95871848164401       -75.17074486275669
4gd1sa     -51.84803625440691      -100.67029625200666     -163.75066241013752      -107.4239855382475
1gd3sa     -53.17312722071074      -90.87530166655779      -126.45371271485695      -95.92992084450088
2dma1p2sa  -53.60129180934746      -87.79737704410218      -114.69423187897671      -93.05121380917262
3dma1p1sa  -53.91983958368655      -88.22926842438756      -115.07438819665717      -95.01563956076279
3dma2sa    -57.315740513964556     -106.43222393724136     -164.73749261505614      -115.43172576720826
2am4sa     -57.44806812214665      -118.02702401182614     -203.1828136493979       -128.10874066804536
4dma2sa    -60.340290261781774     -121.99517652136274     -206.79150179263502      -132.3585614619078
1gd4sa     -61.10588283580728      -111.90946007915772     -170.39603301518477      -118.69696837523952
1b3sa      -61.7659143996425       -101.09511934011243     -131.91079973283627      -104.80033399979584
4dma1p1sa  -61.858579306514        -108.05365844111657     -154.93905461883938      -115.8993585727876
1b2gd1sa   -62.27204138977686      -100.40106359130004     -127.88536710235869      -105.02285409386968
3am3sa     -62.32676798896864      -118.24005174357444     -187.53407262943722      -128.9819787372835
1b1dma2sa  -63.75718714937102      -102.50639271002728     -129.96547228019006      -107.91281414031982
2dma3sa    -64.21076682768762      -113.93339248234406     -166.77050362065117      -123.4492914378643
1b4sa      -65.65561902709305      -118.14816419105045     -176.0608591772442       -123.36902878410183
