#CLUSTER   ddG_298.15K_[kcal/mol]  ddH_298.15K_[kcal/mol]  ddS_298.15K_[cal/mol/K]  ddE_[kcal/mol]
1am1p      19.159600920567755      18.898424649087247      -0.875989506849038       19.24329204436799
4am        12.992432059167186      -11.624004602112109     -82.56393312523458       -16.592083277006168
4dma       11.231757681292947      -19.505428344535176     -103.09302708673906      -23.79409177188063
3dma       9.142342185834423       -11.513948358304333     -69.28153796478047       -14.493329884571722
3am        8.02662454948586        -7.418765016409452      -51.80409044407132       -10.712568975737668
2dma       5.741408985923044       -3.654629383701831      -31.51446711254367       -5.041946016252041
2am        4.0527400007267715      -1.6511738846602384     -19.13102091365164       -3.1945164375501918
1b2dma     1.3034243372094352      -21.249004705634434     -75.64121765238832       -24.32808021796518
1b1dma     0.4102645345410565      -11.569575745263137     -40.18058118362305       -13.207557261906913
2gd        -1.3953548319404945     -12.422450325189857     -36.9850595112576        -13.566856147459475
3gd        -1.4852950249332935     -24.895515556796454     -78.51826440350025       -27.75906333164312
1am1sa     -6.126330668805167      -15.076614493445959     -30.019399042875946      -16.451726178929675
2sa        -6.285036257584579      -17.76917462644633      -38.51798882680724       -18.99585744785145
4gd        -8.533232327143196      -44.93372973462101      -122.08786653575746      -48.97440905479016
1dma1p1sa  -8.628574845031835      -18.168904938269407     -31.998423925364577      -19.362384396779817
1b1gd      -9.296975516263046      -20.19730196353339      -36.559874047487895      -21.562873651419068
3sa        -11.713016990339383     -36.71865477692336      -83.86932009465986       -39.0448476341553
2dma1sa    -14.1907689855434       -36.546139931771904     -74.98028155726234       -40.48110565234674
2dma1p     -14.642829696516856     -24.450847578787943     -32.89625316891164       -24.907618884768453
1dma1p2sa  -15.46526653226465      -37.17413550626952      -72.81190331743151       -39.558317621354945
1b2gd      -16.17733609318384      -41.352379914111225     -84.4375107210226        -44.943338808836415
4sa        -16.5451176550705       -52.63430525222793      -121.04372831405766      -56.397510550450534
4am1p      -16.56099139720027      -39.7932278913504       -77.9213030156399        -40.80844849521236
4dma1sa    -17.346868320426438     -64.46628309111111      -158.03929153292165      -71.55154390912503
3dma1sa    -17.41626555559924      -51.83728966972558      -115.44868057750647      -57.29434551933082
5am1p      -18.04225890089583      -50.34052894206252      -108.32892852982313      -56.42397969697777
5dma1p     -18.790312468161574     -62.674008129833965     -147.18663646390308      -67.7283944390656
1gd1sa     -19.272093708859757     -29.39131860563066      -33.94004660982041       -30.40213372913422
4dma1p     -21.163339304941474     -52.80831160469097      -106.13775716879634      -56.313583806942916
3dma1p     -21.58652377506951      -42.12692941201385      -68.89285808175396       -44.50645470249583
2gd1sa     -26.70441339898389      -49.516570296138525     -76.51234914347968       -52.76578312902711
2am2sa     -27.431073561660014     -59.823821580503136     -108.64580921933916      -66.42745606228709
4am1p1sa   -28.518485925276764     -65.66458469792269      -124.58862576756945      -71.77235088840825
1b1sa      -33.55759885755833      -47.429455164063256     -46.52643403159284       -48.38327953359112
5am1p1sa   -34.06963932723738      -81.31080370990094      -158.44764173289215      -88.97375517064938
3gd1sa     -35.63008302805247      -71.42539144138573      -120.05805270359598      -76.6047194346902
1gd2sa     -37.20189459831454      -62.19109627767466      -83.81419312214926       -65.61771921138279
2dma1p1sa  -37.57382763456553      -58.780541492742486     -71.12766680597306       -63.107324280717876
1b1dma1sa  -40.509447909658775     -66.07805883779656      -85.75754126472556       -70.21649068285478
1b2dma1sa  -41.43492030224297      -79.12641795503441      -126.41790257465803      -84.33937734650681
1dma3sa    -41.58679978479631      -78.96769503154792      -125.37613699970132      -84.9129173324909
4gd1sa     -42.14245338080218      -90.96471337816911      -163.75066241013752      -97.71840266446816
2dma2sa    -46.23269710782915      -82.4928447395796       -121.61713108063344      -90.17500434466638
1b1gd1sa   -46.74222675152123      -68.7930186665617       -73.95871848164401       -71.8358216182678
1gd3sa     -48.51048462605104      -86.21265907189809      -126.45371271485695      -91.26727824960835
1b2sa      -49.217762915068306     -75.46147545380518      -88.02184315992052       -78.32894827437121
3dma1p1sa  -51.22843754698988      -85.53786638763268      -115.07438819665717      -92.32423752400791
2dma1p2sa  -52.17204662086442      -86.36813185596839      -114.69423187897671      -91.621968620806
3dma2sa    -53.01656088163145      -102.13304430502467     -164.73749261505614      -111.13254613475874
3am3sa     -53.07760768639855      -108.99089144053869     -187.53407262943722      -119.73281843448058
1b2gd1sa   -56.42017885099631      -94.54920105240308      -127.88536710235869      -99.17099155520555
1gd4sa     -56.706205499358475     -107.50978274201043     -170.39603301518477      -114.29729103832506
4dma1p1sa  -57.36857215699274      -103.56365129176993     -154.93905461883938      -111.40935142332455
5am1p2sa   -60.551048062276095     -121.6820827331394      -205.03449495579537      -130.7995097838575
2dma3sa    -61.251370701007545     -110.97399635589682     -166.77050362065117      -120.48989531118423
1b3sa      -62.142777357948944     -101.47198229865171     -131.91079973283627      -105.17719695833512
5dma1p1sa  -62.71793577959761      -120.99318982393015     -195.4561598009573       -129.8579987490666
1b1dma2sa  -62.83360875758808      -101.58281431812793     -129.96547228019006      -106.9892357486533
3am1b2sa   -63.84371116349939      -122.13975847326219     -195.52590075518714      -131.98409778659698
