#CLUSTER   dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]       dE_[Eh]
2am        -112.92092283436583  -112.88631633122682  0.00011607078027504852  -112.965686339148
3am        -169.3782806575446   -169.33735016307517  0.00013728155113012494  -169.457964992408
4am        -225.83405773455812  -225.78589420356624  0.00016154127449898443  -225.947632441838
4am1p      -226.2332380879321   -226.1832006644556   0.00016782634068952107  -226.354567175363
2dma       -269.7312593597212   -269.68468878641306  0.00015619846824841853  -269.883445250223
2dma1p     -270.11582753630256  -270.07024549456156  0.0001528829171256313   -270.283446642633
5am1p      -282.69928933895494  -282.6418515274878   0.00019264736363301213  -282.859750115397
3dma       -404.59604405763446  -404.5366458894915   0.00019922243214130623  -404.836212301991
3dma1p     -404.99709761719953  -404.93784676644657  0.000198728327193907    -405.252384855255
2gd        -410.0437855599053   -409.99769410624486  0.00015459149307554172  -410.163913991814
2gd1p      -410.44342874824196  -410.3946438661207   0.00016362529639864096  -410.573766068159
4dma       -539.4629188136103   -539.388813606721    0.0002485500818018767   -539.788739319877
4dma1p     -539.8666277087281   -539.7943011599253   0.00024258443334777897  -540.20890606475
3gd        -615.0647098389536   -615.0065201396574   0.00019516920776866187  -615.257677750574
3gd1p      -615.4811374161964   -615.4188657590319   0.00020886016154399896  -615.682530038044
5dma1p     -674.7330504965996   -674.6494556621406   0.0002803784486302697   -675.164802068513
1am1sa     -755.9246139906412   -755.8832202594211   0.00013883525480487118  -755.969243637389
4gd        -820.0967225065981   -820.0274021296889   0.0002325016834111089   -820.362633708477
4gd1p      -820.5127585317306   -820.4366740165068   0.0002551887144853792   -820.785236982667
1b1dma     -833.8251273073225   -833.7790879836035   0.0001544166483955617   -833.91287360688
1dma1p1sa  -834.6871989102842   -834.6381535281178   0.0001644990178311831   -834.799632622445
1b1gd      -903.9911734015068   -903.9423536641702   0.00016374220136429536  -904.059630434658
1gd1sa     -904.50265358576     -904.4531386659793   0.000166073854706517    -904.58232430961
1gd1p1sa   -904.8587722730472   -904.8087782453078   0.00016768079067343224  -904.951496442103
4am1p1sa   -925.7034540489103   -925.6417811227259   0.0002068520079970475   -925.866639925913
1b2dma     -968.6939084377583   -968.6339456464972   0.00020111618735896148  -968.868300628541
2dma1sa    -969.2141839188151   -969.1544566872002   0.0002003261164344601   -969.402649850729
2dma1p1sa  -969.6035310685114   -969.5423053100739   0.00020535220002522366  -969.807050498218
5am1p1sa   -982.1759911428666   -982.1085577125856   0.00022617283340978657  -982.374350141642
5gd1p      -1025.5350293998465  -1025.4496899498124  0.000286229917941337    -1025.882328773863
3dma1sa    -1104.0895286136845  -1104.0182572886577  0.00023904519546144704  -1104.36714888784
3dma1p1sa  -1104.4954957848665  -1104.4243786132668  0.00023852816233334233  -1104.791316250988
1b2gd      -1109.0229190158857  -1108.9650155082786  0.00019420931613790588  -1109.168036765602
2gd1sa     -1109.5352788120504  -1109.4741593605472  0.0002049956448201266   -1109.689110224783
2gd1p1sa   -1109.9398775849925  -1109.8744365640412  0.000219490259773752    -1110.101828525595
4dma1sa    -1238.959622506876   -1238.877815430212   0.0002743822796052684   -1239.327574571553
