1w        1w                     nan
1am       1am                    nan
1sa       1sa                    nan
1am1sa    1sa1am-110_1_103       nan
1am1sa    1sa1am-110_7_227       nan
1am1sa    1sa1am-110_9_283       nan
1am1sa1w  1sa1am1w-111_11_281    nan
1am1sa1w  1sa1am1w-111_15_246    nan
1am1sa1w  1sa1am1w-111_4_111     nan
2am2sa    2sa2am-220_13_165      nan
2am2sa    2sa2am-220_1_0         nan
1am1sa2w  1sa1am2w-112_7_123     nan
1am1sa2w  1sa1am2w-112_7_295     nan
1am1sa2w  1sa1am2w-112_8_251     nan
2am2sa1w  2sa2am1w-221_11_282    nan
2am2sa1w  2sa2am1w-221_26_252    nan
2am2sa1w  2sa2am1w-221_27_233    nan
1am1sa3w  1sa1am3w-113_7_239     nan
1am1sa3w  1sa1am3w-113_7_271     nan
1am1sa3w  1sa1am3w-113_8_241     nan
3am3sa    3sa3am-330_19_110      nan
3am3sa    3sa3am-330_19_221      nan
2am2sa2w  2sa2am2w-222_10_36     nan
1am1sa4w  1sa1am4w-114_8_2       nan
2am2sa2w  2sa2am2w-222_19_12     nan
2am2sa2w  2sa2am2w-222_10_210    nan
1am1sa4w  1sa1am4w-114_7_110     nan
2am2sa3w  2sa2am3w-223_17_193    nan
2am2sa3w  2sa2am3w-223_26_289    nan
1am1sa5w  1sa1am5w-115_7_162     nan
1am1sa5w  1sa1am5w-115_7_175     nan
3am3sa1w  3sa3am1w-331_39_10     nan
3am3sa1w  3sa3am1w-331_1_179     nan
3am3sa1w  3sa3am1w-331_4_169     nan
4am4sa    4sa4am-440_3_103       nan
4am4sa    4sa4am-440_10_165      nan
4am4sa    4sa4am-440_1_278       nan
3am3sa2w  3sa3am2w-332_61_153    nan
1am1sa6w  1sa1am6w-116_7_272     nan
1am1sa6w  1sa1am6w-116_1_293     nan
2am2sa4w  2sa2am4w-224_19_163    nan
2am2sa4w  2sa2am4w-224_19_133    nan
2am2sa4w  2sa2am4w-224_37_94     nan
1am1sa6w  1sa1am6w-116_16_50     nan
3am3sa2w  3sa3am2w-332_29_292    nan
3am3sa2w  3sa3am2w-332_15_56     nan
1am1sa7w  1sa1am7w-117_8_122     nan
3am3sa3w  3sa3am3w-333_11_171    nan
3am3sa3w  3sa3am3w-333_20_160    nan
3am3sa3w  3sa3am3w-333_81_172    nan
4am4sa1w  4sa4am1w-441_4_208     nan
4am4sa1w  4sa4am1w-441_1_61      nan
4am4sa1w  4sa4am1w-441_27_44     nan
2am2sa5w  2sa2am5w-225_21_215    nan
2am2sa5w  2sa2am5w-225_19_76     nan
1am1sa7w  1sa1am7w-117_1_93      nan
5am5sa    5sa5am-550_4_245       nan
5am5sa    5sa5am-550_70_290      nan
4am4sa2w  4sa4am2w-442_22_203    nan
1am1sa8w  1sa1am8w-118_16_150    nan
3am3sa4w  3sa3am4w-334_29_248    nan
3am3sa4w  3sa3am4w-334_105_78    nan
2am2sa6w  2sa2am6w-226_3_276     nan
3am3sa4w  3sa3am4w-334_91_248    nan
4am4sa2w  4sa4am2w-442_100_131   nan
4am4sa2w  4sa4am2w-442_102_162   nan
1am1sa8w  1sa1am8w-118_8_77      nan
2am2sa6w  2sa2am6w-226_21_277    nan
2am2sa6w  2sa2am6w-226_20_297    nan
1am1sa8w  1sa1am8w-118_7_194     nan
4am4sa3w  4sa4am3w-443_72_139    nan
4am4sa3w  4sa4am3w-443_21_287    nan
5am5sa1w  5sa5am1w-551_13_144    nan
5am5sa1w  5sa5am1w-551_13_43     nan
2am2sa7w  2sa2am7w-227_21_166    nan
2am2sa7w  2sa2am7w-227_32_51     nan
3am3sa5w  3sa3am5w-335_110_123   nan
5am5sa1w  5sa5am1w-551_28_118    nan
1am1sa9w  1sa1am9w-119_7_117     nan
3am3sa5w  3sa3am5w-335_46_187    nan
3am3sa5w  3sa3am5w-335_58_56     nan
1am1sa9w  1sa1am9w-119_17_155    nan
1am1sa9w  1sa1am9w-119_9_90      nan
6am6sa    6sa6am-660_10_233      nan
6am6sa    6sa6am-660_10_154      nan
6am6sa    6sa6am-660_91_247      nan
5am5sa2w  5sa5am2w-552_28_129    nan
3am3sa6w  3sa3am6w-336_113_251   nan
2am2sa8w  2sa2am8w-228_66_49     nan
2am2sa8w  2sa2am8w-228_55_172    nan
4am4sa4w  4sa4am4w-444_95_101    nan
3am3sa6w  3sa3am6w-336_100_148   nan
5am5sa2w  5sa5am2w-552_244_296   nan
2am2sa8w  2sa2am8w-228_19_296    nan
4am4sa4w  4sa4am4w-444_169_9     nan
1am1sa10w 1sa1am10w-1110_3_264   nan
1am1sa10w 1sa1am10w-1110_16_245  nan
1am1sa10w 1sa1am10w-1110_11_228  nan
4am4sa5w  4sa4am5w-445_43_283    nan
2am2sa9w  2sa2am9w-229_1_202     nan
2am2sa9w  2sa2am9w-229_19_287    nan
4am4sa5w  4sa4am5w-445_28_94     nan
5am5sa3w  5sa5am3w-553_82_14     nan
3am3sa7w  3sa3am7w-337_102_299   nan
3am3sa7w  3sa3am7w-337_80_179    nan
3am3sa7w  3sa3am7w-337_39_141    nan
2am2sa9w  2sa2am9w-229_29_184    nan
6am6sa1w  6sa6am1w-661_30_250    nan
6am6sa1w  6sa6am1w-661_193_188   nan
6am6sa1w  6sa6am1w-661_121_213   nan
3am3sa8w  3sa3am8w-338_37_198    nan
3am3sa8w  3sa3am8w-338_102_219   nan
5am5sa4w  5sa5am4w-554_4_276     nan
5am5sa4w  5sa5am4w-554_115_208   nan
5am5sa4w  5sa5am4w-554_21_55     nan
4am4sa6w  4sa4am6w-446_99_286    nan
4am4sa6w  4sa4am6w-446_195_284   nan
4am4sa6w  4sa4am6w-446_53_112    nan
6am6sa2w  6sa6am2w-662_50_270    nan
6am6sa2w  6sa6am2w-662_157_114   nan
6am6sa2w  6sa6am2w-662_10_210    nan
2am2sa10w 2sa2am10w-2210_3_293   nan
2am2sa10w 2sa2am10w-2210_21_243  nan
2am2sa10w 2sa2am10w-2210_21_55   nan
3am3sa9w  3sa3am9w-339_38_240    nan
4am4sa7w  4sa4am7w-447_243_140   nan
5am5sa5w  5sa5am5w-555_47_82     nan
5am5sa5w  5sa5am5w-555_88_44     nan
6am6sa3w  6sa6am3w-663_12_189    nan
3am3sa9w  3sa3am9w-339_101_225   nan
4am4sa7w  4sa4am7w-447_58_262    nan
5am5sa5w  5sa5am5w-555_148_273   nan
6am6sa3w  6sa6am3w-663_125_161   nan
6am6sa3w  6sa6am3w-663_203_125   nan
4am4sa8w  4sa4am8w-448_91_241    nan
5am5sa6w  5sa5am6w-556_373_189   nan
5am5sa6w  5sa5am6w-556_124_163   nan
5am5sa6w  5sa5am6w-556_24_131    nan
6am6sa4w  6sa6am4w-664_409_34    nan
6am6sa4w  6sa6am4w-664_314_190   nan
4am4sa8w  4sa4am8w-448_91_155    nan
4am4sa8w  4sa4am8w-448_29_169    nan
6am6sa4w  6sa6am4w-664_364_248   nan
3am3sa10w 3sa3am10w-3310_14_287  nan
3am3sa10w 3sa3am10w-3310_113_296 nan
5am5sa7w  5sa5am7w-557_176_129   nan
5am5sa7w  5sa5am7w-557_490_227   nan
6am6sa5w  6sa6am5w-665_380_156   nan
6am6sa5w  6sa6am5w-665_805_258   nan
5am5sa7w  5sa5am7w-557_33_233    nan
4am4sa9w  4sa4am9w-449_203_195   nan
4am4sa9w  4sa4am9w-449_133_95    nan
4am4sa9w  4sa4am9w-449_118_56    nan
6am6sa6w  6sa6am6w-666_720_231   nan
6am6sa6w  6sa6am6w-666_892_176   nan
5am5sa8w  5sa5am8w-558_676_87    nan
5am5sa8w  5sa5am8w-558_245_227   nan
6am6sa6w  6sa6am6w-666_721_293   nan
5am5sa8w  5sa5am8w-558_65_118    nan
4am4sa10w 4sa4am10w-4410_77_298  nan
4am4sa10w 4sa4am10w-4410_294_116 nan
4am4sa10w 4sa4am10w-4410_108_257 nan
5am5sa9w  5sa5am9w-559_309_150   nan
5am5sa9w  5sa5am9w-559_160_223   nan
6am6sa7w  6sa6am7w-667_620_36    nan
6am6sa7w  6sa6am7w-667_855_248   nan
6am6sa8w  6sa6am8w-668_780_182   nan
6am6sa8w  6sa6am8w-668_801_110   nan
6am6sa8w  6sa6am8w-668_810_189   nan
6am6sa9w  6sa6am9w-669_804_219   nan
6am6sa9w  6sa6am9w-669_855_208   nan
6am6sa10w 6sa6am10w-6610_118_154 nan
6am6sa10w 6sa6am10w-6610_4_296   nan
6am6sa10w 6sa6am10w-6610_123_37  nan
