#CLUSTER  dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]       dE_[Eh]
2am       -113.05517936378172  -113.02048240162597  0.00011637418130386775  -113.099287696
3am       -169.58201420114332  -169.54117155489251  0.00013698690676109377  -169.661818744
4am       -226.1071304882693   -226.0594015947195   0.00016008349337512105  -226.22105029
2dma      -270.12570662162767  -270.07986162691265  0.00015376486572201033  -270.278625779
3dma      -405.18892853132695  -405.12952864856055  0.00019922818301659013  -405.429094058
4dma      -540.2524870158206   -540.1802543023323   0.00024226970816137194  -540.580329419
1am1sa    -756.6580302900727   -756.6166303128488   0.00013885620400458306  -756.702646755
2am1sa    -813.1969100173787   -813.1486739909018   0.00016178442554729542  -813.275874642
1dma1sa   -835.2031624499      -835.1551161166653   0.0001611481912950232   -835.302995038
3am1sa    -869.7303740824273   -869.6770895616509   0.00017871715839809114  -869.847078288
4am1sa    -926.2629036043255   -926.204056715876    0.00019737343098915716  -926.415086696
2dma1sa   -970.2753224917087   -970.2156444709495   0.00020016106241567178  -970.463847584
3dma1sa   -1105.3489713861807  -1105.279097607993   0.00023435780039438508  -1105.62821238
4dma1sa   -1240.4188230673126  -1240.3383335259025  0.0002699632447095488   -1240.78831584
2sa       -1400.2386286708781  -1400.1893210543947  0.00016537855604019204  -1400.28202893
1am2sa    -1456.7949961706065  -1456.7413202911098  0.00018002978197770834  -1456.87643156
2am2sa    -1513.3421035848492  -1513.282709459613   0.00019920887216544737  -1513.46039864
1dma2sa   -1535.3469543564115  -1535.2868554652277  0.00020157266873626202  -1535.48294405
3am2sa    -1569.8819572983662  -1569.817767194721   0.00021529466256978668  -1570.03726378
4am2sa    -1626.418488546402   -1626.3481760859393  0.00023582914795486432  -1626.60871573
2dma2sa   -1670.43802415913    -1670.3636952185934  0.0002493004881321248   -1670.66298496
3dma2sa   -1805.5167803524432  -1805.4358075076952  0.0002715842520476431   -1805.83721195
4dma2sa   -1940.5930648757833  -1940.5006196209663  0.00031006290396452883  -1941.00098663
3sa       -2100.3593012282263  -2100.297166401912   0.0002084012286239758   -2100.43724853
1am3sa    -2156.9223779435556  -2156.855185786728   0.00022536359828209546  -2157.03714657
2am3sa    -2213.477960817812   -2213.406109892703   0.00024098918366128704  -2213.63194318
1dma3sa   -2235.478929895203   -2235.406322560151   0.00024352619504291196  -2235.65021464
3am3sa    -2270.030825419646   -2269.9541958747213  0.00025701675306017877  -2270.22315181
4am3sa    -2326.57298475294    -2326.490590551775   0.0002763515048313041   -2326.80019636
2dma3sa   -2370.5714195082     -2370.489881851067   0.00027347864207005106  -2370.83779778
3dma3sa   -2505.6724543649084  -2505.578471686999   0.0003152194462840387   -2506.02903716
4dma3sa   -2640.7618611037874  -2640.6578543731957  0.0003488402837211679   -2641.21007372
4sa       -2800.48224693033    -2800.404784418412   0.00025981053804491057  -2800.59230011
1am4sa    -2857.0476076542864  -2856.9688291359957  0.00026422444504614867  -2857.19684673
2am4sa    -2913.6076851936787  -2913.523679812673   0.00028175542849465373  -2913.7968931
1dma4sa   -2935.6006780041807  -2935.5158645402576  0.0002844657518806746   -2935.80824664
3am4sa    -2970.1651001733017  -2970.077819325679   0.00029274139736006695  -2970.39334124
4am4sa    -3026.7175474448145  -3026.623145980051   0.0003166240642751805   -3026.98106004
2dma4sa   -3070.708913484918   -3070.6148498742864  0.00031549089596368966  -3071.00842504
3dma4sa   -3205.808513134429   -3205.7025145772477  0.00035552090283888873  -3206.19992938
4dma4sa   -3340.9032287123996  -3340.7858398902636  0.0003937240386926594   -3341.38818632
