#CLUSTER          ddG_298.15K_[kcal/mol]  ddH_298.15K_[kcal/mol]  ddS_298.15K_[cal/mol/K]  ddE_[kcal/mol]
1mf1ml            4.439447488955921       -4.467384322488215      -29.873660276489368      -6.016934251092607
1mf1pxml          3.734113969927421       -6.936929520583362      -35.79085524243304       -8.611588248269982
1acon1ml          3.6942605896038003      -5.848744346716558      -32.0073953926964        -7.392271481337957
1acal1ml          3.4202762033819454      -5.369922875586781      -29.48247217504578       -6.934638563456247
1acon1pxml        3.3284159586182795      -7.579664328979561      -36.58588055530373       -9.226165313928504
1acal1pxml        3.3269117922900477      -6.787968000775436      -33.9254730607817        -8.39741645428876
1acan1ml          3.236339707393199       -7.545819877152098      -36.16354044788965       -9.164792383031454
1etox1ml          3.1198483804328134      -5.474895615101559      -28.826912612826952      -7.077886203333037
1acan1pxml        2.9625719569448847      -8.46277993718104       -38.32081802470806       -9.948233643532149
1dme1pxml         2.902085808615084       -6.799728503145161      -32.54004464782522       -8.537572386892862
1etox1pxml        2.7569283397315303      -7.374375689876615      -33.98056021998704       -9.040596361781354
1dme1ml           2.2852749199810205      -5.303818136686459      -25.45394283637353       -6.97304739462561
1fa1mf            0.8377679125987925      -9.730403731635306      -35.44582137937191       -11.246322744555073
1acon1fa          0.7788750647741836      -9.861404598603258      -35.68767286051229       -11.325880084885284
1acal1fa          0.45244070277840365     -9.818512842612108      -34.448946991104094      -11.38377288414631
1acan1fa          0.281133844924625       -11.014276060261182     -37.88499045838344       -12.447068560140906
1dme1fa           0.1358337382407626      -10.003317528389744     -34.00687998195867       -11.650220698007615
1etox1fa          -0.25176599716360215    -10.511453738916316     -34.411161300652125      -12.099839775066357
1fa1ml            -0.5805538592103403     -10.712981098433374     -33.98432748351292       -12.430115311552072
1fa1pxml          -0.7689412021718454     -12.208302061102586     -38.36780432302625       -13.958266464920598
1fa2mf1sa         -0.7883795969537459     -35.97540696483338      -118.01786807939386      -40.13354132021777
1mf1sa            -2.0766693972982466     -12.910969574877527     -36.33842085381137       -14.360908157483209
1pxml1sa          -2.2360805573989637     -13.898582414840348     -39.11622289947145       -15.524683378753252
