#CLUSTER          dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]       dE_[Eh]
1etox1ml          -269.0473975162357   -269.0065747590339   0.00013692019856404982  -269.127045923533
1acal1ml          -269.0925229585998   -269.0496788445691   0.00014369986258815713  -269.168713770283
1dme1ml           -270.2615301478639   -270.21664993137523  0.0001505289836949074   -270.360598688754
1fa1ml            -305.0367730784926   -304.99771374753016  0.00013100563797592175  -305.094749103978
1acon1ml          -308.3192702564589   -308.27344107417963  0.00015371183055300347  -308.422169143316
1etox1fa          -343.0245262509787   -342.9852049890371   0.0001318841587843035   -343.088085523817
1acal1fa          -343.068832843919    -343.0271966978192   0.00013964831829571024  -343.128665135381
1etox1pxml        -344.08878979131134  -344.04678960613126  0.00014086931135408697  -344.171987472194
1acal1pxml        -344.13343710425755  -344.08907790757604  0.0001487814746991922   -344.212810057197
1mf1ml            -344.23156231541395  -344.18653332814495  0.0001510279633371252   -344.312947901201
1dme1fa           -344.2370839835795   -344.1951157965856   0.00014076198891134443  -344.321461619067
1dme1pxml         -345.3015462241247   -345.25640676048084  0.00015139850291440927  -345.405090800326
2fa               -379.01574782164704  -378.9772843089558   0.0001290072537018942   -379.056282789149
1fa1pxml          -380.07844730665454  -380.0378429292183   0.00013618774924115305  -380.139556645884
1acon1fa          -382.2956095232644   -382.2501864205385   0.0001523498330569572   -382.381174376475
1acon1pxml        -383.36055700751615  -383.31308792173513  0.00015921209384879854  -383.466559397479
1fa1mf            -418.2087733238329   -418.1652400885633   0.0001460111865488588   -418.274033711147
1mf1pxml          -419.27315454956766  -419.227310924052    0.00015376027340465172  -419.358550809699
1acan1ml          -496.63676906099965  -496.58554081141745  0.00017182039101898373  -496.751972123504
1acan1fa          -570.6141918600548   -570.5626297464984   0.00017294017627486497  -570.711197003155
1acan1pxml        -571.6789226572607   -571.6250932929215   0.00018054457266182588  -571.795937764034
1ml1sa            -814.9850512219629   -814.9403893099953   0.0001497967867432686   -815.044163267236
1etox1sa          -852.9742531910136   -852.9291606558821   0.00015124110391255633  -853.038780573705
1acal1sa          -853.0171036810685   -852.9702057271408   0.00015729650822663256  -853.078562240807
1dme1sa           -854.1865914326039   -854.1398114000491   0.00015690099800325083  -854.273110286713
1am1ml1sa         -871.4539409851182   -871.4038954040514   0.0001678537013808644   -871.549314249515
1fa1sa            -888.9618661941865   -888.9179685647373   0.0001472333706161312   -889.003758697329
1pxml1sa          -890.0247302010102   -889.9788511227264   0.00015387918257219358  -890.087378638229
1acon1sa          -892.245066057529    -892.1949733194059   0.00016801186692396187  -892.332699910717
1am1etox1sa       -909.4436039876246   -909.392568696122    0.00017117320644842728  -909.54340060739
1acal1am1sa       -909.4876384610033   -909.4335351974179   0.00018146323523540636  -909.582820438531
1am1dme1sa        -910.6568822919584   -910.6030672530397   0.00018049652496659771  -910.777340466975
1ma1ml1sa         -910.662573494776    -910.6091668948023   0.00017912661403225998  -910.785917622023
1mf1sa            -928.1569830109436   -928.1082435805304   0.00016347285062302843  -928.22394324535
1am1fa1sa         -945.4337544383053   -945.383328673358    0.0001691288443643749   -945.510881917019
1am1pxml1sa       -946.4966763102518   -946.4443799704759   0.00017540278308160153  -946.593656091431
1etox1ma1sa       -948.6476717392638   -948.5926998118266   0.00018437674807065014  -948.775487911412
1acal1ma1sa       -948.6922830367951   -948.6360778042128   0.00018851327379624464  -948.817549320149
1acon1am1sa       -948.71540065777     -948.6564535642458   0.00019770952045690117  -948.834919501726
1dme1ma1sa        -949.860556891604    -949.802300957486    0.00019539136044906044  -950.008324968667
1dma1ml1sa        -949.8737020632021   -949.8170539263675   0.0001899987819373246   -950.023813870226
1am1mf1sa         -984.6267834532265   -984.5715000338256   0.00018542149723603236  -984.728203054795
1fa1ma1sa         -984.6423483450119   -984.5887044207352   0.00017992260364472454  -984.74747750321
1ma1pxml1sa       -985.7040106847006   -985.6491465034568   0.0001840153655675074   -985.830767865576
1dma1etox1sa      -987.8601588199364   -987.8021040362934   0.00019471669844987885  -988.014609504259
1acal1dma1sa      -987.9040867064439   -987.8448384955052   0.00019871947321421413  -988.055935671259
1acon1ma1sa       -987.9224841511998   -987.8635087412745   0.00019780449413109443  -988.074058283824
1dma1dme1sa       -989.0704792264008   -989.0105892632797   0.00020087192058113152  -989.246468803287
1ml1sa1tma        -989.0810547322378   -989.0211891957044   0.00020078999340413978  -989.257473527971
1ma1mf1sa         -1023.8322761892566  -1023.7744496303933  0.0001939512287879452   -1023.963375815681
1dma1fa1sa        -1023.8545097404551  -1023.797277347476   0.0001919583866477302   -1023.985843925959
1dma1pxml1sa      -1024.9159354750143  -1024.857488848422   0.00019603094614157023  -1025.069041233335
1etox1sa1tma      -1027.0667853502443  -1027.0080240215896  0.00019708646203072525  -1027.249529686555
1acal1sa1tma      -1027.1135922287808  -1027.0516855233695  0.00020763610736587626  -1027.292186057873
1acon1dma1sa      -1027.1335333230857  -1027.071558762202   0.00020786369573737597  -1027.312186786511
1dme1sa1tma       -1028.279456283342   -1028.2182114028733  0.00020541633563248484  -1028.482900536883
1am1fa1ml1sa      -1060.971366013969   -1060.9126475568353  0.00019694267024634787  -1061.099654422221
1dma1mf1sa        -1063.0431180604621  -1062.9815891451     0.00020636899333191503  -1063.200063109895
1fa1sa1tma        -1063.0610771339334  -1063.0030096328437  0.00019475935297527772  -1063.220596582299
1pxml1sa1tma      -1064.124616264735   -1064.063274522968   0.00020574121001894408  -1064.304310892839
1acon1sa1tma      -1066.3415602766904  -1066.2769806518459  0.0002166011230732833   -1066.547133716079
2fa1sa            -1078.4742659810443  -1078.4213496815057  0.00017748213831374725  -1078.547561999635
1acan1sa          -1080.5627148324654  -1080.5062793191494  0.00018928563916268892  -1080.661692795498
1am1etox1fa1sa    -1098.9573436176952  -1098.897098706057   0.00020206242374006322  -1099.08982076289
1acal1am1fa1sa    -1099.00214276705    -1098.9403794884456  0.00020715505149682738  -1099.131731643613
1am1dme1fa1sa     -1100.1699072260446  -1100.1069039617344  0.00021131398393517696  -1100.32281640294
1fa1ma1ml1sa      -1100.1788722581891  -1100.11633831466    0.00020973987432045164  -1100.334206668982
1mf1sa1tma        -1102.2511003435302  -1102.1868016873914  0.0002156587494164248   -1102.434410736935
1fa2ml1sa         -1120.0322449832024  -1119.9695913375072  0.00021014135735384086  -1120.17180134412
1am2fa1sa         -1134.9492457486176  -1134.8893781943925  0.00020079676077501392  -1135.058306130911
1am1fa1pxml1sa    -1136.0118208738536  -1135.9512889437242  0.0002030250884777118   -1136.143122216453
1acan1am1sa       -1137.0366201050379  -1136.9755833177196  0.00020471838778573947  -1137.173504101928
1etox1fa1ma1sa    -1138.1645056527293  -1138.1002668117014  0.00021545812855054168  -1138.323804222966
1acal1fa1ma1sa    -1138.2094710748652  -1138.14416697266    0.00021903103204855783  -1138.366451792301
1acon1am1fa1sa    -1138.2312267150398  -1138.1659916005126  0.00021879964624433245  -1138.386824939191
1dme1fa1ma1sa     -1139.3771072679842  -1139.3101846683917  0.0002244594988842359   -1139.557071659196
1dma1fa1ml1sa     -1139.3869899315646  -1139.321976349146   0.0002180566239083986   -1139.569207226023
1etox1fa1ml1sa    -1158.0179083041812  -1157.954427805415   0.00021291463614477913  -1158.162632035314
1acal1fa1ml1sa    -1158.0617818973274  -1157.9971329242212  0.00021683371828273376  -1158.203927271135
1dme1fa1ml1sa     -1159.2306228952782  -1159.1650820488537  0.00021982507605079534  -1159.39671086107
1am1fa1mf1sa      -1174.1414517417734  -1174.0773316052155  0.00021505999180984972  -1174.275982783005
2fa1ma1sa         -1174.156795196629   -1174.0931657000338  0.0002134143773103114   -1174.292994554814
1fa1ma1pxml1sa    -1175.2203029585542  -1175.1557194467202  0.00021661416009942976  -1175.37845925602
1acan1ma1sa       -1176.2452117123944  -1176.1809632513146  0.00021549039436375228  -1176.409691596251
1dma1etox1fa1sa   -1177.3743259650587  -1177.3083236968096  0.00022137269243297045  -1177.561463468835
1acal1dma1fa1sa   -1177.4182528218678  -1177.3496826714252  0.00022998541151288986  -1177.601664845315
1acon1fa1ma1sa    -1177.4386691894476  -1177.3700420590128  0.0002301765233428215   -1177.621670498679
1dma1dme1fa1sa    -1178.5870808990237  -1178.51905097128    0.0002281734957016266   -1178.795500908405
1fa1ml1sa1tma     -1178.5935701482179  -1178.5264990301928  0.0002249576321485844   -1178.803428860134
1fa1ml1pxml1sa    -1195.072062805665   -1195.007568766937   0.0002163140658322522   -1195.214515008012
2etox1fa1sa       -1195.9988529068587  -1195.9335791524095  0.00021892924517672593  -1196.147791984606
1acal1etox1fa1sa  -1196.04356300006    -1195.9773435695904  0.00022210105809043304  -1196.190631255181
2acal1fa1sa       -1196.0886024116019  -1196.0214189089486  0.00022533457203872427  -1196.232797198127
1dme1etox1fa1sa   -1197.2123285598454  -1197.1457420379456  0.000223332288781125    -1197.383645658657
1acal1dme1fa1sa   -1197.2563381901195  -1197.1870438101919  0.00023241448910789946  -1197.422963897154
1acon1fa1ml1sa    -1197.2902591724323  -1197.2227452817988  0.00022644269875579334  -1197.459095338206
2dme1fa1sa        -1198.4269956064709  -1198.3567811541625  0.00023550042699493155  -1198.61835383144
1fa1ma1mf1sa      -1213.3492573271765  -1213.281536142285   0.0002271379671038587   -1213.511063211762
1dma2fa1sa        -1213.367048514659   -1213.301616889008   0.00021945874778004634  -1213.530815301498
1dma1fa1pxml1sa   -1214.4303842942604  -1214.3620990211602  0.00022902992822429076  -1214.614389463823
1acan1dma1sa      -1215.457742475722   -1215.3902749375418  0.00022628723186298084  -1215.648983265894
1etox1fa1sa1tma   -1216.5802395679175  -1216.5123581913322  0.0002276752526744073   -1216.794780153627
1acal1fa1sa1tma   -1216.6257546038803  -1216.5559720605218  0.00023405179727843233  -1216.837215449536
