#CLUSTER     ddG_298.15K_[kcal/mol]  ddH_298.15K_[kcal/mol]  ddS_298.15K_[cal/mol/K]  ddE_[kcal/mol]
4dma         10.027892962854821      -21.955955862242263     -107.27435460364816      -26.632369375496637
4msa         -8.396793559426442      -49.70960359973833      -138.56384383854297      -53.70662887371145
1dma1msa1sa  -30.785719095671084     -55.99741495429771      -84.5604422560614        -60.388095076719765
1dma2msa1sa  -37.302671509969514     -76.25024097773712      -130.63078808629433      -82.64415875717532
1dma1msa2sa  -39.32683323556557      -77.5859543599654       -128.3217210287972       -83.46185540640727
1dma3msa1sa  -39.58242692420026      -92.11866698693484      -176.20741258737297      -99.61424384149723
1dma2msa2sa  -45.25567631365266      -97.74134853610303      -176.03780721932242      -104.8390446602134
2dma1msa1sa  -45.925003231095616     -83.54670888750115      -126.18381907250976      -91.29052196658449
1dma1msa3sa  -46.58377064485103      -98.67707697674632      -174.72180557423988      -105.30309944367036
3dma1msa1sa  -47.23797591897892      -96.62009263137588      -165.62843103305926      -105.90315295249457
2dma2msa1sa  -54.66319832665613      -105.36918813397642     -170.0687231510133       -114.19165245641489
2dma1msa2sa  -59.30352693493478      -109.02352547179908     -166.76169222502512      -117.87250096863136
2dma3msa1sa  -60.94130900449818      -126.227746182587       -218.97178325850948      -136.2342270661611
2dma2msa2sa  -66.89022284455132      -131.7457175255986      -217.52639503965136      -142.23693080421071
3dma2msa1sa  -71.06812521925895      -134.69188489636872     -213.39513559424284      -147.36174341256265
2dma1msa3sa  -72.49278039764613      -136.2725138736423      -213.91827427766265      -147.11082567018457
3dma1msa2sa  -78.5042978185229       -142.55553074833006     -214.82888790874108      -155.4030349717941
3dma3msa1sa  -80.55896223470336      -159.57399293244816     -265.017711547692        -173.88633350026794
3dma2msa2sa  -87.77514746214729      -166.0950514691649      -262.68624520177775      -180.47233265184332
4dma3msa1sa  -94.52413238579175      -184.06765541573986     -300.3304478621262       -201.73657952342182
3dma1msa3sa  -95.65467110602185      -172.56585149466991     -257.96136303498         -185.83752471697517
4dma2msa2sa  -104.8286894444609      -195.54504972405266     -304.26416327194374      -213.26531940547284
4dma1msa3sa  -110.08084628591314     -200.83775515016168     -304.4001638910552       -219.03580310824327
