#CLUSTER     ddG_298.15K_[kcal/mol]  ddH_298.15K_[kcal/mol]  ddS_298.15K_[cal/mol/K]  ddE_[kcal/mol]
4dma         14.430343373911455      -17.553505451243836     -107.27435460364816      -22.229918964381795
4msa         -6.82146613788791       -48.13427617843263      -138.56384383854297      -52.13130145263858
1dma1msa1sa  -27.901754027581774     -53.11344988626661      -84.5604422560614        -57.50413000874687
1dma2msa1sa  -34.04317554685986      -72.9907450149185       -130.63078808629433      -79.38466279429849
1dma1msa2sa  -35.28144146280829      -73.54056258767378      -128.3217210287972       -79.41646363353357
1dma3msa1sa  -36.41546722716885      -88.9517072897288       -176.20741258737297      -96.44728414423298
1dma2msa2sa  -41.08062160969712      -93.56629383203108      -176.03780721932242      -100.66398995555937
2dma1msa1sa  -41.30307534511667      -78.92478100158041      -126.18381907250976      -86.66859408083837
1dma1msa3sa  -42.358726943377405     -94.45203327503987      -174.72180557423988      -101.07805574173108
3dma1msa1sa  -43.24075383332092      -93.26340342842741      -167.77678884904594      -100.41397441306617
2dma2msa1sa  -50.163504058204126     -100.86949386511697     -170.0687231510133       -109.69195818749722
2dma1msa2sa  -54.04888566408772      -103.76888420118485     -166.76169222502512      -112.61785969766788
2dma3msa1sa  -55.90946000610711      -121.88318090391112     -221.27694415018348      -132.8364940729225
2dma2msa2sa  -61.59069038857706      -126.44618507020641     -217.52639503965136      -136.9373983484693
2dma1msa3sa  -65.45011530187912      -129.22984877810813     -213.91827427766265      -140.06816057488322
3dma2msa1sa  -66.02847208682215      -129.65223176422296     -213.39513559424284      -142.32209028012585
3dma1msa2sa  -71.71474051766563      -135.7659734474728      -214.82888790874108      -148.61347767082043
3dma3msa1sa  -74.6639572007698       -153.67898789833998     -265.017711547692        -167.9913284665672
3dma2msa2sa  -80.6574997366406       -158.97740374330897     -262.68624520177775      -173.35468492587097
3dma1msa3sa  -86.24232011078857      -163.15350050036795     -257.96136303498         -176.42517372220755
4dma3msa1sa  -87.81775115459459      -178.2317166516441      -303.24992620240465      -195.9905213312013
4dma2msa2sa  -95.7703937725164       -186.4867540517589      -304.26416327194374      -204.20702373352833
4dma1msa3sa  -99.87483688443899      -188.59069769270718     -297.5544551665635       -206.262366900919
