#CLUSTER     dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]       dE_[Eh]
4dma         -539.4558138766141   -539.3837637114206   0.00024165743818142335  -539.784355448597
1dma1msa1sa  -1497.8928789029555  -1497.8324207252404  0.0002027777216684434   -1498.052226657434
2dma1msa1sa  -1632.7839380706653  -1632.7125016568127  0.00023959890609665028  -1633.035936031885
3dma1msa1sa  -1767.6567285722022  -1767.574299474697   0.0002764685477273123   -1767.995073278809
1dma2msa1sa  -2161.4325688716513  -2161.3579360014996  0.00025031987305564285  -2161.650029608627
1dma1msa2sa  -2197.35344800166    -2197.2799659229627  0.0002464600996054136   -2197.547567485789
2dma2msa1sa  -2296.327961097838   -2296.2413116069383  0.00029062381653317603  -2296.635560219504
2dma1msa2sa  -2332.253058718739   -2332.167085849565   0.00028835441614648755  -2332.537710187239
3dma2msa1sa  -2431.2229463769945  -2431.126127825487   0.00032473101293777003  -2431.624792544476
3dma1msa2sa  -2467.1509139233376  -2467.0570245158906  0.0003149066156180208   -2467.532305810682
4msa         -2654.130482368636   -2654.0520614965326  0.00026302489385720244  -2654.334812345821
1dma3msa1sa  -2824.9662522876465  -2824.877210139703   0.00029864882758028435  -2825.240154650016
1dma2msa2sa  -2860.892592568385   -2860.8057177496703  0.00029137956973006567  -2861.144361666564
1dma1msa3sa  -2896.8135351872024  -2896.7282830022314  0.0002859372294834791   -2897.042508727979
2dma3msa1sa  -2959.8670208455287  -2959.7686378576636  0.0003299781581904822   -2960.235377508636
2dma2msa2sa  -2995.7949803631477  -2995.697063265034   0.0003284155563123968   -2996.139399981786
2dma1msa3sa  -3031.7200366189986  -3031.622653083637   0.0003266259780715794   -3032.041876419221
3dma3msa1sa  -3094.766610930026   -3094.6582557569936  0.00036342503113163623  -3095.228633244334
3dma2msa2sa  -3130.6950681538765  -3130.587853129564   0.000359600953587908    -3131.134667583856
3dma1msa3sa  -3166.6228740307824  -3166.5156619543695  0.0003595910662885028   -3167.037047968475
4dma3msa1sa  -3229.657275633703   -3229.536330957339   0.0004056504322117725   -3230.210485621755
4dma2msa2sa  -3265.5888549144715  -3265.4706400548816  0.00039649458188695263  -3266.121066785663
4dma1msa3sa  -3301.5143016357047  -3301.395146659433   0.0003996477486902092   -3302.021829416058
