#CLUSTER  ddG_298.15K_[kcal/mol]  ddH_298.15K_[kcal/mol]  ddS_298.15K_[cal/mol/K]  ddE_[kcal/mol]
1pua1w    0.8433640319854021      -7.9460704890225315     -29.479                  -9.666149898199365
1ppa1w    -0.6344055330264382     -9.979180208974867      -31.344000000000023      -11.761425712931668
1lca1w    -1.073030130006373      -10.488085142002092     -31.57499999999999       -12.25527496644645
1dhppa1w  -1.1338979210122488     -10.390822177010705     -31.04600000000002       -12.117563158011762
1pua2w    -1.6440578600158915     -19.85733243499999      -61.086                  -23.279977017169585
1pua4w    -2.311093549011275      -39.53645401803078      -124.85100000000004      -46.61368711621617
1pua3w    -2.503109467041213      -28.390745732060168     -86.825                  -33.38908818556229
1pua5w    -2.6555926959845237     -48.1087725010002       -152.44800000000004      -57.13490209484007
1lca2w    -3.412361313996371      -22.360441901982995     -63.55                   -25.90157222811831
1ppa4w    -3.665872525976738      -41.23447713596397      -126.00600000000001      -48.497006222605705
1dhppa2w  -3.687835131015163      -22.525475190981524     -63.18000000000001       -25.97539419104578
1ppa5w    -3.881106055021519      -49.40770371098188      -152.69600000000008      -58.39227503616712
1ppa2w    -4.10951714697876       -20.169828929007053     -53.86900000000003       -23.747554602567106
1lca3w    -4.300905561947729      -30.896992714027874     -89.20199999999998       -36.00548139665625
1lca4w    -4.329770699958317      -42.166946593963075     -126.90299999999999      -49.34133786422899
1lca5w    -4.3561258260160685     -50.1870624369476       -153.71400000000003      -59.25233441297314
1dhppa4w  -4.609009534993675      -42.276132115977816     -126.33500000000002      -49.35281803156249
1ppa3w    -4.642894696997246      -29.521506138000404     -83.444                  -34.89125381220947
1dhppa3w  -5.5207713940762915     -29.672734360967297     -81.00700000000002       -33.71385738326353
1dhppa5w  -6.662826854037121      -57.01680508896243      -168.88700000000006      -66.72217091268976
1pue1w    -8.185776635014918      -16.611259415993118     -28.262                  -18.423165731714107
1pue2w    -12.81235625402769      -30.425737960991682     -59.07700000000001       -34.06041643433855
1pue3w    -16.564824194007087     -42.89547757693799      -88.31499999999998       -48.415906291571446
1pue4w    -20.136571270006243     -54.49236051994376      -115.23000000000005      -61.92820781763294
1pue5w    -23.23267107200809      -73.56845171999885      -168.82700000000003      -84.18225489172619
