#CLUSTER    ddG_298.15K_[kcal/mol]  ddH_298.15K_[kcal/mol]  ddS_298.15K_[cal/mol/K]  ddE_[kcal/mol]
1pyruvic5w  9.930300036503468       -38.03163676254917      -160.86200000000002      -47.089723201759625
1ppa5w      9.021696177136619       -39.346862565755146     -162.22900000000004      -48.818741425697226
1pyruvic4w  7.460329488560092       -29.33079890452791      -123.39500000000002      -36.348421100206906
1lca5w      7.345459438802209       -38.47418211813783      -153.67600000000002      -47.53587042458821
1dhppa5w    5.991397986974334       -44.36258024798008      -168.88700000000006      -54.06794607167831
1ppa4w      5.555527353193611       -32.013077256822726     -126.00600000000001      -39.27560634337715
1lca4w      5.053949010267388       -32.78322688367916      -126.906                 -39.95827012954396
1dhppa4w    4.788159858813742       -32.87896272225771      -126.33500000000002      -39.95564863781328
1pyruvic3w  4.719792246760335       -21.6378437653766       -88.402                  -26.73552621883573
1pyruvic2w  3.2686397556535667      -14.944634819345083     -61.086                  -18.367279401500127
1pyruvic1w  2.8522254196359427      -5.896421406359877      -29.340999999999994      -7.3652279067537165
1lca3w      2.447463179298211       -24.526380778697785     -90.46899999999997       -29.712127630773466
1ppa3w      1.9670468115946278      -22.911564629437635     -83.444                  -28.281312303675804
1dhppa3w    1.6293942494376097      -22.386400566552766     -80.55                   -26.42110423318809
1ppa1w      1.230081754627463       -8.114692921371898      -31.344000000000023      -9.896938425248663
1lca2w      1.1666499668936012      -17.781430621049367     -63.55                   -21.322560947199236
1lca1w      0.8992251899107941      -8.515829822048545      -31.57499999999999       -10.283019646500179
1dhppa2w    0.810185354333953       -17.63965785165783      -61.881000000000014      -20.950023949539172
1dhppa1w    0.6080588086115313      -8.643845423357561      -31.031000000000006      -10.362362350067997
1ppa2w      0.18673278448113706     -15.873578997532604     -53.86900000000003       -19.45130467110721
1pue1w      -6.420170229124778      -14.835612962022424     -28.226000000000013      -16.647531827817147
1pue2w      -9.611450385171338      -27.196594457083847     -58.98100000000001       -30.82877923354681
1pue3w      -11.650613711361075     -38.18708807823714      -89.004                  -43.746309028356336
1pue4w      -12.60523415580974      -49.64924625767162      -124.24800000000002      -57.51855882271775
1pue5w      -12.728075558814453     -63.063856206601486     -168.82700000000003      -73.67765937844524
