#CLUSTER      dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]       dE_[Eh]
1w            -76.33830511903      -76.31689111903      7.182276419395604e-05   -76.34240711673
1ppa          -267.949173191775    -267.91325719177496  0.00012046635633614501  -268.011424155775
1pue          -341.35263436053094  -341.3142123605311   0.0001288726906484909   -341.379971611531
1pua          -341.885719929545    -341.848408929545    0.00012514043757559724  -341.927851803545
1lca          -343.078269807675    -343.039755807675    0.0001291754780455233   -343.143679131675
1ppa1w        -344.28551803052807  -344.243080030528    0.00014233876172703555  -344.369603210528
1pue1w        -417.70117077762507  -417.65474577762507  0.00015571399658647047  -417.748908532625
1dhppa        -418.21642718416297  -418.176336184163    0.0001344678830220732   -418.285737163163
1pua1w        -418.219479691151    -418.1746966911509   0.00015020485957836058  -418.281996279151
1lca1w        -419.415141905365    -419.37021790536494  0.00015067975770633767  -419.502473452365
1ppa2w        -420.625485849131    -420.57233584913104  0.00017826528319386518  -420.727236336131
1pue2w        -494.044561577769    -493.991335577769    0.0001785250429081614   -494.113915138769
1dhppa1w      -494.553763289804    -494.50700228980395  0.0001568390908091276   -494.644657925804
1pua2w        -494.55712120485     -494.50600720485     0.00017143822419972494  -494.64193646185
1lca2w        -495.75302085148905  -495.70187485148904  0.00017154659021550496  -495.862473379489
1ppa3w        -496.96095382789696  -496.90044282789705  0.000202956798612915    -497.083715110897
1na1pua       -503.634427128192    -503.592446128192    0.00014080729494520344  -503.674915897192
1pue3w        -570.3861163439341   -570.325741343934    0.00020250261751736642  -570.476907861934
1dhppa2w      -570.8917462963569   -570.8382292963569   0.0001794987434323023   -571.003937729357
1pua3w        -570.8931137413249   -570.8335647413251   0.0001997297224077016   -570.997679366325
1lca3w        -572.0892848436839   -572.0295148436841   0.0002004707547214914   -572.218250259684
1ppa4w        -573.293540280177    -573.231838280177    0.00020695199863586308  -573.443642931177
1na1pua1w     -579.9878658275579   -579.9321728275581   0.00018679910693654054  -580.042778296558
1pue4w        -646.725942763172    -646.6608987631721   0.00021815991317969792  -646.841262682172
1pua4w        -647.2270514912079   -647.162715491208    0.00021578701615769167  -647.355405764208
1dhppa3w      -647.2287459094449   -647.1626849094449   0.00022157025544100982  -647.355063657445
1lca4w        -648.423436220292    -648.3595642202921   0.00021422686425403542  -648.576985812292
1ppa5w        -649.6263216505971   -649.560416650597    0.00022104914239453834  -649.801258158597
1na1pua2w     -656.3436406140469   -656.2825886140469   0.00020477033575935094  -656.421153935047
1pue5w        -723.0644436444582   -722.9991676444581   0.0002189407859404656   -723.209421230458
1pua5w        -723.5614204210118   -723.4934724210119   0.00022790169927474447  -723.714930412012
1dhppa4w      -723.5620171631239   -723.496297163124    0.00022042922503956154  -723.719039666124
1lca5w        -724.7580895473329   -724.685524547333    0.0002433884778240104   -724.931468728333
1na1pua3w     -732.6883090414401   -732.62069704144     0.00022677501143420823  -732.78809262844
1dhppa5w      -799.89840478036     -799.83148878036     0.0002244403612413008   -800.08393639236
1cl1pua       -801.7389413525318   -801.6953353525321   0.0001462558744739069   -801.776061967532
1na1pua4w     -809.0314177577098   -808.9562667577098   0.00025205775908641073  -809.15133674671
1cl1pua1w     -878.081204668458    -878.0303336684581   0.0001706254790813749   -878.139592187458
1na1pua5w     -885.3759266347781   -885.289635634778    0.00028942491111596277  -885.511938693778
1cl1pua2w     -954.417896295786    -954.362080295786    0.000187211853967232    -954.499768448786
1cl1na1pue    -963.1496669720201   -963.1019389720201   0.000160080509575253    -963.17313015902
1cl1na1pua    -963.6385527691677   -963.5901707691678   0.00016227492139479812  -963.674609225168
1cl1pua3w     -1030.7603802604829  -1030.6940932604832  0.00022232722393359075  -1030.860580520483
1cl1na1pue1w  -1039.491434616414   -1039.434146616414   0.00019214728853885957  -1039.534319476414
1cl1na1pua1w  -1039.991238346063   -1039.933414346063   0.0001939417022707461   -1040.045903586063
1cl1pua4w     -1107.0998502300617  -1107.030809230062   0.00023156861401459433  -1107.226930910062
1cl1na1pue2w  -1115.83826531424    -1115.7753953142399  0.00021087070500061352  -1115.90464949424
1cl1na1pua2w  -1116.3396801410759  -1116.274284141076   0.00021934078402812416  -1116.414717851076
1cl1pua5w     -1183.43747846447    -1183.36408346447    0.00024617093464094996  -1183.58813562447
1cl1na1pue3w  -1192.1838921778608  -1192.116257177861   0.0002268483178566477   -1192.274249107861
1cl1na1pua3w  -1192.6799311689786  -1192.6081601689787  0.00024072394873012558  -1192.777228418979
1cl1na1pue4w  -1268.5265280959973  -1268.454463095997   0.0002417072109615412   -1268.641113685997
1cl1na1pua4w  -1269.022210563013   -1268.9430225630128  0.00026560191744103213  -1269.140500723013
1cl1na1pue5w  -1344.867039207977   -1344.7896482079768  0.0002595700737685716   -1345.004683767977
1cl1na1pua5w  -1345.36229153179    -1345.28017253179    0.0002754313525194302   -1345.50596912179
