#CLUSTER   ddG_298.15K_[kcal/mol]  ddH_298.15K_[kcal/mol]  ddS_298.15K_[cal/mol/K]  ddE_[kcal/mol]
1ma1sa     -9.507981931325048      -19.70061356073711      -34.18623295136679       -21.818669344007503
1sa1tma    -11.003403155656997     -21.683246939472156     -35.820371570585266      -24.18954511875927
1dma1sa    -11.997819709882606     -22.211008337617386     -34.2551814614456        -24.71528387523722
2am2sa     -30.6692907003453       -62.33166764851194      -106.19613264527926      -68.75971694593318
2sa2tma    -32.29961251968052      -68.93086569855222      -122.8618251841691       -77.10927486405126
2ma2sa     -37.748635220807046     -71.43405046581756      -112.98143634090226      -78.61133983987384
2dma2sa    -42.33031700004358      -78.61968771927059      -121.71510370320314      -86.18706912035123
3sa3tma    -48.68853507278254      -111.49419338756707     -210.65121017829958      -124.8637457137811
3am3sa     -54.6782206336502       -111.12515887338668     -189.32393749629387      -121.71887269290164
3ma3sa     -64.16597814345732      -122.70962980692275     -196.35639087258093      -134.4663745870348
3dma3sa    -68.80980781977996      -132.24793895799667     -212.77245023746443      -144.61716258875094
4sa4tma    -78.30416038562544      -166.22207460843492     -294.8781292057019       -185.045678589202
4am4sa     -82.09293564921245      -162.93035702127963     -271.13003981848067      -177.85142619954422
4ma4sa     -93.0943056952674       -178.22018924471922     -285.51361244135506      -194.47775912377983
5sa5tma    -93.8904124761466       -208.0601155044278      -382.92708134720795      -231.5250913394848
4dma4sa    -94.10574640589766      -182.64727310999297     -296.9696515309744       -199.57783992169425
5am5sa     -106.54037095373496     -212.13094081683084     -354.1525277145398       -231.82560734497383
6sa6tma    -112.43815870105755     -252.7508038643282      -470.6109178742916       -281.745372659876
5dma5sa    -124.8726012725383      -240.26634930307046     -387.032422121315        -262.2886626077816
5ma5sa     -125.83127525588498     -237.08029694575816     -373.13104709136354      -258.1881506163627
7sa7tma    -131.5967163448222      -297.1854961006902      -555.3874886993797       -330.56791000266094
6am6sa     -134.58032368402928     -265.00809606490657     -437.4568921049473       -288.44673165353015
6dma6sa    -152.5718512488529      -295.303300851956       -478.7235014354857       -322.4736628024839
6ma6sa     -156.2283426048234      -293.3424167269841      -459.88285803226574      -318.9997091582045
8sa8tma    -156.43017266923562     -348.25426927790977     -643.3811725907431       -387.5777672402328
7am7sa     -163.65846130251884     -317.33206349331886     -515.423787325172        -345.31647062301636
9sa9tma    -174.89447354478762     -392.2016113088466      -728.8517114325678       -436.2279177812161
7dma7sa    -177.92175509268418     -346.13591955043375     -564.1929458565154       -377.7459318083711
7ma7sa     -188.2248021508567      -351.940077574458       -549.1037033330203       -382.0599630884826
10sa10tma  -194.42422431288287     -439.06702426518314     -820.5359716633243       -488.5929611485917
8am8sa     -196.23009009752423     -375.99216716364026     -602.9249608122759       -407.97599244024605
8dma8sa    -204.57019482040778     -399.48731646547094     -653.7550610262956       -436.17068256111816
8ma8sa     -216.6824585273862      -407.9694564919919      -641.5797349157808       -442.7449351269752
11sa11tma  -222.06293280026875     -492.7049453249201      -907.7377579233607       -547.7663898845203
9am9sa     -228.33457428449765     -430.58901948295534     -678.3647331843033       -467.13130356837064
9dma9sa    -229.94434537971392     -450.6148490239866      -740.1323064501429       -492.69306819699705
12sa12tma  -236.81111071049236     -530.9555327459238      -986.5652256797922       -590.46711045946
10am10sa   -247.9586638538167      -477.794401015155       -770.872839714976        -518.6638641180471
9ma9sa     -253.36701181018725     -469.5259383106604      -725.0005919811841       -509.34605595562607
10dma10sa  -257.9506011996418      -507.461581973359       -836.8637196886806       -553.8066365113482
13sa13tma  -262.67134391865693     -586.49621232762        -1086.1139095564986      -651.0247198678553
11am11sa   -276.35105364304036     -529.7994776945561      -850.0701796069766       -575.5422612344846
14sa14tma  -279.19055492058396     -627.8519920688123      -1169.416190338085       -698.3286282878835
10ma10sa   -282.3073874209076      -524.6148847565055      -812.7033493600875       -568.1231799544767
11dma11sa  -285.6377654671669      -559.7053858954459      -919.2270716144559       -611.3152210600674
15sa15tma  -301.59787757042795     -675.988318226533       -1255.7117119937284      -751.3760017710738
12dma12sa  -312.2809906452894      -614.9202157193795      -1015.0566821179946      -670.158833748661
12am12sa   -313.07431131321937     -592.3499430883676      -936.6950587822239       -641.1603269120678
11ma11sa   -317.611490579322       -587.9473506659269      -906.7109176125441       -636.5462557449937
13am13sa   -333.02082447335124     -636.8577205995098      -1019.0739641112197      -689.4859094172716
12ma12sa   -339.1302752587944      -637.3701269989833      -1000.3013642162673      -691.1229107296094
13dma13sa  -340.30432709492743     -669.4491157382727      -1103.9567568930743      -729.8646296598017
14am14sa   -353.7953403946012      -680.4784975200891      -1095.7006779284256      -738.918962802738
14dma14sa  -368.5449239090085      -722.345817704685       -1186.653717742311       -789.361876975745
13ma13sa   -373.55229744967073     -693.0360373537987      -1071.55371425457        -751.0796903409064
15am15sa   -386.6156611777842      -740.4105058452114      -1186.6337235162505      -803.0010261600837
15dma15sa  -397.7999232476577      -778.4113470716402      -1276.5766550295493      -850.0513962302357
14ma14sa   -401.96262127533555     -749.2598041519523      -1164.840438041154       -810.5064855413511
15ma15sa   -430.55389813985676     -803.5783714409918      -1251.1302139876238      -870.9543615616858
