#CLUSTER   dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]       dE_[Eh]
1ma1sa     -795.8445571123152   -795.8011729450126   0.00014551121013808125  -795.915968867894
1dma1sa    -835.1081350043295   -835.0622021905751   0.00015405941222302675  -835.206439561572
1sa1tma    -874.3706178316926   -874.3220871716684   0.00016277263130707947  -874.49475645939
2am2sa     -1513.1970822685887  -1513.1385543267486  0.00019630367882013554  -1513.312402131303
2ma2sa     -1591.717646966275   -1591.6534398343802  0.00021535177559882076  -1591.887686237842
2dma2sa    -1670.2473557568715  -1670.1787789296475  0.00023000780554768613  -1670.471271086363
2sa2tma    -1748.7560933679192  -1748.6849083566885  0.00023875569757027222  -1749.035254238641
3am3sa     -2269.8100307172867  -2269.7358780601526  0.00024870923070251423  -2269.998186851505
3ma3sa     -2387.5880010647675  -2387.504978856704   0.0002784578502892629   -2387.857873868404
3dma3sa    -2505.379327655728   -2505.291136581257   0.00029579431316757043  -2505.731494912941
3sa3tma    -2623.1331836557056  -2623.040222264637   0.0003117940334339472   -2623.567658368658
4am4sa     -3026.4268877083373  -3026.3377736510884  0.0002988900125732384   -3026.689000728158
4ma4sa     -3183.4640825048464  -3183.363371299679   0.0003377870372885094   -3183.834844251892
4dma4sa    -3340.508007766129   -3340.3993838700676  0.00036432633258930527  -3340.987873393784
4sa4tma    -3497.5294921152554  -3497.4151412822935  0.0003835345730729702   -3498.119759606428
5am5sa     -3783.040390178287   -3782.936045107814   0.0003499750812443981   -3783.376463898962
5ma5sa     -3979.3460795854803  -3979.227083339382   0.0003991153650789461   -3979.817853247393
5dma5sa    -4175.6451216558935  -4175.5168495657     0.00043022669861884346  -4176.252961949332
5sa5tma    -4371.90726214988    -4371.7692863478205  0.000462773107696265    -4372.650000364028
6am6sa     -4539.658016353042   -4539.540667365807   0.00039359043177688343  -4540.068868421306
6ma6sa     -4775.222130253677   -4775.08632921242    0.0004554789242235908   -4775.795482072779
6dma6sa    -5010.778954561996   -5010.631353495755   0.0004950564019468411   -5011.515868651118
6sa6tma    -5246.286456687965   -5246.128054192463   0.0005312845732077208   -5247.186239870035
7am7sa     -5296.277325358627   -5296.142891545535   0.00045089321848699375  -5296.760133954303
7ma7sa     -5571.102213206861   -5570.9495217503145  0.0005121296546932532   -5571.777162426377
7dma7sa    -5845.907292861331   -5845.73915028145    0.0005639529762935244   -5846.770946336647
8am8sa     -6052.904050596076   -6052.756066598687   0.0004963407593110535   -6053.461547647822
7sa7tma    -6120.667148824678   -6120.486405494245   0.0006062161007320027   -6121.720251906249
8ma8sa     -6366.977213528921   -6366.808731281171   0.0005650922279048266   -6367.755175567249
8dma8sa    -6681.038730593085   -6680.851186911739   0.000629024589455795    -6682.031230162815
9am9sa     -6809.5268157681785  -6809.362889404242   0.000549811718718435    -6810.157291285271
8sa8tma    -6995.0566882885705  -6994.855340578978   0.0006753235270582803   -6996.26731140183
9ma9sa     -7162.864594705554   -7162.677622439024   0.0006271080547686385   -7163.743638700702
9dma9sa    -7516.167557852973   -7515.960444613512   0.0006946612089941979   -7517.289842182139
10am10sa   -7566.134583086898   -7565.957409615642   0.0005942427343808916   -7566.84059693963
9sa9tma    -7869.435858435102   -7869.213021549665   0.0007473985760090907   -7870.801041313379
10ma10sa   -7958.7383831011275  -7958.535433996028   0.0006806946339075364   -7959.719244762859
11am11sa   -8322.753386616097   -8322.55988518082    0.0006490069940545431   -8323.532643863462
10dma10sa  -8351.301406396695   -8351.07417519772    0.000762137175833798    -8352.551795809084
10sa10tma  -8743.819796377908   -8743.575150096527   0.0008205476484316919   -8745.340706156507
11ma11sa   -8754.624277874434   -8754.404874655005   0.0007358820037889585   -8755.707461954233
12am12sa   -9079.383277569941   -9079.17916493661    0.0006845971267225272   -9080.23861847937
11dma11sa  -9186.433689388849   -9186.187972509255   0.000824138452435105    -9187.81263207375
12ma12sa   -9550.489754466395   -9550.253450716005   0.0007925666623829977   -9551.67562269287
11sa11tma  -9618.21473810431    -9617.948175137819   0.0008940565704926952   -9619.89121355831
13am13sa   -9835.989581997157   -9835.769689070235   0.0007375244907669951   -9836.917035484923
12dma12sa  -10021.562776112643  -10021.296655558426  0.000892572712448406    -10023.068261757759
13ma13sa   -10346.369185254398  -10346.111961589595  0.0008627323991368573   -10347.652357294304
12sa12tma  -10492.58617991326   -10492.296668549443  0.0009710258722675953   -10494.41546975787
14am14sa   -10592.595220290914  -10592.358806233735  0.0007929366331696396   -10593.59721737587
13dma13sa  -10856.6957799273    -10856.411670779595  0.0009529067506458902   -10858.33243746427
14ma14sa   -11142.243276508554  -11141.971997526194  0.0009098741652173331   -11143.630716259117
15am15sa   -11349.224215879354  -11348.973916206987  0.0008395092147136264   -11350.30074419102
13sa13tma  -11366.974029068548  -11366.663791843623  0.001040540751049104    -11368.961012458025
14dma14sa  -11691.830428093097  -11691.526419425008  0.0010196500690512302   -11693.59603899872
15ma15sa   -11938.117682429536  -11937.828231283796  0.0009708238998481646   -11939.606499584574
14sa14tma  -12241.353787015438  -12241.023545497306  0.0011076354792253584   -12243.498348680327
15dma15sa  -12526.966088368981  -12526.64257877519   0.0010850564943515177   -12528.859587660814
15sa15tma  -13115.733014078138  -13115.380155322762  0.0011834940646502654   -13118.031848889346
