#CLUSTER   ddG_298.15K_[kcal/mol]  ddH_298.15K_[kcal/mol]  ddS_298.15K_[cal/mol/K]  ddE_[kcal/mol]
1ma1sa     -8.407064639613964      -19.851852679625154     -38.38600717768616       -22.020688549557235
1sa1tma    -10.132469211763237     -21.695815142666106     -38.78365229204539       -24.1923191621172
1dma1sa    -10.172583947656676     -22.207951090473216     -40.36681919437794       -24.734259539633058
2am2sa     -28.607270633685403     -62.332954252604395     -113.11649712842069      -68.72275463468395
2sa2tma    -32.05495545791928      -71.40843709898763      -131.9922241866427       -79.40094363791286
2ma2sa     -35.16533215390518      -72.89088518440258      -126.53212487140179      -79.7030469578458
2dma2sa    -40.00071783619933      -78.61608710384462      -129.51658315499435      -86.15796554507688
3sa3tma    -47.28299621451879      -114.41662617819384     -225.16729821720324      -127.62313650239957
3am3sa     -52.55778708984144      -112.45466818381101     -200.8951235753715       -122.92687445296906
3ma3sa     -62.29138651373796      -127.37783854804002     -218.30102979851335      -139.00521610537544
3dma3sa    -65.57925175316632      -132.7075511245057      -225.14941932361546      -145.0096153744962
4sa4tma    -71.40706336987205      -167.31809534766944     -321.6871775195176       -186.086949175864
4am4sa     -78.19726427644491      -163.26445332588628     -285.3167501233726       -178.38071058131754
5sa5tma    -85.56216929014772      -209.52872090309393     -415.78585146164875      -233.5032065209234
4ma4sa     -90.82095095794648      -182.94964036601596     -309.0011383799559       -199.429750361247
4dma4sa    -91.18017909536138      -186.57951565016992     -319.9709426619046       -203.49155789008364
5am5sa     -103.55043442966416     -215.28799767093733     -374.7696234841198       -234.27081575617194
6sa6tma    -105.33095280791167     -257.38442221749574     -509.9898353493339       -286.1798913649982
5dma5sa    -118.0746483290568      -242.08010662533343     -415.9163451163359       -264.07966257678345
7sa7tma    -119.01518989237957     -299.533244067803       -605.4605204612542       -333.65398037678096
5ma5sa     -119.15747988270596     -238.6905317516066      -400.91582045667485      -259.5408167266287
6am6sa     -131.53783045336604     -270.7001867359504      -466.75283005717415      -293.3925675256178
8sa8tma    -138.47071280283853     -348.2229347737739      -703.5123997000088       -387.4621525494149
6dma6sa    -144.27316683903337     -296.2610969468951      -509.77001545508375      -322.9369675363414
6ma6sa     -153.60171643365175     -302.03435007855296     -497.8454926881051       -327.2631713789888
7am7sa     -159.5963310683146      -324.5053591900505      -553.1075905479636       -351.9612126471475
9sa9tma    -162.12024845485575     -400.5141354596708      -799.5770149420371       -444.831717605819
7dma7sa    -168.00560405524448     -349.0512613472529      -607.2301099832083       -380.7898056502454
10sa10tma  -181.7019324498251      -448.4593926088419      -894.7089054492044       -497.7364301655907
7ma7sa     -182.37612466979772     -358.2442505485378      -589.8645845323531       -388.33282794756815
8am8sa     -186.48667731974274     -375.19562050607055     -632.9328968179536       -407.18516864674166
8dma8sa    -191.79622143879533     -401.4300511954352      -703.1153102696558       -437.8555290722288
11sa11tma  -199.61917039053515     -494.69208080577664     -989.6793909626994       -549.4257685109042
8ma8sa     -214.31746389903128     -417.8872372000478      -682.7763652544666       -452.75999038666487
9am9sa     -217.52670173160732     -432.62207006430253     -721.4334004105933       -468.8618616592139
12sa12tma  -219.09038426005282     -543.4020765433088      -1087.7467458748688      -602.6274644888472
9dma9sa    -219.6567645734176      -457.8351633651182      -798.8542639318688       -499.1620896663517
13sa13tma  -235.37403272651136     -587.4237371729687      -1180.7804945385412      -651.1919784704223
9ma9sa     -241.27505277842283     -472.8678434328176      -776.7660260075548       -512.1784583777189
10am10sa   -245.86119871679693     -487.84482595324516     -811.617062678336        -528.2092235013843
10dma10sa  -247.13156339526176     -513.3104013549164      -892.768197085064        -559.7777911769226
14sa14tma  -251.35094909137115     -632.6023327484727      -1278.7234065322154      -702.9963489428628
15sa15tma  -267.81070514419116     -677.0878275122959      -1372.7221947630817      -752.308987210039
11dma11sa  -268.0725737847388      -562.8308021239936      -988.6239421065944       -614.4470695685595
11am11sa   -270.28892054688185     -537.9495774526149      -897.7382421793689       -582.7078240271658
10ma10sa   -272.6211061142385      -531.7320898966864      -869.06249801431         -575.6213563261554
12dma12sa  -296.9548929966986      -620.1727938791737      -1084.0781515414874      -676.3534588767216
12am12sa   -299.273413291201       -594.1041485946625      -988.8671316506807       -642.9842615257949
11ma11sa   -306.6483207112178      -593.4468098497018      -961.9268460147281       -642.5261581381783
13dma13sa  -321.98162012919784     -674.2964366311207      -1181.6696847295464      -734.9433472622186
13am13sa   -323.3692820183933      -643.628183208406       -1074.153617946512       -697.0122490813956
12ma12sa   -333.943736336194       -648.2696539526805      -1054.2542935316624      -701.9555183779448
14dma14sa  -344.32468527462333     -725.2078290330246      -1277.4883238608636      -791.1233341079205
14am14sa   -354.0382538391277      -699.5686374586076      -1158.914585340603       -757.7769371178001
13ma13sa   -362.829730624333       -705.6503908718005      -1149.8261286221043      -763.4109204504639
15dma15sa  -371.9251750446856      -780.7812425028533      -1371.3099696759975      -851.6942192753777
15am15sa   -377.38317420706153     -750.8305335640907      -1252.5485807719501      -812.7468125568703
14ma14sa   -394.0551051273942      -764.257831483148       -1241.666028361216       -827.0040554534644
15ma15sa   -425.70061095431447     -823.9095606179908      -1335.5993616134524      -891.2198565443978
