#CLUSTER   dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]       dE_[Eh]
1ma1sa     -795.8447753830102   -795.8014229736702   0.0001454046934091951   -795.916278968455
1dma1sa    -835.1080565061152   -835.0621595078346   0.0001539392865353513   -835.206411767651
1sa1tma    -874.3706249277035   -874.3220944332877   0.00016277207585372428  -874.494760880155
2am2sa     -1513.1970128463386  -1513.138487152017   0.00019629614060590774  -1513.312326796992
2ma2sa     -1591.718795571025   -1591.6557336304675  0.00021151078503317246  -1591.889389011596
2dma2sa    -1670.24743644804    -1670.1788210418315  0.00023013720009521326  -1670.471292493165
2sa2tma    -1748.7600386373479  -1748.6888369508297  0.00023881162675927793  -1749.038949899002
3am3sa     -2269.810892711769   -2269.7379381323008  0.0002446908585221153   -2270.000111944708
3ma3sa     -2387.593401870732   -2387.5123517198326  0.0002718435381497707   -2387.865080414092
3dma3sa    -2505.380044151471   -2505.2917906859207  0.00029600357387278786  -2505.732074343971
3sa3tma    -2623.1387839589697  -2623.044895164269   0.0003149045604598728   -2623.572005215522
4am4sa     -3026.427464135217   -3026.338485635168   0.00029843535149748547  -3026.68988866268
4ma4sa     -3183.4702448292037  -3183.370698643091   0.0003338795442319628   -3183.842560437691
4dma4sa    -3340.512687541465   -3340.4044105316902  0.00036316287028233696  -3340.992267022591
4sa4tma    -3497.531706147314   -3497.416719485743   0.00038566715267723367  -3498.121381760481
5am5sa     -3783.043579294657   -3782.9409674064027  0.0003441619595978094   -3783.380360626804
5ma5sa     -3979.34678016282    -3979.2293150305077  0.0003939799842765798   -3979.819540913256
5dma5sa    -4175.647392342945   -4175.519625785689   0.00042853113283843503  -4176.255816118904
5sa5tma    -4371.908741620797   -4371.771506687692   0.0004602882210455981   -4372.653152723748
6am6sa     -4539.663892403543   -4539.548849382448   0.00038585618345087544  -4540.075982600721
6ma6sa     -4775.2330488485095  -4775.100047578231   0.0004460884463470498   -4775.808650873918
6dma6sa    -5010.780988064907   -5010.632738100491   0.000497232817092411    -5011.516606981825
6sa6tma    -5246.294723151267   -5246.135289983298   0.0005347414656018788   -5247.193306798329
7am7sa     -5296.284318825976   -5296.154170388091   0.00043651999961228895  -5296.770723133994
7ma7sa     -5571.110281994426   -5570.95941138691    0.0005060224971193781   -5571.78715897597
7dma7sa    -5845.9106537956295  -5845.743633970239   0.0005601872392785135   -5846.775797108424
8am8sa     -6052.90288365673    -6052.754527415653   0.0004975892707608486   -6053.460133510883
7sa7tma    -6120.671008239755   -6120.489978693757   0.0006071760724397178   -6121.725169923174
8ma8sa     -6366.992562018195   -6366.824246223108   0.0005645339429354504   -6367.771017659405
8dma8sa    -6681.0404122433065  -6680.853874266147   0.0006256514410858721   -6682.033732874976
9am9sa     -6809.528061488793   -6809.365619353234   0.0005448335923511601   -6810.159827084844
8sa8tma    -6995.056490552521   -6994.855091049769   0.0006754972421675604   -6996.267127156192
9ma9sa     -7162.8668998483     -7162.681651006512   0.0006213276598626172   -7163.746894397817
9dma9sa    -7516.176656597428   -7515.970530981292   0.0006913487041283717   -7517.298426915468
10am10sa   -7566.148927743976   -7565.973199445185   0.000589395602183435    -7566.855808595006
9sa9tma    -7869.448656518976   -7869.225942836477   0.0007469853513311129   -7870.814759888584
10ma10sa   -7958.748231213825   -7958.545244828425   0.0006808196726486614   -7959.729184539761
11am11sa   -8322.763568092423   -8322.572623393833   0.0006404316571863465   -8323.544063032443
10dma10sa  -8351.312286222514   -8351.08570583232    0.0007599543524837982   -8352.562019990572
10sa10tma  -8743.834339884303   -8743.589868849864   0.000819959867308435    -8745.35527735221
11ma11sa   -8754.633835325872   -8754.413381215852   0.0007394067080980828   -8755.716991633602
12am12sa   -9079.38547019247    -9079.181688443228   0.0006834873360471856   -9080.24152513418
11dma11sa  -9186.437503485537   -9186.191390948283   0.0008254654947279629   -9187.816136739479
12ma12sa   -9550.50871152272    -9550.270534586705   0.0007988493577572908   -9551.692885730095
11sa11tma  -9618.217370758637   -9617.951065682748   0.0008931916011694523   -9619.893857973759
13am13sa   -9835.999581693877   -9835.780186951068   0.0007358535730654839   -9836.929029594376
12dma12sa  -10021.575376160283  -10021.309540691487  0.000891616531262095    -10023.081786677732
13ma13sa   -10346.386122494163  -10346.131764261283  0.0008531216933725697   -10347.672008563079
12sa12tma  -10492.602878076796  -10492.31621039722   0.0009614881085874496   -10494.434848715468
14am14sa   -10592.624168209897  -10592.388910779957  0.0007890572864014106   -10593.6272697809
13dma13sa  -10856.707104494557  -10856.422561616178  0.0009543614904497187   -10858.34215138082
14ma14sa   -11142.267261543744  -11141.994948832797  0.0009133413078874403   -11143.654538125482
15am15sa   -11349.237082986576  -11348.99017877494   0.0008281207836152528   -11350.316275250467
13sa13tma  -11366.983305633737  -11366.673883697043  0.0010378062609194903   -11368.968449561042
14dma14sa  -11691.834556097105  -11691.530463441279  0.0010199317653039478   -11693.598675621728
15ma15sa   -11938.149070122112  -11937.859797601173  0.0009702247893270502   -11939.638059979694
14sa14tma  -12241.363244376917  -12241.03340070908   0.0011063010827973307   -12243.507213499843
15dma15sa  -12526.970386025536  -12526.645794746508  0.0010886844844113248   -12528.862197276709
15sa15tma  -13115.743952582057  -13115.391813183272  0.0011810813308210356   -13118.042006569654
