#CLUSTER         ddG_298.15K_[kcal/mol]  ddH_298.15K_[kcal/mol]  ddS_298.15K_[cal/mol/K]  ddE_[kcal/mol]
3am3sa           -62.44555465597659      -118.58978894050233     -188.30868450276128      -129.2291431960184
3sa3tma          -70.53250825445866      -134.1355035167653      -213.32549140422321      -147.97730252030306
1am1ma3sa1tma    -72.45676948345499      -133.50792938671657     -204.76659367192772      -145.25071570361615
1am1dma3sa1tma   -73.67100059991935      -134.54964816910797     -204.1879844679124       -147.11294518705108
1am1eda3sa1tma   -73.80779589066515      -135.58436995805823     -207.19964470132166      -148.11488110982464
1am1dma1ma3sa    -75.68585313437507      -137.2356758657843      -206.43911699339404      -149.00614043790847
3ma3sa           -75.71865205070935      -137.2201767200604      -206.2771244987566       -148.92358921770938
1am1eda1ma3sa    -76.29637537105009      -138.98267502710223     -210.2508792760155       -150.8307327935472
1am1dma1eda3sa   -78.4474585452117       -140.46393431769684     -208.00427896214956      -152.3781691219192
1dma1ma3sa1tma   -79.80705164262326      -142.7906355759187      -211.24797562737214      -155.4154355606588
1eda1ma3sa1tma   -80.69670158118242      -143.83868448869907     -211.77924839118464      -156.36412785356515
1dma1eda3sa1tma  -81.58671157906065      -145.1101816847513      -213.05876272241161      -157.6992046168598
3dma3sa          -82.4887764453888       -146.49432616634294     -214.6756656752237       -159.4367848963011
1dma1eda1ma3sa   -83.02846953412518      -147.41529104369693     -215.95445752015385      -159.81982577987947
3eda3sa          -86.67105903942138      -153.6874611780513      -224.77411416604593      -166.30731461616233
