#CLUSTER         dG_298.15K_[Eh]      dH_298.15K_[Eh]      dS_298.15K_[Eh/K]       dE_[Eh]
3am3sa           -2270.032576734585   -2269.9571812457084  0.00025287770879305104  -2270.22609076
3ma3sa           -2387.853254889928   -2387.7675924113883  0.0002873133608582304   -2388.12902406
1am1dma1ma3sa    -2387.8577567264147  -2387.7741328877814  0.00028047572910707157  -2388.13451333
1am1ma3sa1tma    -2427.1241735400854  -2427.03880227327    0.00028633663194787314  -2427.42861789
1am1eda1ma3sa    -2443.191918932539   -2443.106850369006   0.0002853213601630222   -2443.48681704
1am1dma3sa1tma   -2466.397763882054   -2466.308030050301   0.0003009687464459472   -2466.72818672
1am1dma1eda3sa   -2482.4659895251903  -2482.376092058272   0.00030151758147861163  -2482.78539344
1dma1ma3sa1tma   -2505.6735779043224  -2505.581953591031   0.00030730945259543907  -2506.03281735
3dma3sa          -2505.6780012067215  -2505.58481018965    0.00031256420282306817  -2506.03494184
1am1eda3sa1tma   -2521.7307079687257  -2521.6387284797956  0.0003085007175242123   -2522.07783879
1dma1eda1ma3sa   -2521.73931679473    -2521.64837130541    0.0003050326658391834   -2522.08929508
1eda1ma3sa1tma   -2561.007012272969   -2560.9133073936164  0.00031428770535840825  -2561.38371112
1dma1eda3sa1tma  -2600.2798796357956  -2600.1831013696456  0.0003245958951865311   -2600.6826256
3sa3tma          -2623.4773670424097  -2623.3790842546805  0.0003296420852892303   -2623.91853957
3eda3sa          -2671.6818089137932  -2671.5850657531405  0.0003244781507729845   -2672.09499371
