#CLUSTER  ddG_298.15K_[kcal/mol] ddH_298.15K_[kcal/mol] ddS_298.15K_[cal/mol/K]
1tma                      0.0                 0.0                 0.0                
1sa                       0.0                 0.0                 0.0                
1pinonic                  0.0                 0.0                 0.0                
1pinic                    0.0                 0.0                 0.0                
1nta                      0.0                 0.0                 0.0                
1msa                      0.0                 0.0                 0.0                
1ma                       0.0                 0.0                 0.0                
1isopoohBetaOne           0.0                 0.0                 0.0                
1isopoohBetaFour          0.0                 0.0                 0.0                
1iepoxBetaTrans           0.0                 0.0                 0.0                
1homTheo                  0.0                 0.0                 0.0                
1fa                       0.0                 0.0                 0.0                
1dma                      0.0                 0.0                 0.0                
1am                       0.0                 0.0                 0.0                
1am1sa                    -8.166022840538062  -17.144699716358446 -30.114650849471737
1ma1sa                    -9.772794472344685  -19.716721562785096 -33.352094886667814
1sa1tma                   -11.2157250707387   -21.71048684467678  -35.199603467784684
1dma1sa                   -12.208666992839426 -22.221236636512913 -33.582281045010916
2am2sa                    -30.827641082461923 -62.356592067866586 -105.74861977293311
2sa2tma                   -34.78817646729294  -71.3808005611063   -122.73226259929567
1am1dma2sa                -35.68145836284384  -68.53118393756449  -110.17851945238982
2ma2sa                    -37.79956336435862  -71.44750413007569  -112.85574632191856
2dma2sa                   -42.430535504128784 -78.59513980185147  -121.29665612158311
3sa3tma                   -51.873922276718076 -114.37273789930623 -209.62205474657057
3am3sa                    -54.90843265946023  -111.13684297911823 -188.59101230856956
2am1dma3sa                -60.98225382249802  -120.28266782895662 -198.89456316149597
3ma3sa                    -66.32889313390478  -127.33842451125383 -204.62697091276206
1am2dma3sa                -67.14389403024688  -127.84003158449195 -203.57580078581262
3dma3sa                   -69.75804642820731  -131.80540501722135 -208.10777625094758
4sa4tma                   -78.30416038562544  -166.22207460843492 -294.8781292057019 
4am4sa                    -82.280784947332    -162.9458249702584  -270.55186994046625
3am1dma4sa                -87.72869069315493  -169.21434776391834 -273.30421196032205
2am2dma4sa                -91.87949126260355  -176.6441840850748  -284.30210966795244
