#CLUSTER  dG_298.15K_[Eh] dH_298.15K_[Eh] dS_298.15K_[Eh/K]
1am       -56.51595369    -56.4937443     7.449065906422942e-05 
1dma      -135.03080927   -135.00071668   0.00010093104142210298
1sa       -700.05982825   -700.02555107   0.00011496619151433846
1am1sa    -756.58841891   -756.54662484   0.0001401779641120242 
1dma1sa   -835.11075422   -835.06168729   0.00016457132315948351
2am2sa    -1513.19993826  -1513.13797806  0.00020781552909609257
2dma2sa   -1670.2502146   -1670.17780088  0.0002428767734361899 
3am3sa    -2269.81371923  -2269.73501788  0.00026396562133154455
3dma3sa   -2505.38372178  -2505.28959067  0.00031571725641455644
4am4sa    -3026.43265764  -3026.33687391  0.00032126020459500253
4dma4sa   -3340.51547765  -3340.39613426  0.00040027969143048814
5am5sa    -3783.04689081  -3782.93422243  0.00037789159818883114
5dma5sa   -4175.65549056  -4175.5142684   0.0004736614455810833 
6am6sa    -4539.66690195  -4539.53813808  0.0004318761361730672 
6dma6sa   -5010.79093085  -5010.6282514   0.0005456295488847896 
7am7sa    -5296.2855265   -5296.1428508   0.0004785366426295489 
7dma7sa   -5845.92262718  -5845.7355343   0.0006275125607915478 
8am8sa    -6052.91599122  -6052.75372582  0.0005442407848398458 
8dma8sa   -6681.05658525  -6680.84703037  0.000702850477947342  
9am9sa    -6809.54252657  -6809.35991902  0.0006124687237967466 
9dma9sa   -7516.18837608  -7515.95484065  0.0007832817038403489 
10am10sa  -7566.14920526  -7565.9544491   0.000653215361395271  
11am11sa  -8322.76985727  -8322.55662806  0.000715174274693946  
10dma10sa -8351.32385818  -8351.06896818  0.0008549052490357203 
12am12sa  -9079.4037855   -9079.17561234  0.0007652965285929903 
11dma11sa -9186.45952093  -9186.1808247   0.000934751735703505  
13am13sa  -9836.01097801  -9835.76584347  0.0008221852423276872 
12dma12sa -10021.59067297 -10021.29058507 0.0010064997484487675 
14am14sa  -10592.61949004 -10592.35466106 0.0008882407512996814 
13dma13sa -10856.72821801 -10856.40460198 0.0010854134831460676 
15am15sa  -11349.24719848 -11348.96947252 0.0009314974341774275 
14dma14sa -11691.86549556 -11691.51899503 0.001162168472245514  
15dma15sa -12527.00387163 -12526.63481515 0.0012378214992453463 
