#CLUSTER  dG_298.15K_[Eh] dH_298.15K_[Eh] dS_298.15K_[Eh/K]
1am1sa   -756.578886053175   -756.5379249666     0.00013738420258259268
2am2sa   -1513.186029780061  -1513.125113161261  0.00020431527754485998
3am3sa   -2269.794893700157  -2269.712890148884  0.0002750414221029683 
4am4sa   -3026.402059362909  -3026.29840004083   0.0003476739896025491 
5am5sa   -3783.019337783034  -3782.896982187981  0.00041038403488177094
4am6sa   -4426.544316670271  -4426.415890411861  0.0004307429146402818 
5am6sa   -4483.087279653693  -4482.95421637074   0.00044629548884789547
6am6sa   -4539.623695992992  -4539.485337384447  0.0004640583598859634 
7am6sa   -4596.144153422328  -4596.002840967186  0.00047396277041757503
8am6sa   -4652.663189821183  -4652.511867680202  0.0005075364749287273 
5am7sa   -5183.161575127042  -5183.017086816163  0.00048461512661412043
6am7sa   -5239.695274324838  -5239.543640075548  0.0005085829280563475 
7am7sa   -5296.23549829089   -5296.078794146692  0.0005255877913801779 
8am7sa   -5352.755367058591  -5352.595581994625  0.0005359215160154285 
9am7sa   -5409.285513667214  -5409.123490177381  0.0005434278047962436 
6am8sa   -5939.764138472357  -5939.602427137538  0.0005423813516686231 
7am8sa   -5996.319300407832  -5996.151541889473  0.000562666443065571  
8am8sa   -6052.859501928794  -6052.682999816132  0.0005919906087539829 
9am8sa   -6109.392297519569  -6109.214566439316  0.0005961126949522053 
10am8sa  -6165.897834652166  -6165.708560155275  0.0006348281066577227 
7am9sa   -6696.376132474414  -6696.195839166911  0.0006047056850578569 
8am9sa   -6752.933162663066  -6752.745645275852  0.0006289350997819889 
9am9sa   -6809.479756089609  -6809.282661150634  0.0006610598691933592 
10am9sa  -6865.99250636631   -6865.790362260813  0.0006779942981720611 
11am9sa  -6922.504043359063  -6922.30067837049   0.000682089552238806  
8am10sa  -7452.98295378386   -7452.785445208088  0.0006624484319973168 
9am10sa  -7509.530893177198  -7509.322206406558  0.0006999396277041759 
10am10sa -7566.080476847581  -7565.867241110966  0.0007151970484655376 
11am10sa -7622.594382167308  -7622.380085412373  0.0007187556599027337 
12am10sa -7679.11234897824   -7678.889647260696  0.0007469461680362235 
9am11sa  -8209.589171758407  -8209.37202624221   0.0007283112527251385 
10am11sa -8266.131329750355  -8265.906640738049  0.0007536105986919337 
11am11sa -8322.675462401405  -8322.44404596141   0.0007761730672480295 
12am11sa -8379.211790672933  -8378.97334533567   0.000799748448767399  
13am11sa -8435.727990760553  -8435.485192122504  0.0008143518363239981 
10am12sa -8966.213443140372  -8965.9794231725    0.0007849069260439379 
11am12sa -9022.750930643078  -9022.50815093384   0.0008142881100117391 
12am12sa -9079.299148903783  -9079.049153732449  0.0008384873385879592 
13am12sa -9135.813541413041  -9135.559656709858  0.0008515344625188666 
14am12sa -9192.332758008106  -9192.073825522828  0.0008684621834646991 
11am13sa -9722.810364732839  -9722.55246105824   0.0008650142545698473 
12am13sa -9779.358554659873  -9779.097380400888  0.000875981888311253  
13am13sa -9835.899551455723  -9835.631189748956  0.0009000905584437363 
14am13sa -9892.417524517165  -9892.149791110869  0.0008979808821063223 
15am13sa -9948.934833963378  -9948.654948258292  0.000938742243836995  
12am14sa -10479.426445639987 -10479.156172088286 0.0009065034378668457 
13am14sa -10535.964650515421 -10535.6818587593   0.0009484890155961764 
14am14sa -10592.511124725406 -10592.22375882979  0.0009638302867684052 
15am14sa -10649.026821201225 -10648.730681594194 0.0009932584269662923 
16am14sa -10705.546386748536 -10705.256212906053 0.0009732483649169882 
13am15sa -11236.041053461919 -11235.745349310899 0.0009917960758007713 
14am15sa -11292.581334080889 -11292.28292931724  0.0010008552741908436 
15am15sa -11349.132107557023 -11348.82932150749  0.001015549220191179  
16am15sa -11405.646506515663 -11405.338847111803 0.001031893342277377  
17am15sa -11462.14873662226  -11461.833222562858 0.0010582391413717928 
14am16sa -11992.654399778168 -11992.344902989178 0.00103805802448432   
15am16sa -12049.18784495951  -12048.868861707646 0.0010698742243836995 
16am16sa -12105.728107142773 -12105.40473832787  0.0010845849404662086 
17am16sa -12162.244981003982 -12161.921733141673 0.001084179104477612  
18am16sa -12218.761408450891 -12218.423534730837 0.0011332349488512494 
15am17sa -12749.246024594111 -12748.917124704638 0.0011031360053664265 
16am17sa -12805.78976387072  -12805.459209783521 0.001108683548549388  
17am17sa -12862.35091708953  -12862.010460518552 0.0011418983733020292 
18am17sa -12918.866053777472 -12918.519790187383 0.001161375146738219  
19am17sa -12975.384529025581 -12975.036726113522 0.0011665369780311924 
16am18sa -13505.864804128012 -13505.520371173852 0.0011552339426463192 
17am18sa -13562.406671487799 -13562.057689110714 0.001170491363407681  
18am18sa -13618.930229805075 -13618.574037574257 0.0011946738219017275 
19am18sa -13675.473304085674 -13675.11595750623  0.0011985477108837836 
20am18sa -13731.993034696    -13731.624770691411 0.0012351635083011905 
17am19sa -14262.479601736677 -14262.116206153523 0.001218836156297166  
18am19sa -14319.0124282759   -14318.640521477748 0.001247382190172732  
19am19sa -14375.559251778845 -14375.18517042732  0.0012546738219017274 
20am19sa -14432.095551494618 -14431.715659851445 0.0012741640114036557 
21am19sa -14488.59164749376  -14488.205867599117 0.0012939124601710553 
18am20sa -15019.08224925819  -15018.698901503494 0.001285755492201912  
19am20sa -15075.637258056018 -15075.253164483798 0.0012882575884621836 
20am20sa -15132.154536775757 -15131.75875164154  0.0013274693946000336 
21am20sa -15188.707258254188 -15188.308365507339 0.0013378936776790205 
22am20sa -15245.202544023998 -15244.791731209523 0.0013778735535804126 
21am21sa -15888.769256641484 -15888.354622506813 0.001390689250377327  
22am22sa -16645.385080049873 -16644.954754807044 0.001443317122253899  
23am23sa -17401.99366711419  -17401.545121353214 0.0015044306557102129 
24am24sa -18158.59268878513  -18158.12877726674  0.001555968472245514  
25am25sa -18915.21745742552  -18914.735297019968 0.0016171725641455643 
26am26sa -19671.849819652718 -19671.3449596446   0.001693308737212812  
27am27sa -20428.462669853307 -20427.937006163564 0.0017630856951199063 
28am28sa -21185.062706002584 -21184.520272641996 0.0018193291967130642 
29am29sa -21941.65359459356  -21941.101123181743 0.0018529968136843872 
30am30sa -22698.269327312737 -22697.69425020192  0.0019288177092067755 
