#CLUSTER  dG_298.15K_[Eh] dH_298.15K_[Eh] dS_298.15K_[Eh/K]
1am                       -56.46367064674521  -56.44182246560134  7.32791586244093e-05  
1w                        -76.33800253919222  -76.31658848583763  7.182308688436955e-05 
1ma                       -95.66400581007355  -95.63671607758468  9.153021126570281e-05 
2am                       -112.92148665014471 -112.88678968798897 0.00011637418130386775
1ml                       -115.53275727942624 -115.50572905890412 9.065309583136314e-05 
1dma                      -134.8697332523084  -134.83896255483123 0.00010320542504501294
1dma1p                    -135.2225214919792  -135.1914411114007  0.00010424410725632145
1mea1p                    -135.22858641913353 -135.1974368268585  0.00010447624442407693
1am1ma                    -152.1204127655731  -152.0824584875625  0.00012729927221386372
1etox                     -153.5203346493987  -153.49284337502127 9.220618607225151e-05 
1acal                     -153.56597266792866 -153.53614855600685 0.00010003056153553732
1dme                      -154.73360078974576 -154.7036546793979  0.00010043974626162928
1tma                      -174.07893669031748 -174.04642976487034 0.00010902876219083506
1p1tma                    -174.44043358014133 -174.40646670020303 0.00011392547354795433
1p1propa                  -174.44635075002324 -174.4117826687993  0.00011594191254047396
1ipropa1p                 -174.45312838086306 -174.41885112459317 0.00011496648086498119
1fa                       -189.50529263456275 -189.47711119107146 9.452102462281888e-05 
1eda                      -190.138590534254   -190.1049592748005  0.00011279979692600499
1pxml                     -190.57356558392132 -190.54291124587814 0.00010281515359084279
2ma                       -191.32008069429645 -191.27776815722052 0.00014191694474558443
1am1dma                   -191.32661549755863 -191.28422898037235 0.00014216507525165146
1acon                     -192.79347606905375 -192.759276435801   0.00011470613198959885
1dma1p1w                  -211.57330209660338 -211.5328630753185  0.00013563314199192516
1mea1p1w                  -211.57951972293043 -211.5397197616484  0.0001334897242395251 
1dmea1p                   -213.6616426190292  -213.62435067660712 0.00012507778776471782
1buta1p                   -213.66331028085065 -213.6253890263258  0.00012718851089999384
1ibuta1p                  -213.66601919813132 -213.62840731742915 0.00012615086601440255
1dea1p                    -213.66858971235962 -213.63051329839845 0.00012770891819950363
1p1sbuta                  -213.6708322885663  -213.63322207086551 0.00012614528828021595
1mf                       -228.70635683574645 -228.67416198257862 0.00010798206663706399
1dma1ma                   -230.52450657424464 -230.4800416437002  0.00014913610781315645
1am1tma                   -230.53601447801813 -230.49331852754287 0.00014320291958837283
1am1eda                   -246.59423673653689 -246.55196830825864 0.00014176900311337084
1dma1ml1p                 -250.7694391842996  -250.72574655541152 0.00014654579536502426
1mea1ml1p                 -250.77632206120927 -250.73273173493067 0.00014620267073171798
1p1tma1w                  -250.78932968371166 -250.74655580709842 0.0001434642851358032 
1p1propa1w                -250.797221077145   -250.75350772540324 0.00014661530015670215
1ipropa1p1w               -250.80251939584673 -250.76020859441405 0.00014191112336971477
2dma                      -269.7307310199425  -269.68457611328006 0.00015480431548689006
1ma1tma                   -269.73464986218056 -269.68901902865576 0.00015304656557060765
1nta                      -280.53813419217414 -280.5079943567346  0.00010108950340291773
1fa1ma                    -285.171429430965   -285.1321409857125  0.00013177409106977173
1eda1ma                   -285.79392078586847 -285.74923699649145 0.0001498701639341282 
3ma                       -286.97529243262204 -286.92503850107425 0.00016855251231854797
1dma1p2w                  -287.9202713915177  -287.87079786163423 0.0001659350323108964 
1mea1p2w                  -287.9268066999646  -287.8781779409949  0.0001631016567823636 
1ml1p1tma                 -289.98576758809224 -289.939255162205   0.00015600344084274194
1ml1p1propa               -289.99359999711993 -289.946372647593   0.00015840130647983323
1ipropa1ml1p              -289.99904481013914 -289.95320043226855 0.0001537627968155047 
1dmea1p1w                 -290.0093527816397  -289.9633738479695  0.0001542140991788439 
1dea1p1w                  -290.0161136782613  -289.96997630694506 0.0001547455016476014 
1IIebuta1p                -292.0985677775974  -292.05471428992075 0.00014708531838552788
1p1tea                    -292.1027637389981  -292.05901094587205 0.00014674758720795413
1dpropa1p                 -292.1028355406423  -292.05850760031484 0.00014867664037377317
1ipropea1p                -292.1131468665254  -292.069491732923   0.000146420035561059  
1dma1tma                  -308.94149810443685 -308.8922677639531  0.0001651193710674212 
1dma1fa                   -324.3779962198482  -324.3356535966028  0.00014201785425268617
1dma1eda                  -324.99994167613954 -324.9524339261419  0.00015934177426684928
1p1tma2w                  -327.13128044272935 -327.0808920456668  0.00016900351186515934
1p1propa2w                -327.14270376778967 -327.09148020182175 0.00017180468209925247
1ipropa1p2w               -327.14881314195475 -327.0977249451014  0.0001713506518645422 
2tma                      -348.14813113220515 -348.09811314484756 0.00016776115162683397
1fa1tma                   -363.5892034834942  -363.54479217901655 0.0001489562451036732 
1eda1tma                  -364.2088657169564  -364.15868956089804 0.00016829165204890846
1dma1p3w                  -364.2603589385957  -364.2038018896435  0.0001896932716826013 
1mea1p3w                  -364.2700827074612  -364.2133538162606  0.0001902696334077804 
1dma2ml1p                 -366.3111963671101  -366.25518025976606 0.0001878789446389033 
1mea2ml1p                 -366.31796575967917 -366.2626070067412  0.00018567416715736907
1dmea1p2w                 -366.3503242701229  -366.2972873582132  0.00017788667418983133
1dea1p2w                  -366.3606938644894  -366.3064518202281  0.00018192870790286158
1ma1nta                   -376.2077428878825  -376.16727032247417 0.00013574564953328685
2fa                       -379.0158536037354  -378.9773274097598  0.00012921748775984892
2eda                      -380.2697498043597  -380.22116707326614 0.00016294727852956674
1fa2ma                    -380.83108311948143 -380.7809570844004  0.00016812354546727625
1acan                     -381.11005505425004 -381.0686723829005  0.00013879815981757403
4ma                       -382.6309017044945  -382.57115136158404 0.0002004036320994082 
1p1tma3w                  -403.4702725371653  -403.4123138017903  0.000194394550980927  
1p1propa3w                -403.48340018778634 -403.42474845569694 0.0001967188733503974 
1ipropa1p3w               -403.48810551771123 -403.4335185936844  0.000183085440304711  
3dma                      -404.59397877209085 -404.53473114999565 0.00019871749822265362
