#CLUSTER  dG_298.15K_[Eh] dH_298.15K_[Eh] dS_298.15K_[Eh/K]
1am1sa   -28.2811269573    -28.240165870725  0.00013738420258259268
2am2sa   -56.591110093847  -56.530147296617  0.00020447023310414222
3am3sa   -84.900524130056  -84.817665529533  0.0002779091061546202 
4am4sa   -113.222104565793 -113.119252001262 0.00034497065235619657
5am5sa   -141.534578134981 -141.412606351828 0.0004090960925708536 
4am6sa   -160.151591906919 -160.024727889771 0.0004255039409693108 
5am6sa   -165.004198396493 -164.87255076073  0.0004415495555928224 
6am6sa   -169.852078039782 -169.712293529788 0.00046884118732181784
7am6sa   -174.677702035163 -174.534473465896 0.00048039241992285756
8am6sa   -179.502923430043 -179.35464775019  0.0004973201408686902 
5am7sa   -188.471627571063 -188.328107494332 0.00048136843870534975
6am7sa   -193.32046902707  -193.167043710884 0.0005145899714908604 
7am7sa   -198.169043590857 -198.010112613023 0.0005330571859802112 
8am7sa   -203.000153588486 -202.839321792067 0.000539433171222539  
9am7sa   -207.826301784728 -207.664278294896 0.0005434278047962436 
6am8sa   -216.786693474391 -216.624843547488 0.0005428475599530438 
7am8sa   -221.643674276518 -221.47478989379  0.0005664397115545867 
8am8sa   -226.499847262949 -226.32429148451  0.0005888177092067751 
9am8sa   -231.332517019299 -231.154785939046 0.0005961126949522053 
10am8sa  -236.151618146967 -235.96515870668  0.000625386550394097  
7am9sa   -245.111741296686 -244.930178968696 0.0006089619319134665 
8am9sa   -249.96874326214  -249.778550226133 0.0006379104477611941 
9am9sa   -254.828275002259 -254.631056260499 0.0006614757672312594 
10am9sa  -259.655258034299 -259.460040445667 0.0006547643803454637 
11am9sa  -264.460004349079 -264.254130341119 0.0006905047794734194 
8am10sa  -273.429462008736 -273.232916456263 0.0006592185141707195 
9am10sa  -278.283805398252 -278.076519643724 0.0006952406506791884 
10am10sa -283.143836187698 -282.928217595786 0.0007231896696293812 
11am10sa -287.97019600261  -287.751010921232 0.000735150092235452  
12am10sa -292.782231296732 -292.565225780609 0.0007278416904242832 
9am11sa  -301.744666374836 -301.528063505038 0.0007264900218011069 
10am11sa -306.58541464544  -306.364573677566 0.000740704343451283  
11am11sa -311.450129295717 -311.219675523112 0.0007729465034378669 
12am11sa -316.287433641564 -316.05243174566  0.000788200570182794  
13am11sa -321.115007853258 -320.879417389323 0.0007901727318463862 
10am12sa -330.070837653147 -329.836817685277 0.0007849069260439379 
11am12sa -334.912073630651 -334.667354739967 0.0008207915478785847 
12am12sa -339.772257852061 -339.523943554848 0.000832849236961261  
13am12sa -344.595110993102 -344.337903767272 0.0008626765051148753 
14am12sa -349.435409225831 -349.179146559419 0.0008595103136005367 
11am13sa -358.392711760362 -358.139953449847 0.0008477544859969814 
12am13sa -363.23249435691  -362.974814641461 0.0008642629548884791 
13am13sa -368.08687052724  -367.816853578223 0.0009056414556431326 
14am13sa -372.919737896333 -372.646954092824 0.000914922019117894  
15am13sa -377.742437514492 -377.469509110965 0.0009154049974844876 
12am14sa -386.704252583445 -386.432585162795 0.0009111755827603556 
13am14sa -391.555019153405 -391.274914559412 0.0009394767734361901 
14am14sa -396.408514494984 -396.124195684279 0.0009536105986919334 
15am14sa -401.220901659316 -400.927019331657 0.0009856850578567834 
16am14sa -406.070691902007 -405.780099159732 0.0009746536978031193 
13am15sa -415.030995734474 -414.737649867196 0.0009838873050477949 
14am15sa -419.881419643618 -419.583649709816 0.0009987254737548216 
15am15sa -424.734896553331 -424.430269039493 0.0010217273184638606 
16am15sa -429.556696223894 -429.252721692281 0.0010195371457320142 
17am15sa -434.374222298197 -434.057210599622 0.0010632634579909443 
14am16sa -443.359524281039 -443.051009431677 0.001034764380345464  
15am16sa -448.20314997913  -447.886216904801 0.0010629984906926045 
16am16sa -453.06852522548  -452.742643075781 0.0010930135837665606 
17am16sa -457.886491003201 -457.559895056616 0.0010954083515009223 
18am16sa -462.701200071239 -462.366636862941 0.0011221298004360223 
15am17sa -471.682518273069 -471.355098241024 0.0010981720610430995 
16am17sa -476.505599898093 -476.170981957203 0.0011223142713399298 
17am17sa -481.379495259298 -481.041975312828 0.0011320476270333724 
18am17sa -486.209077907851 -485.864454903638 0.0011558712057689081 
19am17sa -491.022863121794 -490.672821991831 0.0011740432668120072 
16am18sa -499.995617972262 -499.650809978414 0.0011564916988093242 
17am18sa -504.844465312481 -504.495482935395 0.001170491363407681  
18am18sa -509.686652336053 -509.331446693511 0.0011913667616971326 
19am18sa -514.533972105776 -514.1764453      0.001199151433842026  
20am18sa -519.356593175436 -518.987801529264 0.0012369344289787023 
17am19sa -528.320542827457 -527.95766281862  0.0012171054838168707 
18am19sa -533.16525791398  -532.792287343089 0.001250950863659232  
19am19sa -538.021240027657 -537.647797042657 0.0012525339594164013 
20am19sa -542.849535320664 -542.46763447568  0.001280902230420929  
21am19sa -547.658762302511 -547.270968970232 0.001300664095254067  
18am20sa -556.625844403943 -556.244288536691 0.0012797450947509641 
19am20sa -561.477464988715 -561.092515805124 0.0012911252725138355 
20am20sa -566.341248104324 -565.945035659652 0.0013289015596176421 
21am20sa -571.187304312368 -570.794772242442 0.001316558779138018  
