# LOG #
          program                                                                                                            method
0    ORCA_4.0.1.2                  !_aug-cc-pvtz_aug-cc-pvtz/c_dlpno-ccsd(t)_grid4_nofinalgrid_tightpno_tightscf_!_nopop_noprintmos
1    ORCA_4.0.0.2                  !_aug-cc-pvtz_aug-cc-pvtz/c_dlpno-ccsd(t)_grid4_nofinalgrid_tightpno_tightscf_!_nopop_noprintmos
34   ORCA_4.0.0.2  !_aug-cc-pvtz_aug-cc-pvtz/c_dlpno-ccsd(t)_grid4_nofinalgrid_tightpno_tightscf_!_nopop_noprintmos_!_moread_noiter
115  ORCA_4.0.1.2  !_aug-cc-pvtz_aug-cc-pvtz/c_dlpno-ccsd(t)_grid4_nofinalgrid_tightpno_tightscf_!_nopop_noprintmos_!_moread_noiter
153    ORCA_4.0.0                  !_aug-cc-pvtz_aug-cc-pvtz/c_dlpno-ccsd(t)_grid4_nofinalgrid_tightpno_tightscf_!_nopop_noprintmos
444  ORCA_4.0.1.2                    !_aug-cc-pvtz_aug-cc-pvtz/c_dlpno-ccsd(t)_grid4_nofinalgrid_nopop_noprintmos_tightpno_tightscf
589    ORCA_4.2.1                  !_aug-cc-pvtz_aug-cc-pvtz/c_dlpno-ccsd(t)_grid4_nofinalgrid_tightpno_tightscf_!_nopop_noprintmos
636    ORCA_5.0.4                                  !_aug-cc-pVTZ_aug-cc-pVTZ/C_DLPNO-CCSD(T)_TightSCF_RI-JK_aug-cc-pVTZ/JK_TightPNO
794    ORCA_4.0.0                                                                                                ! NOPOP NOPRINTMOS
#######
