Cluster		E(wB97X-D)	H-corr:		G-corr:		H(wB97X-D)	G(wB97X-D)	S(wB97X-D)	DLPNO-CCSD(T):
1mea		-210.346111	0.105620	0.072370	-210.240491	-210.273741	69.980		-210.083796
1msa		-664.233093	0.069329	0.033196	-664.163763	-664.199897	76.049		-663.565114
1w		-76.409619	0.025505	0.004091	-76.384115	-76.405528	45.069		-76.342066
1msa_1w		-740.664885	0.097794	0.055605	-740.567091	-740.609280	88.794		-739.927638
1msa_2w		-817.097023	0.125947	0.077274	-816.971076	-817.019749	102.441		-816.288293
1msa_3w		-893.525921	0.153792	0.098397	-893.372128	-893.427524	116.590		-892.647196
1msa_1mea_1w	-951.059170	0.207773	0.153937	-950.851397	-950.905233	113.307		-950.054729
1msa_1mea_2w	-1027.489427	0.236238	0.173876	-1027.253189	-1027.315551	131.251		-1026.415481
1msa_1mea_3w	-1103.925044	0.265455	0.197703	-1103.659589	-1103.727341	142.596		-1102.780307
1msa_2mea_1w	-1161.442485	0.316295	0.248152	-1161.126190	-1161.194333	143.419		-1160.173130
1msa_2mea_2w	-1237.871323	0.344441	0.268715	-1237.526881	-1237.602608	159.379		-1236.532378
1msa_2mea_3w	-1314.301932	0.373052	0.289365	-1313.928880	-1314.012567	176.135		-1312.893549
2msa_1mea_1w	-1615.329059	0.277900	0.204289	-1615.051160	-1615.124770	154.926		-1613.658051
2msa_1mea_2w	-1691.763771	0.307249	0.229424	-1691.456522	-1691.534347	163.797		-1690.021455
2msa_1mea_3w	-1768.192792	0.336042	0.250529	-1767.856750	-1767.942263	179.976		-1766.381302
2msa_1w		-1404.927951	0.169164	0.108765	-1404.758787	-1404.819186	127.122		-1403.522525
2msa_2w		-1481.365043	0.196474	0.135397	-1481.168568	-1481.229646	128.549		-1479.887306
2msa_3w		-1557.798450	0.222979	0.156055	-1557.575470	-1557.642395	140.855		-1556.249219
2msa_2mea_1w	-1825.731009	0.390664	0.304814	-1825.340345	-1825.426195	180.685		-1823.794952
2msa_2mea_2w	-1902.166962	0.419299	0.329122	-1901.747663	-1901.837840	189.793		-1900.159619
2msa_2mea_3w	-1978.597829	0.447412	0.349839	-1978.150416	-1978.247990	205.361		-1976.520742

