Cluster	E(DLPNO)
1sa1msa1a_001	-1419.5763345892
1sa1msa1a_002	-1419.5687249453
1sa1msa1a_003	-1419.5680530907
1sa1msa2a_001	-1476.0859638403
1sa1msa2a_002	-1476.0853597016
1sa1msa2a_003	-1476.0835419995
1sa1msa3a_001	-1532.5916662648
1sa1msa3a_002	-1532.5870596183
1sa1msa3a_003	-1532.5853253855
1sa1msa4a_001	-1589.0882448119
1sa1msa4a_002	-1589.0861268668
1sa1msa4a_003	-1589.0871271059
1sa2msa1a_001	-2083.1716003026
1sa2msa1a_002	-2083.1694585411
1sa2msa1a_003	-2083.1677144002
1sa2msa2a_001	-2139.6888496926
1sa2msa2a_002	-2139.6857989276
1sa2msa2a_003	-2139.6831761474
1sa2msa3a_001	-2196.2111162115
1sa2msa3a_002	-2196.2050087834
1sa2msa3a_003	-2196.2100369135
1sa2msa4a_001	-2252.7116106489
1sa2msa4a_002	-2252.7125377883
1sa2msa4a_003	-2252.7141569538
1sa3msa1a_001	-2746.7701472253
1sa3msa1a_002	-2746.7633201301
1sa3msa1a_003	-2746.7652803158
1sa3msa2a_001	-2803.2907555252
1sa3msa2a_002	-2803.2921506448
1sa3msa2a_003	-2803.2903432301
1sa3msa3a_001	-2859.8113067124
1sa3msa3a_002	-2859.8116740014
1sa3msa3a_003	-2859.8118063313
1sa3msa4a_001	-2916.3386190314
1sa3msa4a_002	-2916.3356103093
1sa3msa4a_003	-2916.3338148905
2sa1msa1a_001	-2119.0740943505
2sa1msa1a_002	-2119.0691251869
2sa1msa1a_003	-2119.0692789476
2sa1msa2a_001	-2175.5910430514
2sa1msa2a_002	-2175.5928383034
2sa1msa2a_003	-2175.5897003885
2sa1msa3a_001	-2232.1108972536
2sa1msa3a_002	-2232.1104799951
2sa1msa3a_003	-2232.1090440997
2sa1msa4a_001	-2288.6140642872
2sa1msa4a_002	-2288.6104135375
2sa1msa4a_003	-2288.6117668686
2sa2msa1a_001	-2782.6689221914
2sa2msa1a_002	-2782.6676549882
2sa2msa1a_003	-2782.6645455557
2sa2msa2a_001	-2839.1921542268
2sa2msa2a_002	-2839.1864017472
2sa2msa2a_003	-2839.1910995306
2sa2msa3a_001	-2895.711014776
2sa2msa3a_002	-2895.7109523306
2sa2msa3a_003	-2895.7097378878
2sa2msa4a_001	-2952.2357196808
2sa2msa4a_002	-2952.2337236666
2sa2msa4a_003	-2952.2366081367
3sa1msa1a_001	-2818.5710930988
3sa1msa1a_002	-2818.5685640309
3sa1msa1a_003	-2818.5665092377
3sa1msa2a_001	-2875.0884334235
3sa1msa2a_002	-2875.0873295336
3sa1msa2a_003	-2875.0860104446
3sa1msa3a_001	-2931.6116870244
3sa1msa3a_002	-2931.6079207222
3sa1msa3a_003	-2931.6104796021
3sa1msa4a_001	-2988.1310006575
3sa1msa4a_002	-2988.1337298784
3sa1msa4a_003	-2988.1328201766
