Cluster	E(wB97X-D)	H-corr:		G-corr:		H(wB97X-D)	G(wB97X-D)	S(wB97X-D)	E(DLPNO)
1a	-56.546501	0.038598	0.015714	-56.507902	-56.530787	48.165		-56.480249	
1sa	-700.126098	0.045614	0.011148	-700.080484	-700.114950	72.540		-699.460421	
1sa_1a	-756.702712	0.086454	0.044667	-756.616258	-756.658045	87.948		-755.966437	
1sa_2a	-813.275878	0.127705	0.076661	-813.148172	-813.199217	107.432		-812.469920	
1sa_3a	-869.847092	0.170613	0.115299	-869.676479	-869.731793	116.419		-868.968515	
1sa_4a	-926.416021	0.211983	0.150866	-926.204039	-926.265155	128.630		-925.468169	
2a	-113.099279	0.079745	0.044552	-113.019534	-113.054727	74.070		-112.965411	
2sa_1a	-1456.877542	0.135635	0.080691	-1456.741906	-1456.796851	115.640		-1455.473432	
2sa_2a	-1513.460481	0.178499	0.116992	-1513.281982	-1513.343489	129.453		-1511.983413	
2sa_3a	-1570.037305	0.220173	0.153678	-1569.817132	-1569.883627	139.951		-1568.489834	
2sa_4a	-1626.608746	0.261668	0.188315	-1626.347078	-1626.420431	154.385		-1624.991038	
3a	-169.661819	0.121032	0.080847	-169.540787	-169.580972	84.578		-169.457470	
3sa_1a	-2157.037221	0.182498	0.111125	-2156.854723	-2156.926096	150.217		-2154.965927	
3sa_2a	-2213.631942	0.226392	0.149758	-2213.405550	-2213.482184	161.289		-2211.488690	
3sa_3a	-2270.223123	0.269877	0.189116	-2269.953246	-2270.034007	169.976		-2268.009283	
3sa_4a	-2326.809465	0.311261	0.228473	-2326.498204	-2326.580992	174.242		-2324.518071	
4a	-226.221097	0.162447	0.114573	-226.058651	-226.106524	100.759		-225.946891	
4sa_1a	-2857.196896	0.228876	0.145990	-2856.968020	-2857.050906	174.448		-2854.458475	
4sa_2a	-2913.801255	0.275409	0.188403	-2913.525846	-2913.612852	183.120		-2910.989852	
4sa_3a	-2970.393346	0.316675	0.224527	-2970.076671	-2970.168819	193.941		-2967.510369	
4sa_4a	-3026.989460	0.359560	0.260664	-3026.629900	-3026.728796	208.143		-3024.031990	
4sa_5a	-3083.565140	0.402470	0.301775	-3083.162669	-3083.263365	211.932		-3080.537544	
5sa_1a	-3557.357854	0.280007	0.181242	-3557.077847	-3557.176612	207.868		-3553.951097	
5sa_2a	-3613.956313	0.322445	0.218122	-3613.633868	-3613.738191	219.566		-3610.476012	
5sa_3a	-3670.566269	0.365416	0.257098	-3670.200853	-3670.309171	227.974		-3667.015472	
5sa_4a	-3727.152180	0.409292	0.294422	-3726.742889	-3726.857758	241.763		-3723.529926	
5sa_5a	-3783.752381	0.451104	0.330864	-3783.301277	-3783.421517	253.066		-3780.057073	

