Cluster		E(wB97X-D)	H-corr:		G-corr:		H(wB97X-D)	G(wB97X-D)	S(wB97X-D)	E(DLPNO)
1dma		-135.134498	0.098646	0.067928	-135.035852	-135.066570	64.651		-134.937074	
1sa		-700.126098	0.045614	0.011148	-700.080484	-700.114950	72.540		-699.460421	
1sa_1dma	-835.303026	0.148407	0.097619	-835.154619	-835.205407	106.892		-834.436116	
1sa_2dma	-970.463878	0.249333	0.186603	-970.214544	-970.277275	132.028		-969.397353	
1sa_3dma	-1105.627349	0.350500	0.274966	-1105.276849	-1105.352383	158.975		-1104.360859	
1sa_4dma	-1240.788310	0.452029	0.366891	-1240.336281	-1240.421419	179.189		-1239.320061	
2dma		-270.278268	0.199893	0.151442	-270.078375	-270.126826	101.973		-269.881972	
2sa_1dma	-1535.482953	0.196839	0.133275	-1535.286114	-1535.349678	133.781		-1533.949370	
2sa_2dma	-1670.671542	0.300787	0.225894	-1670.370755	-1670.445648	157.625		-1668.933228	
2sa_3dma	-1805.839541	0.401851	0.316243	-1805.437690	-1805.523298	180.177		-1803.904167	
2sa_4dma	-1941.000792	0.502091	0.401364	-1940.498701	-1940.599428	211.998		-1938.865222	
3dma		-405.429055	0.299068	0.240682	-405.129987	-405.188373	122.885		-404.833259	
3sa_1dma	-2235.650198	0.244939	0.168265	-2235.405258	-2235.481933	161.375		-2233.449580	
3sa_2dma	-2370.843801	0.349387	0.260014	-2370.494414	-2370.583787	188.103		-2368.442439	
3sa_3dma	-2506.032688	0.452202	0.351638	-2505.580486	-2505.681050	211.655		-2503.429320	
3sa_4dma	-2641.210091	0.555192	0.445472	-2640.654899	-2640.764619	230.925		-2638.405903	
4dma		-540.580523	0.402063	0.323426	-540.178461	-540.257097	165.504		-539.784355	
4sa_1dma	-2935.808268	0.293595	0.201649	-2935.514673	-2935.606619	193.516		-2932.941024	
4sa_2dma	-3071.008393	0.394832	0.294718	-3070.613561	-3070.713675	210.708		-3067.939144	
4sa_3dma	-3206.201768	0.499909	0.386785	-3205.701860	-3205.814983	238.088		-3202.931231	
4sa_4dma	-3341.392806	0.604225	0.474623	-3340.788582	-3340.918183	272.769		-3337.919031	
4sa_5dma	-3476.578443	0.707932	0.572482	-3475.870511	-3476.005961	285.078		-3472.902231	
5sa_1dma	-3635.966949	0.341241	0.234814	-3635.625708	-3635.732135	223.995		-3632.431252	

