Cluster		E(wB97X-D)	H-corr:		G-corr:		H(wB97X-D)	G(wB97X-D)	S(wB97X-D)	E(DLPNO)
1sa		-700.126098	0.045614	0.011148	-700.080484	-700.114950	72.540		-699.460421	
1mea		-210.346111	0.105618	0.072378	-210.240492	-210.273733	69.960		-210.082807	
1w		-76.409619	0.025505	0.004091	-76.384115	-76.405528	45.069		-76.342066	
1mea_1w		-286.773358	0.134477	0.095242	-286.638882	-286.678116	82.575		-286.438796	
1mea_2w		-363.203405	0.162747	0.115324	-363.040657	-363.088081	99.811		-362.797607	
1mea_3w		-439.631052	0.191271	0.136748	-439.439781	-439.494304	114.754		-439.154267	
1sa_1mea_1w	-986.953525	0.183803	0.129370	-986.769722	-986.824155	114.564		-985.947899	
1sa_1mea_2w	-1063.384724	0.212490	0.149852	-1063.172234	-1063.234872	131.833		-1062.309272	
1sa_1mea_3w	-1139.819713	0.241660	0.174038	-1139.578053	-1139.645675	142.323		-1138.672473	
1sa_2mea_1w	-1197.337598	0.292148	0.221813	-1197.045450	-1197.115785	148.033		-1196.064840	
1sa_2mea_2w	-1273.767593	0.321070	0.243656	-1273.446523	-1273.523937	162.932		-1272.424008	
1sa_2mea_3w	-1350.197908	0.349489	0.266222	-1349.848418	-1349.931686	175.252		-1348.783835	
2mea_1w		-497.144245	0.243111	0.188237	-496.901134	-496.956008	115.492		-496.542404	
2mea_2w		-573.575494	0.271019	0.211007	-573.304475	-573.364487	126.305		-572.901674	
2mea_3w		-650.003796	0.299404	0.232482	-649.704391	-649.771314	140.851		-649.258984	
2sa_1mea_1w	-1687.121180	0.232100	0.157175	-1686.889080	-1686.964005	157.693		-1685.450120	
2sa_1mea_2w	-1763.559278	0.260244	0.184818	-1763.299034	-1763.374460	158.746		-1761.815580	
2sa_1mea_3w	-1839.990383	0.288970	0.206570	-1839.701413	-1839.783813	173.425		-1838.175324	
2sa_2mea_1w	-1897.527183	0.343015	0.259047	-1897.184168	-1897.268136	176.726		-1895.585093	
2sa_2mea_2w	-1973.960634	0.371137	0.279952	-1973.589497	-1973.680682	191.915		-1971.948731	
2sa_2mea_3w	-2050.391347	0.398977	0.301080	-2049.992370	-2050.090267	206.042		-2048.307018	

