Cluster		E(wB97X-D)	H-corr:		G-corr:		H(wB97X-D)	G(wB97X-D)	S(wB97X-D)	E(DLPNO)
1sa		-700.126098	0.045614	0.011148	-700.080484	-700.114950	72.540		-699.460421	
1a		-56.546500	0.038600	0.015715	-56.507900	-56.530785	48.164		-56.480252	
1gca		-304.224093	0.074308	0.039225	-304.149785	-304.184868	73.839		-303.895955	
1gca_1a		-360.794287	0.115506	0.072251	-360.678782	-360.722036	91.036		-360.395873	
1sa_1a_1gca	-1060.957302	0.162597	0.103283	-1060.794705	-1060.854019	124.837		-1059.890928	
1sa_1a_2gca	-1365.214896	0.240491	0.164489	-1364.974405	-1365.050407	159.959		-1363.817321	
1sa_1gca	-1004.380072	0.121710	0.069375	-1004.258362	-1004.310697	110.148		-1003.384079	
1sa_2a_1gca	-1117.531004	0.204497	0.138044	-1117.326506	-1117.392960	139.864		-1116.393335	
1sa_2a_2gca	-1421.791486	0.282838	0.208106	-1421.508649	-1421.583380	157.286		-1420.322805	
1sa_2gca	-1308.634043	0.198024	0.126620	-1308.436019	-1308.507423	150.282		-1307.308312	
1sa_3a_2gca	-1478.361529	0.323607	0.239774	-1478.037922	-1478.121755	176.441		-1476.822268	
2gca		-608.474576	0.150567	0.097219	-608.324009	-608.377357	112.282		-607.815003	
2gca_1a		-665.041043	0.191315	0.128121	-664.849728	-664.912922	133.003		-664.311830	
2gca_2a		-721.605525	0.232415	0.164100	-721.373110	-721.441425	143.781		-720.806178	
2sa_1a_1gca	-1761.133247	0.213044	0.140992	-1760.920202	-1760.992255	151.647		-1759.398403	
2sa_1gca	-1704.535996	0.169232	0.100562	-1704.366764	-1704.435434	144.527		-1702.873507	
2sa_2a_1gca	-1817.718759	0.255071	0.176643	-1817.463689	-1817.542116	165.065		-1815.912566	
2sa_3a_1gca	-1874.295182	0.296703	0.213331	-1873.998479	-1874.081851	175.470		-1872.417724	
3gca		-912.721439	0.227860	0.157432	-912.493578	-912.564007	148.229		-911.731863	
3gca_1a		-969.291851	0.268224	0.191382	-969.023626	-969.100469	161.729		-968.231547	
3gca_2a		-1025.861197	0.308662	0.231334	-1025.552535	-1025.629863	162.751		-1024.730347	
3gca_3a		-1082.431876	0.352443	0.272913	-1082.079433	-1082.158963	167.386		-1081.226625	

