Cluster		E(wB97X-D)	H-corr:		G-corr:		H(wB97X-D)	G(wB97X-D)	S(wB97X-D)	E(DLPNO)
1sa		-700.126098	0.045614	0.011149	-700.080484	-700.114949	72.538		-699.460421	
1hom		-759.650779	0.167178	0.107723	-759.483602	-759.543056	125.133		-758.810321	
1a		-56.546500	0.038600	0.015715	-56.507900	-56.530785	48.164		-56.480252	
1dma		-135.134498	0.098643	0.067927	-135.035855	-135.066571	64.647		-134.937079	
1w		-76.409619	0.025505	0.004091	-76.384115	-76.405528	45.069		-76.342066	
1hom_1a		-816.215595	0.208704	0.141234	-816.006891	-816.074361	142.002		-815.303742	
1hom_1dma	-894.807429	0.268506	0.195095	-894.538923	-894.612334	154.507		-893.765417	
1hom_1w		-836.078913	0.196027	0.134733	-835.882886	-835.944180	129.005		-835.167527	
1sa_1hom_1a	-1516.400993	0.257749	0.184958	-1516.143244	-1516.216035	153.202		-1514.819120	
1sa_1hom_1dma	-1595.007232	0.319524	0.241272	-1594.687708	-1594.765960	164.695		-1593.296375	
1sa_1hom_1w	-1536.247872	0.243214	0.171500	-1536.004659	-1536.076372	150.934		-1534.669230	
1sa_2hom_1a	-2276.089187	0.429565	0.326161	-2275.659622	-2275.763026	217.631		-2273.664258	
1sa_2hom_1dma	-2354.696638	0.489752	0.379930	-2354.206885	-2354.316708	231.142		-2352.142376	
1sa_2hom_1w	-2295.934861	0.412811	0.307805	-2295.522050	-2295.627056	221.005		-2293.509448	
2sa_1hom_1a	-2216.567877	0.305525	0.219644	-2216.262352	-2216.348233	180.753		-2214.318900	
2sa_1hom_1dma	-2295.179842	0.367317	0.274935	-2294.812525	-2294.904907	194.434		-2292.801733	
2sa_1hom_1w	-2236.405350	0.291635	0.205011	-2236.113715	-2236.200339	182.315		-2234.157731	
2sa_2hom_1a	-2976.253692	0.477119	0.358353	-2975.776574	-2975.895339	249.963		-2973.158710	
2sa_2hom_1dma	-3054.856268	0.536037	0.410773	-3054.320230	-3054.445495	263.642		-3051.635149	
2sa_2hom_1w	-2996.093956	0.461874	0.345088	-2995.632083	-2995.748868	245.795		-2993.001031	

