Cluster		E(wB97X-D)	H-corr:		G-corr:		H(wB97X-D)	G(wB97X-D)	S(wB97X-D)	E(DLPNO)
1sa		-700.126098	0.045614	0.011148	-700.080484	-700.114950	72.540		-699.460421	
1a		-56.546500	0.038600	0.015715	-56.507900	-56.530785	48.164		-56.480252	
1a_pos		-56.889980	0.054075	0.032977	-56.835904	-56.857003	44.405		-56.817946	
1sa_1a_H	-757.049834	0.100983	0.054106	-756.948851	-756.995728	98.662		-756.312011	
1sa_2a_H	-813.654152	0.143357	0.092546	-813.510796	-813.561606	106.940		-812.845296	
1sa_3a_H	-870.235135	0.183198	0.126158	-870.051937	-870.108977	120.051		-869.355339	
2a_H		-113.483879	0.093414	0.061163	-113.390466	-113.422716	67.877		-113.339893	
2sa_1a_H	-1457.217044	0.148569	0.089371	-1457.068476	-1457.127673	124.592		-1455.813390	
2sa_2a_H	-1513.824817	0.190853	0.126617	-1513.633964	-1513.698200	135.195		-1512.347916	
2sa_3a_H	-1570.427733	0.234634	0.165532	-1570.193099	-1570.262201	145.437		-1568.880029	
2sa_4a_H	-1627.006832	0.274700	0.197072	-1626.732132	-1626.809760	163.383		-1625.388066	
3a_H		-170.065004	0.135530	0.095278	-169.929474	-169.969726	84.717		-169.851368	
3sa_2a_H	-2213.988846	0.239075	0.161451	-2213.749771	-2213.827395	163.373		-2211.845639	
3sa_3a_H	-2270.590412	0.281982	0.196805	-2270.308430	-2270.393607	179.269		-2268.375533	
3sa_4a_H	-2327.191941	0.325480	0.235817	-2326.866461	-2326.956124	188.712		-2324.903806	
3sa_5a_H	-2383.770563	0.366025	0.271040	-2383.404539	-2383.499523	199.913		-2381.412927	
4sa_3a_H	-2970.755561	0.330065	0.229285	-2970.425496	-2970.526276	212.108		-2967.872902	
4sa_4a_H	-3027.356583	0.372773	0.267474	-3026.983811	-3027.089109	221.619		-3024.400700	
4sa_5a_H	-3083.952059	0.415785	0.307174	-3083.536275	-3083.644885	228.591		-3080.924311	
5sa_5a_H	-3784.118797	0.463486	0.340862	-3783.655311	-3783.777935	258.084		-3780.424174	

