Cluster		E(wB97X-D)	H-corr:		G-corr:		H(wB97X-D)	G(wB97X-D)	S(wB97X-D)	E(DLPNO)
1sa		-700.126098	0.045614	0.011148	-700.080484	-700.114950	72.540		-699.460421	
1a		-56.546500	0.038600	0.015715	-56.507900	-56.530785	48.164		-56.480252	
1w		-76.409619	0.025505	0.004091	-76.384115	-76.405528	45.069		-76.342066	
1a_pos		-56.889980	0.054075	0.032977	-56.835904	-56.857003	44.405		-56.817946	
1a_2w_H		-209.775485	0.109256	0.066617	-209.666228	-209.708868	89.742		-209.561428	
1a_3w_H		-286.210847	0.137431	0.084427	-286.073417	-286.126420	111.556		-285.926679	
1a_4w_H		-362.642506	0.163427	0.103586	-362.479079	-362.538920	125.945		-362.288709	
1a_5w_H		-439.075817	0.193962	0.125385	-438.881855	-438.950432	144.333		-438.651549	
1sa_1a_1w_H	-833.494096	0.129019	0.078333	-833.365077	-833.415763	106.678		-832.685288	
1sa_1a_2w_H	-909.924533	0.156906	0.089643	-909.767627	-909.834890	141.567		-909.045327	
1sa_1a_3w_H	-986.359665	0.184990	0.113019	-986.174675	-986.246646	151.475		-985.410509	
1sa_1a_4w_H	-1062.799287	0.213870	0.135911	-1062.585416	-1062.663376	164.080		-1061.779116	
1sa_2a_1w_H	-890.095083	0.171653	0.115508	-889.923431	-889.979575	118.166		-889.214227	
1sa_2a_2w_H	-966.534061	0.199630	0.134536	-966.334431	-966.399525	137.002		-965.581526	

