#CLUSTER  dG_298.15K_[Eh] dH_298.15K_[Eh] dS_298.15K_[Eh/K]
1am    -56.52989156452621  -56.50804338338234  7.32791586244093e-05  
1am1p  -56.85720843071624  -56.836108458398165 7.076965392613149e-05 
1w     -76.40560891413422  -76.38419486077964  7.182308688436955e-05 
1fd    -114.46448368555511 -114.43901119244218 8.543516053307079e-05 
1ml    -115.66632461594817 -115.63931122119035 9.06033699742178e-05  
1dma   -135.0670077104133  -135.03623557638983 0.00010321024324491759
1dma1p -135.42275302483208 -135.3923128844586  0.0001020967310866739 
1fa    -189.70262792255446 -189.67444791332838 9.451621407368218e-05 
1pxml  -190.7743504249713  -190.743699701267   0.00010280303103906564
1gd    -205.27722466010172 -205.24539244500508 0.00010676577258645716
1pxfa  -264.8010377892546  -264.7700750803685  0.0001038494344663804 
1msa   -664.1999335472484  -664.1639696020748  0.00012062366316818721
1b     -699.6207782923187  -699.5864198149641  0.00011523889771820646
1sa    -700.11444417782    -700.0806352954177  0.00011339554721555806
