#CLUSTER  dG_298.15K_[Eh] dH_298.15K_[Eh] dS_298.15K_[Eh/K]
1am        -56.52988805909683  -56.50803939758097  7.32807697999575e-05  
1am1p      -56.85720364625544  -56.83610463444376  7.076643237191799e-05 
1w         -76.40561586272608  -76.38420180831024  7.182309044389683e-05 
1ma        -95.79623047622077  -95.7689426619235   9.152377761955582e-05 
1dma       -135.06699067938317 -135.03623562975207 0.00010315294191215255
1dma1p     -135.42346841720837 -135.39234262282193 0.00010439642591462469
1tma       -174.33978968449028 -174.3072050320137  0.00010928945992474745
1fa        -189.70265315505225 -189.67447074040697 9.452428188922547e-05 
1eda       -190.39973908219653 -190.365919158711   0.00011343257919013304
1bda       -190.39975612208346 -190.36592512765836 0.00011346971130336562
1mea       -210.27413668478795 -210.24087824973287 0.00011154933776652117
1mda       -229.67047370424535 -229.6332930421903  0.00012470455158489595
1pda       -229.67834719244354 -229.64193774232197 0.00012211789408542436
1pz        -267.75501793371467 -267.7202683597808  0.00011655064207237262
1diABmda   -268.94012434269126 -268.8998634708834  0.0001350356257180542 
1diAAmda   -268.9417042950372  -268.90229770811214 0.0001321703401812206 
1put       -268.95635996950756 -268.9158983472572  0.0001357089460014761 
1nta       -280.80756023921487 -280.7774218367255  0.00010108469726430694
1triAABmda -308.21276758726134 -308.16986586076456 0.00014389309574637377
1teAABBmda -347.4810061249339  -347.4351362047652  0.00015384846610349493
1oa        -378.20964905278777 -378.17452758168577 0.00011779799128619043
1sua       -456.78836050103115 -456.74645350912476 0.00014055673958205227
1pha       -644.0430165069499  -644.0064399321965  0.00012267843284741368
1ca        -651.9670448375736  -651.9114574058838  0.00018644115944925393
1pa        -651.976336818848   -651.9229377316242  0.00017910141614566164
1msa       -664.2000621456181  -664.1639977194129  0.00012096067819939471
1b         -699.6207974062963  -699.5864407427903  0.00011523281404028793
1sa        -700.1144840181483  -700.080667506986   0.00011342113420225625
1homF      -759.5394318919161  -759.4841777097621  0.00018532343502932798
1mbtca     -763.1375051611251  -763.0813900852139  0.00018821088683960895
