#CLUSTER  dG_298.15K_[Eh] dH_298.15K_[Eh] dS_298.15K_[Eh/K]
2am          -113.05443954815236 -113.01981585146721 0.0001161284477113507 
2am1p        -113.42235054725046 -113.39080726932802 0.00010579667255555442
1am1aq       -132.93539113990545 -132.90262748462283 0.00010988983827813604
3am          -169.58126544111155 -169.54121518509044 0.000134329216907986  
3am1p        -169.9693100927942  -169.9299643250406  0.0001319663516806453 
1ma1w        -172.20136961289296 -172.16469313100745 0.00012301352301029756
2ma          -191.58342023788575 -191.54317291537365 0.00013499018115750743
1am1dma      -191.59028336523858 -191.54917780504508 0.00013786872444573441
1am1dma1p    -191.9761550896277  -191.9368350368873  0.00013188010310380378
1am2aq       -209.34000893405243 -209.3016764725504  0.00012856770585950697
1am2aq1p     -209.70780045087577 -209.66661058969595 0.00013815147133931774
1dma1w       -211.47109003866944 -211.4323048725487  0.00013008608459073195
1aq1dma1p    -211.84453394266927 -211.80445846741043 0.00013441380264581638
4am          -226.10613172150894 -226.0592261479585  0.00015732206456629653
2am1dma1p    -248.52065338113678 -248.47346026928275 0.00015828647276215296
1ma2w        -248.60530736203918 -248.5634117593125  0.00014051854008621887
2dma         -270.1253236951206  -270.0791085798596  0.00015500625611600195
2dma1p       -270.51494917661864 -270.4707065259289  0.000148390577527249  
1am3aq       -285.7477251422262  -285.70383183411025 0.00014721887679353346
1am3aq1p     -286.12379903447726 -286.0738918744861  0.0001673894348185898 
3ma          -287.37646540098746 -287.3258491588012  0.00016976770815441247
1dma2w       -287.87653960723003 -287.8312218950983  0.00015199635127207637
2aq1dma1p    -288.2613950757026  -288.2127494239204  0.00016315831555324664
1am2dma1p    -327.05836767977496 -327.00507821964493 0.0001787337250713774 
1am1glyt     -340.3010725746458  -340.25790752186464 0.00014477629643183654
1am1gly      -340.8465378839608  -340.80404155603145 0.00014253338228870666
1am1gly1p    -341.21090392503623 -341.1698325346942  0.00013775411820229474
1glyt1w      -360.185919297117   -360.14377040087953 0.00014136809068411875
1gly1w       -360.71822040521783 -360.67707994515274 0.0001379857791885807 
1gly1p1w     -361.07492707454037 -361.033554927338   0.0001387628616548541 
1am4aq       -362.1530928502251  -362.1024434244495  0.00016987900645846221
