#CLUSTER  dG_298.15K_[Eh] dH_298.15K_[Eh] dS_298.15K_[Eh/K]
2am          -112.92057108061034 -112.88594738392523 0.0001161284477113507 
2am1p        -113.27836367932746 -113.24682040140503 0.00010579667255555442
1am1aq       -132.79853227496642 -132.76576861968385 0.00010988983827813604
3am          -169.37691643270554 -169.33686617668442 0.000134329216907986  
3am1p        -169.75567388151822 -169.7163281137646  0.0001319663516806453 
1ma1w        -171.998770242179   -171.96209376029347 0.00012301352301029756
2ma          -191.31724659242477 -191.27699926991264 0.00013499018115750743
1am1dma      -191.32474983675957 -191.28364427656606 0.00013786872444573441
1am1dma1p    -191.70416057640367 -191.6648405236633  0.00013188010310380378
1am2aq       -209.13208384909544 -209.09375138759341 0.00012856770585950697
1am2aq1p     -209.49374430015874 -209.45255443897898 0.00013815147133931774
1dma1w       -211.20368589124945 -211.1649007251287  0.00013008608459073195
1aq1dma1p    -211.57250252796922 -211.53242705271037 0.00013441380264581638
4am          -225.83192483471194 -225.78501926116152 0.00015732206456629653
2am1dma1p    -248.17898519593479 -248.13179208408076 0.00015828647276215296
1ma2w        -248.33178636263918 -248.28989075991248 0.00014051854008621887
2dma         -269.7290275859577  -269.68281247069666 0.00015500625611600195
2dma1p       -270.11237903748867 -270.0681363867989  0.000148390577527249  
1am3aq       -285.4677495486423  -285.4238562405263  0.00014721887679353346
1am3aq1p     -285.83963045826033 -285.7897232982691  0.0001673894348185898 
3ma          -286.97481944946554 -286.92420320727916 0.00016976770815441247
1dma2w       -287.53826277515395 -287.49294506302226 0.00015199635127207637
2aq1dma1p    -287.91904952646354 -287.87040387468136 0.00016315831555324664
1am2dma1p    -326.58644783260394 -326.5331583724739  0.0001787337250713774 
1am1glyt     -339.9057092636567  -339.8625442108756  0.00014477629643183654
1am1gly      -340.44983856889183 -340.40734224096246 0.00014253338228870666
1am1gly1p    -340.80791976774725 -340.7668483774052  0.00013775411820229474
1glyt1w      -359.789038370873   -359.74688947463557 0.00014136809068411875
1gly1w       -360.32130705162973 -360.28016659156475 0.0001379857791885807 
1gly1p1w     -360.6728278857123  -360.63145573851    0.0001387628616548541 
1am4aq       -361.8021297794532  -361.75148035367755 0.00016987900645846221
1dma3w       -363.8739164949743  -363.82352023587987 0.0001690298812490147 
3aq1dma1p    -364.25839337270554 -364.20598314765016 0.00017578475618127952
4ma          -382.630821541991   -382.5702780258741  0.00020306394806910748
3dma1p       -404.9926538344982  -404.9347639388979  0.00019416366124566702
1am5aq1p     -438.52176522540134 -438.4582501216491  0.00021303070183558253
1dma4w       -440.20594507400205 -440.15134738114074 0.00018312155915266583
1dma5w       -516.5423116202827  -516.480241466652   0.0002081843153808544 
1sua1w       -532.6000522686047  -532.5527460990438  0.00015866567016945853
4dma         -539.4558138766141  -539.3837637114206  0.00024165743818142335
1dma6w       -592.8758416989253  -592.8110082373541  0.00021745249562718201
1sua2w       -608.9366751259302  -608.8845465587699  0.00017484007097177503
1dma1sua1w   -667.4693667893914  -667.4112731440212  0.00019484704132273045
1sua3w       -685.2725602918911  -685.2161101225788  0.0001893347956140888 
1am1pha      -699.8464899963792  -699.8034733882844  0.00014427841051409146
1pha1w       -719.7176732102663  -719.6757557063605  0.00014059199700104154
1dma1sua2w   -743.8109955385901  -743.7472284067474  0.00021387600819368542
1am1b        -755.4140627786253  -755.3738283610774  0.00013494689769606876
1am1sa       -755.9213259449917  -755.8802740945786  0.00013768858095915216
1am1p1sa     -756.2558215662864  -756.2113725119534  0.0001490828587389952 
1sua4w       -761.6112854460653  -761.546970182063   0.0002157144524647745 
1b1w         -775.2968020392749  -775.2556636437915  0.00013797885454839236
1sa1w        -775.7895430637867  -775.7489267407051  0.00013622781513167914
1ma1sa       -795.1241540458428  -795.079670918865   0.00014919713894969542
1dma1msa     -798.4087831735754  -798.3616528089925  0.0001580760173834358 
2am1b        -811.8757476652322  -811.8261359079065  0.00016639864942328222
2am1sa       -812.3910228370185  -812.342652193531   0.0001622359332132446 
2am1p1sa     -812.751036423913   -812.7024377386034  0.00016300078923205797
1am1homF     -815.1581222557895  -815.0957613546095  0.00020915948743880657
1dma1sua3w   -820.1489033003006  -820.0803055055974  0.0002300781308181306 
1am1b1w      -831.7565469311177  -831.7114639520101  0.00015120905285088537
1am1aq1sa    -832.2586352741176  -832.2119740261081  0.00015650259268756397
1am1aq1p1sa  -832.6055104433108  -832.5567089179167  0.0001636811182092157 
1b1dma       -833.8211672377189  -833.7750556009918  0.00015465918741290716
1dma1sa      -834.3364159144355  -834.2882423150111  0.00016157504418752336
1dma1p1sa    -834.6839988095892  -834.6349357626716  0.00016455826569756652
1homF1w      -835.0308175696343  -834.9721734157813  0.00019669345582023706
1sua5w       -837.9445558263873  -837.877880437337   0.00022363035066346923
1b2w         -851.6382818571678  -851.5924710903182  0.0001536500648990636 
1sa2w        -852.1280813236345  -852.0819127370395  0.00015485019820607294
3am1sa       -868.8515807549459  -868.7984939940072  0.00017805386865281814
3am1p1sa     -869.2270666416972  -869.1727825572863  0.00018206971125568928
1ma1sa1w     -871.4671438884461  -871.4177305779594  0.00016573305546429304
1sa1tma      -873.5472979683494  -873.4977607591858  0.00016614861366302902
2am1aq1p1sa  -889.0969832016285  -889.0431684409589  0.00018049559171474304
2ma1sa       -890.7927452123367  -890.7397988221126  0.00017758306296842711
1am1dma1sa   -890.8022009100298  -890.7493691035302  0.00017719874727415162
1am1dma1p1sa -891.1750394720455  -891.1209408258635  0.00018144774838795195
1dma1homF    -893.5650724222796  -893.497857716015   0.00022543922946387812
